logFC,AveExpr,t,P.Value,adj.P.Val,B,feature,analysis,contrast_id,contrast,n_pairs,state,program,program_label,contrast_label,state_label
-0.000543807534822862,-0.114213350546949,-0.022966608108148,0.982304208078561,0.982304208078561,-6.56920177115989,OSM neutrophil||Type_I_interferon,State-specific functional programs,UA5_vs_UF,alpha5beta1i vs UC,5,OSM neutrophil,Type_I_interferon,Type I interferon,α5β1i vs UC,OSM
-0.124141057044835,-0.661414231381309,-2.16197653948689,0.074810263582184,0.28666271951471,-4.51306259094737,PADI4 neutrophil||CXCR4_aging_retention,State-specific functional programs,UA5_vs_UF,alpha5beta1i vs UC,5,PADI4 neutrophil,CXCR4_aging_retention,CXCR4 aging/retention,α5β1i vs UC,PADI4
0.274951552035818,1.19677956363724,2.07239328903711,0.0824240799051422,0.28666271951471,-4.62602536879406,PADI4 neutrophil||Degranulation,State-specific functional programs,UA5_vs_UF,alpha5beta1i vs UC,5,PADI4 neutrophil,Degranulation,Degranulation,α5β1i vs UC,PADI4
0.338035636835556,1.43550680636221,2.0000449097223,0.0912108653001351,0.28666271951471,-4.72430704700492,PADI4 neutrophil||Immature_granulopoiesis,State-specific functional programs,UA5_vs_UF,alpha5beta1i vs UC,5,PADI4 neutrophil,Immature_granulopoiesis,Immature granulopoiesis,α5β1i vs UC,PADI4
-0.017012362968543,-0.242836675679567,-0.33222027957142,0.751247516796821,0.847561301001541,-6.39790364917083,PADI4 neutrophil||OSM_inflammation,State-specific functional programs,UA5_vs_UF,alpha5beta1i vs UC,5,PADI4 neutrophil,OSM_inflammation,OSM inflammation,α5β1i vs UC,PADI4
-0.275252605310358,0.353471461496853,-1.29668352882618,0.243305653970244,0.415713488240979,-5.6186821680514,PADI4 neutrophil||Proliferation_stress,State-specific functional programs,UA5_vs_UF,alpha5beta1i vs UC,5,PADI4 neutrophil,Proliferation_stress,Proliferation/stress,α5β1i vs UC,PADI4
-0.00344218920626023,-0.10197524028359,-0.0951165748411277,0.927242949050719,0.971397375195991,-6.45520042789291,PADI4 neutrophil||Type_I_interferon,State-specific functional programs,UA5_vs_UF,alpha5beta1i vs UC,5,PADI4 neutrophil,Type_I_interferon,Type I interferon,α5β1i vs UC,PADI4
-0.25260471717642,0.178684393429533,-5.33335191118745,0.00107618296782247,0.0241191927425465,-0.351637610059457,CXCR4 neutrophil||CXCR4_aging_retention,State-specific functional programs,UD_vs_UF,Dual blockade vs UC,6,CXCR4 neutrophil,CXCR4_aging_retention,CXCR4 aging/retention,Dual vs UC,CXCR4
-0.01026835535021,-0.0107888399331846,-0.418502875906602,0.688095095609639,0.816248335647981,-6.40433388596659,CXCR4 neutrophil||Degranulation,State-specific functional programs,UD_vs_UF,Dual blockade vs UC,6,CXCR4 neutrophil,Degranulation,Degranulation,Dual vs UC,CXCR4
0.0307780009085515,-0.033604936489634,1.5479436684243,0.165473336871038,0.242694227410855,-5.35353117567478,CXCR4 neutrophil||Immature_granulopoiesis,State-specific functional programs,UD_vs_UF,Dual blockade vs UC,6,CXCR4 neutrophil,Immature_granulopoiesis,Immature granulopoiesis,Dual vs UC,CXCR4
