intervention,compartment,neighborhoods,significant,enriched,depleted,enriched_fraction,depleted_fraction,significant_fraction
FAP ablation,Epithelial,540,452,283,169,0.524074074074074,0.31296296296296294,0.837037037037037
FAP ablation,Immune,528,335,23,312,0.043560606060606064,0.5909090909090909,0.634469696969697
FAP ablation,Stromal,122,106,16,90,0.13114754098360656,0.7377049180327869,0.8688524590163934
alpha5beta1 blockade,Epithelial,2397,1115,715,400,0.2982895285773884,0.1668752607425949,0.4651647893199833
alpha5beta1 blockade,Immune,606,367,91,276,0.15016501650165018,0.45544554455445546,0.6056105610561056
alpha5beta1 blockade,Stromal,109,32,3,29,0.027522935779816515,0.26605504587155965,0.29357798165137616
