intervention,feature_scope,compartment,feature,reference_n,treatment_n,reference_mean,treatment_mean,effect_percentage_points,ci_low,ci_high,mann_whitney_u,p_value,minimum_total_cells,fdr_global_scope
FAP ablation,Level 3 fraction within compartment,Immune,Gamma-delta T/NK cell,6,5,0.00855238899375515,0.01735847242709124,0.880608343333609,-0.8552614025950489,2.9648187513789113,15.0,1.0,0,1.0
FAP ablation,Level 3 fraction within compartment,Immune,Gamma-delta T/NK-like cell,6,5,0.0291535957259542,0.37082168547986843,34.16680897539142,21.330132287689942,45.0146476747771,30.0,0.00811311726556578,0,0.03813165114815917
FAP ablation,Level 3 fraction within compartment,Immune,IL-17+ gamma-delta T cell,6,5,0.0044593901769996325,0.0032461677186654604,-0.12132224583341722,-0.6757629254243684,0.6023689767074332,8.0,0.21325850560790915,0,0.28637570753062086
FAP ablation,Level 3 fraction within compartment,Immune,IL-22+ ILC3-like cell,6,5,0.004756298178116584,0.0032461677186654604,-0.15101304594511236,-0.5735319574975167,0.5247858057057798,6.0,0.1121958240846801,0,0.2074888896895377
FAP ablation,Level 3 fraction within compartment,Immune,IL-5/IL-13+ ILC2,6,5,0.005816536090563433,0.0068207050042479594,0.10041689136845262,-0.7741812806608903,1.0745484716462443,13.0,0.7739376469563976,0,0.8267061228852429
FAP ablation,Level 3 fraction within compartment,Immune,Inflammatory monocyte/macrophage,6,5,0.10391442102487226,0.00613165013525698,-9.778277088961529,-15.122262187163207,-4.5492723699124795,1.0,0.011643995832960661,0,0.04175373917792852
FAP ablation,Level 3 fraction within compartment,Immune,Inflammatory neutrophil,6,5,0.04293439232413582,0.0013364120151987998,-4.159798030893701,-7.796222057766542,-1.5702178560824867,0.0,0.007546234490451711,0,0.03813165114815917
FAP ablation,Level 3 fraction within compartment,Immune,Mast cell/basophil,6,5,0.0012270509922489333,0.00072137060414788,-0.05056803881010533,-0.19844648196707,0.12153797737154402,12.0,0.5970477943493623,0,0.6525871240562797
FAP ablation,Level 3 fraction within compartment,Immune,Mature B cell,6,5,0.1520109478140609,0.00108205590622182,-15.09288919078391,-20.22908764110862,-9.702187939387526,0.0,0.006735947344953688,0,0.03813165114815917
FAP ablation,Level 3 fraction within compartment,Immune,Naive T cell,6,5,0.0024094440541395997,0.00036068530207394,-0.20487587520656597,-0.5187737443574643,0.010844992160917683,8.0,0.19562021138624175,0,0.2757208135755657
FAP ablation,Level 3 fraction within compartment,Immune,Naive conventional T cell,6,5,0.050257772412730016,0.00883678990081154,-4.142098251191848,-8.56798192417484,-0.19432342060094585,4.0,0.04974599072150299,0,0.12305587178477055
FAP ablation,Level 3 fraction within compartment,Immune,Plasma cell,6,5,0.027672852051010863,0.09201404634122749,6.4341194290216634,-0.7031255344702355,15.005321416335732,21.0,0.31530245208174557,0,0.37997987814979595
FAP ablation,Level 3 fraction within compartment,Stromal,Ackr4+ Pi16-like fibroblast,6,4,0.03482619725812089,0.398575974863036,36.37497776049151,22.451578642679536,50.75414259456746,24.0,0.01421403886908205,0,0.04175373917792852
FAP ablation,Level 3 fraction within compartment,Stromal,Apod+ Wnt5a+ trophic fibroblast,6,4,0.0243888997345624,0.10835063795355876,8.396173821899636,7.263398798715625,9.678260087455858,24.0,0.01421403886908205,0,0.04175373917792852
FAP ablation,Level 3 fraction within compartment,Stromal,Ccl7+ Cxcl1+ inflammatory fibroblast,6,4,0.16251377423043223,0.11320535278034782,-4.930842145008441,-14.266093758740451,4.053613268135125,8.0,0.45554509378932995,0,0.5222102294658173
FAP ablation,Level 3 fraction within compartment,Stromal,Clec3b+ Has1+ matrix fibroblast,6,4,0.1264617345153698,0.03172766382862233,-9.473407068674748,-15.455276695914435,-3.393032117500285,5.0,0.16580656019401352,0,0.25101454533898376
FAP ablation,Level 3 fraction within compartment,Stromal,Cxcl13+ fibroblast,6,4,0.032517917306257055,0.1736531634318505,14.113524612559344,9.905591451509158,18.96419108714481,24.0,0.01421403886908205,0,0.04175373917792852
FAP ablation,Level 3 fraction within compartment,Stromal,ECM-rich fibroblast,6,4,0.2961142815117708,0.1093074816601345,-18.680679985163636,-33.70634343044912,-4.325804162214353,6.0,0.24095466870157012,0,0.3060775521344269
FAP ablation,Level 3 fraction within compartment,Stromal,Fibroblast (subtype unresolved),6,4,0.03884020882631623,0.020510198247273726,-1.8330010579042506,-3.944345228237594,0.1545276409378812,5.0,0.16580656019401352,0,0.25101454533898376
FAP ablation,Level 3 fraction within compartment,Stromal,Il1r1+ fibroblast,6,4,0.27585698992671864,0.001840267309818075,-27.40167226169006,-37.534104299522866,-17.59945522105769,0.0,0.013921913328143975,0,0.04175373917792852
FAP ablation,Level 3 fraction within compartment,Stromal,Pdgfra+ Wnt5a+ fibroblast,6,4,0.0031380056753709837,0.017149983193510278,1.4011977518139294,0.10480891377210497,2.708078189368178,19.5,0.12361040236823521,0,0.2074888896895377
FAP ablation,Level 3 fraction within compartment,Stromal,Wif1+ BMP-niche fibroblast,6,4,0.005341991015081051,0.025679276731848125,2.0337285716767073,0.2266278766128259,3.6651236986580886,18.5,0.199457609820622,0,0.2757208135755657
alpha5beta1 blockade,Compartment recovery,Epithelial,Epithelial,6,12,0.31437301207644053,0.9841110135017009,66.97380014252604,52.43776074016731,80.8121477507977,72.0,0.0008845671563050018,0,0.0008845671563050018
alpha5beta1 blockade,Compartment recovery,Immune,Immune,6,12,0.47803910442176184,0.009770243299086982,-46.82688611226749,-65.38701315618499,-27.7293459781536,0.0,0.0008845671563050018,0,0.0008845671563050018
alpha5beta1 blockade,Compartment recovery,Stromal,Stromal,6,12,0.14044372029434343,0.00011931666096957499,-14.032440363337386,-16.585267784587803,-11.35453614295475,0.0,0.0005031118117304816,0,0.0008845671563050018
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Absorptive-secretory transitional epithelial,6,12,0.004782083372942233,0.0016115380322498,-0.3170545340692433,-0.44506320172690156,-0.1885338162385526,2.0,0.0016941978698124809,0,0.0061251769139374305
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Colonocyte-like epithelial cell,6,12,0.010121197662254267,0.0029380480635683996,-0.7183149598685868,-1.0973503117566143,-0.37265105377015967,3.0,0.0023352973555886376,0,0.007376150968329977
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Enteroendocrine cell,6,12,0.00048377040043038336,0.0009764833542637749,0.04927129538333916,-0.03655428674985613,0.1146055920536307,60.0,0.02693750147519528,0,0.04521652033336351
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Enteroendocrine-secretory transitional cell,6,12,0.0053646803642442495,0.020663167219256654,1.5298486855012405,1.1531254944098184,1.9162348918996301,72.0,0.0008845671563050018,0,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,IFN-responsive absorptive colonocyte,6,12,0.007193811572431267,0.00010382287524455336,-0.7089988697186714,-1.0207442582233468,-0.4128834602288194,0.0,0.00038218399805330674,0,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,IFN/MHC-II-responsive epithelial,6,12,0.7613813074205321,0.0058015926687306095,-75.55797147518015,-77.01604580911507,-73.91856335940992,0.0,0.0008845671563050018,0,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Inflammatory Zg16+ secretory epithelial,6,12,0.004715632688400934,0.049447038175899294,4.473140548749837,4.094193348230108,4.848081574065459,72.0,0.0008845671563050018,0,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Injury/inflammatory epithelial,6,12,0.01070823327246565,0.394797085014543,38.40888517420773,21.170290270620065,55.97266797292058,72.0,0.0008845671563050018,0,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Mature absorptive colonocyte,6,12,0.12932851392800118,0.10341287350701873,-2.591564042098245,-3.7714857360137963,-1.385671865307173,5.0,0.004282230007600965,0,0.010592884755644492
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Reg4+ deep-crypt secretory epithelial,6,12,0.007828577988398618,0.00469282348305675,-0.31357545053418684,-0.5504132103573994,-0.07495867990455868,15.0,0.05485778399010964,0,0.078130783258641
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Satb2+ epithelial-like transitional cell,6,12,0.04590099103918698,9.139230696116916e-07,-4.590007711611737,-5.802264306708507,-3.7181982301786167,0.0,0.00015570742655301556,0,0.0034645546955279233
