direction,ligand,receptor,disease_score_fap_series,attenuation_fap_ablation,disease_score_blockade_series,attenuation_a5b1_blockade,disease_induced_both_series,attenuation_class,consensus_strength,interaction,attenuation_difference_ablation_minus_blockade,prespecified_focus,focus_order
Fibroblast -> Neutrophil,Tspan3,Adam10,0.10164997405123,-0.0540495033113148,-0.350763742224591,-0.349626247692926,False,Not attenuated by either,,Tspan3 → Adam10,0.2955767443816112,False,
Neutrophil -> Fibroblast,Siglece,Ifngr1,0.100714092209141,0.400468085776036,0.116336597513856,0.215436429938507,True,Attenuated by both,0.215436429938507,Siglece → Ifngr1,0.18503165583752898,False,
Neutrophil -> Fibroblast,Dcn,Tlr4,0.098588502681353,0.323805531199403,0.421185665391548,0.465722709989764,True,Attenuated by both,0.323805531199403,Dcn → Tlr4,-0.14191717879036103,False,
Neutrophil -> Fibroblast,Tgfb1,Acvrl1,0.0978740488607341,0.0587744972402121,-0.0816038371427905,0.356875198426055,False,Attenuated by both,,Tgfb1 → Acvrl1,-0.29810070118584286,False,
Neutrophil -> Fibroblast,Slpi,Plscr4,-0.0974510873756309,0.230180818119265,-0.0668675394703131,0.400031009431911,False,Attenuated by both,,Slpi → Plscr4,-0.169850191312646,False,
Neutrophil -> Fibroblast,L1cam,Itgav,0.0971579096660518,0.432917523430312,-0.0760329879722624,0.130489590388711,False,Attenuated by both,,L1cam → Itgav,0.302427933041601,False,
Neutrophil -> Fibroblast,Calr,Lrp1,0.0968738725671989,0.301309136052343,-0.198455283470728,0.228487718290438,False,Attenuated by both,,Calr → Lrp1,0.07282141776190498,False,
Neutrophil -> Fibroblast,Mif,Ackr3,0.096151149997254,0.145770350621592,-0.173124555388361,0.311138751639491,False,Attenuated by both,,Mif → Ackr3,-0.165368401017899,False,
Neutrophil -> Fibroblast,S100a9,Tlr4,-0.0933313063549487,0.163679143563577,0.0643787531671429,0.24196327025223,False,Attenuated by both,,S100a9 → Tlr4,-0.078284126688653,False,
Fibroblast -> Neutrophil,Mif,Cd44,0.0921956666845856,0.428935986051498,0.223948543435555,0.140907481324234,True,Attenuated by both,0.140907481324234,Mif → Cd44,0.28802850472726405,False,
