family,feature,min_cells,contrast,n_per_arm,effect,low,high,p,q
Canonical composition,CXCR4 neutrophil,0,alpha_interaction,6,-0.908202401393953,-1.75425121700381,-0.0621535857840926,0.0380250170974377,0.0507000227965837
Canonical composition,MX1/ISG neutrophil,0,alpha_interaction,6,-0.83434218215413,-1.50511421686381,-0.163570147444448,0.0177918722520057,0.0355837445040115
Canonical composition,OSM neutrophil,0,alpha_interaction,6,0.44596141884567,-0.147069450135563,1.0389922878269,0.128317649568203,0.128317649568203
Canonical composition,PADI4 neutrophil,0,alpha_interaction,6,1.29658316470241,0.356222695915672,2.23694363348914,0.0110698933912198,0.0355837445040115
Canonical composition,CXCR4 neutrophil,0,alpha_in_UC,6,-0.34126249578896,-0.767560564106238,0.0850355725283175,0.10165592360617,0.135541231474894
Canonical composition,MX1/ISG neutrophil,0,alpha_in_UC,6,0.284146940095497,-0.299686906387557,0.867980786578551,0.302157105140305,0.302157105140305
Canonical composition,OSM neutrophil,0,alpha_in_UC,6,-0.395178845428588,-0.86518119490156,0.0748235040443842,0.0873023748630575,0.135541231474894
Canonical composition,PADI4 neutrophil,0,alpha_in_UC,6,0.452294401122045,0.109169138062464,0.795419664181626,0.0154681111646769,0.0618724446587076
Canonical composition,CXCR4 neutrophil,20,alpha_interaction,4,-1.04835995236544,-1.57223514658368,-0.524484758147192,0.001084390775637,0.00433756310254799
Canonical composition,MX1/ISG neutrophil,20,alpha_interaction,4,-1.11900141973005,-1.83596048752748,-0.402042351932614,0.00626309641224217,0.00888040591621928
Canonical composition,OSM neutrophil,20,alpha_interaction,4,0.576226500810779,-0.234956783128299,1.38740978474986,0.125274170027404,0.125274170027404
Canonical composition,PADI4 neutrophil,20,alpha_interaction,4,1.5911348712847,0.591717205904631,2.59055253666476,0.00666030443716446,0.00888040591621928
Canonical composition,CXCR4 neutrophil,20,alpha_in_UC,5,-0.151657887934595,-0.448579012285152,0.145263236415962,0.272692129633223,0.36358950617763
Canonical composition,MX1/ISG neutrophil,20,alpha_in_UC,5,-0.0211850226488919,-0.43115174209392,0.388781696796136,0.907626997274526,0.907626997274526
Canonical composition,OSM neutrophil,20,alpha_in_UC,5,-0.22747147773311,-0.572292927366141,0.117349971899922,0.166643608549024,0.333287217098047
Canonical composition,PADI4 neutrophil,20,alpha_in_UC,5,0.400314388316588,-0.0210752808550939,0.82170405748827,0.0595902717739584,0.238361087095833
Canonical composition,CXCR4 neutrophil,50,alpha_interaction,3,-1.18647488720172,-1.86417617090969,-0.508773603493747,0.0054377783855476,0.0108755567710952
Canonical composition,MX1/ISG neutrophil,50,alpha_interaction,3,-1.1709815351678,-2.23628144931042,-0.105681621025176,0.0365105643130438,0.0486807524173917
Canonical composition,OSM neutrophil,50,alpha_interaction,3,0.316213396874447,-0.510607245952049,1.14303403970094,0.320004796796017,0.320004796796017
Canonical composition,PADI4 neutrophil,50,alpha_interaction,3,2.04124302549505,1.32365205944926,2.75883399154084,0.000200442107536984,0.000801768430147935
Canonical composition,CXCR4 neutrophil,50,alpha_in_UC,5,-0.151657887934595,-0.448579012285152,0.145263236415962,0.272692129633223,0.36358950617763
Canonical composition,MX1/ISG neutrophil,50,alpha_in_UC,5,-0.0211850226488919,-0.43115174209392,0.388781696796136,0.907626997274526,0.907626997274526
Canonical composition,OSM neutrophil,50,alpha_in_UC,5,-0.22747147773311,-0.572292927366141,0.117349971899922,0.166643608549024,0.333287217098047
Canonical composition,PADI4 neutrophil,50,alpha_in_UC,5,0.400314388316588,-0.0210752808550939,0.82170405748827,0.0595902717739584,0.238361087095833
Full-gene program,CXCR4_aging_retention,0,alpha_interaction,6,-0.900214488449786,-1.14428537439811,-0.656143602501457,7.31712281707561e-07,5.12198597195293e-06
Full-gene program,Chemotaxis,0,alpha_interaction,6,-0.713567028589187,-0.893239902864795,-0.533894154313579,3.28048354489911e-07,4.59267696285876e-06
Full-gene program,Degranulation,0,alpha_interaction,6,-0.0374055874152109,-0.187487182765935,0.112676007935514,0.596935225961097,0.596935225961097
Full-gene program,ER_stress,0,alpha_interaction,6,-0.345390852365126,-0.543398818826749,-0.147382885903504,0.00333476507145949,0.00933734220008656
Full-gene program,Hypoxia_glycolysis,0,alpha_interaction,6,-0.15136155146109,-0.323469729763291,0.0207466268411109,0.0779783773058336,0.0992452074801518
Full-gene program,Immature_granulopoiesis,0,alpha_interaction,6,0.152579208165396,-0.0124089117410418,0.317567328071833,0.0667851791235198,0.0934992507729278
Full-gene program,Integrin_adhesion,0,alpha_interaction,6,-0.448116556988498,-0.801079713785524,-0.0951534001914727,0.0204285032202959,0.0357498806355179
Full-gene program,NETosis,0,alpha_interaction,6,-0.203056442045609,-0.34203289195631,-0.0640799921349079,0.00691804667930901,0.013836093358618
Full-gene program,OSM_inflammation,0,alpha_interaction,6,-0.511160103846036,-0.787164111157384,-0.235156096534688,0.00121222810879518,0.00424279838078314
Full-gene program,Oxidative_burst,0,alpha_interaction,6,-0.509364594104743,-0.93161720988871,-0.0871119783207771,0.0242716531408182,0.0377559048857172
Full-gene program,Phagocytosis,0,alpha_interaction,6,-0.717108602793028,-0.998913156247815,-0.435304049338241,0.000173862633130515,0.000811358954609068
Full-gene program,Proliferation_stress,0,alpha_interaction,6,-0.0748794170658343,-0.205282248001873,0.0555234138702043,0.226987779435646,0.244448377853772
Full-gene program,Survival_antiapoptosis,0,alpha_interaction,6,-0.475348796978464,-0.763622044892204,-0.187075549064724,0.00497496869332012,0.0116082602844136
Full-gene program,Type_I_interferon,0,alpha_interaction,6,-0.0880405100324063,-0.194779491840793,0.0186984717759804,0.0949601823006372,0.110786879350743
Full-gene program,CXCR4_aging_retention,0,alpha_in_UC,6,-0.233446814005553,-0.413783377211488,-0.0531102507996178,0.0188693359061623,0.136780297482637
Full-gene program,Chemotaxis,0,alpha_in_UC,6,-0.182381824978235,-0.325079035871332,-0.0396846140851369,0.0195400424975196,0.136780297482637
Full-gene program,Degranulation,0,alpha_in_UC,6,0.0350179584970381,-0.0558985487331992,0.125934465727275,0.377447975176324,0.635760914087285
