marker,minimum_effect,maximum_effect,sign_stable
CXCR4,0.0393004697153436,0.0967945989355855,TRUE
OSM,0.0360916489373362,0.0833098895726215,TRUE
CD16,0.110047697039587,0.146358187302054,TRUE
CD11b,0.130873964220569,0.183749224885557,TRUE
