DonorID,ConditionCode,state,program,value,cells,version
Donor5,UF,OSM neutrophil,NETosis,-0.0508826413414532,10,full_gene
Donor6,UN,CXCR4 neutrophil,NETosis,0.0939061542410696,21,full_gene
Donor1,UN,CXCR4 neutrophil,NETosis,0.0664848971143889,34,full_gene
Donor6,UF,PADI4 neutrophil,NETosis,0.556132289874694,14,full_gene
Donor2,UN,PADI4 neutrophil,NETosis,0.488479965474911,15,full_gene
Donor5,UN,OSM neutrophil,NETosis,0.0108023418542065,13,full_gene
Donor3,UF,PADI4 neutrophil,NETosis,0.340162284763881,46,full_gene
Donor6,UF,MX1/ISG neutrophil,NETosis,0.0434469161035086,27,full_gene
Donor6,UN,OSM neutrophil,NETosis,-0.0720302935525825,26,full_gene
Donor1,UF,CXCR4 neutrophil,NETosis,0.0221094500375117,65,full_gene
Donor5,UN,CXCR4 neutrophil,NETosis,0.106446841936383,13,full_gene
Donor1,UN,PADI4 neutrophil,NETosis,0.0999361416734197,3,full_gene
Donor6,UN,MX1/ISG neutrophil,NETosis,0.235422964779981,4,full_gene
Donor1,UF,MX1/ISG neutrophil,NETosis,0.204504068669237,5,full_gene
Donor6,UN,PADI4 neutrophil,NETosis,0.125812799768107,3,full_gene
Donor1,UF,PADI4 neutrophil,NETosis,0.484414857912261,4,full_gene
Donor4,UD,CXCR4 neutrophil,NETosis,0.151701531604257,724,full_gene
Donor4,UA5,MX1/ISG neutrophil,NETosis,0.223985071878932,146,full_gene
Donor5,UD,CXCR4 neutrophil,NETosis,-0.0673181379311493,574,full_gene
Donor2,UD,OSM neutrophil,NETosis,-0.111837033540165,395,full_gene
Donor4,UA5,OSM neutrophil,NETosis,0.0986887096034926,917,full_gene
Donor3,UA5,OSM neutrophil,NETosis,0.0537257901435263,1134,full_gene
Donor1,UA5,CXCR4 neutrophil,NETosis,-0.0511125268967122,617,full_gene
Donor4,UA5,CXCR4 neutrophil,NETosis,0.157109948220941,460,full_gene
Donor2,UA5,CXCR4 neutrophil,NETosis,-0.045531899966178,422,full_gene
Donor6,UD,MX1/ISG neutrophil,NETosis,0.189848129892782,20,full_gene
Donor1,UA5,OSM neutrophil,NETosis,-0.0605044768697089,636,full_gene
Donor3,UA5,CXCR4 neutrophil,NETosis,0.130737564570835,683,full_gene
Donor3,UD,MX1/ISG neutrophil,NETosis,0.062966887644104,159,full_gene
Donor4,UD,OSM neutrophil,NETosis,0.0904789981575754,933,full_gene
Donor3,UA5,MX1/ISG neutrophil,NETosis,0.0884376938379871,170,full_gene
Donor5,UD,OSM neutrophil,NETosis,-0.101876783842273,492,full_gene
Donor2,UA5,MX1/ISG neutrophil,NETosis,0.181353932311146,58,full_gene
Donor6,UA5,CXCR4 neutrophil,NETosis,-0.09846332619712,268,full_gene
Donor6,UD,CXCR4 neutrophil,NETosis,-0.0627512954332395,240,full_gene
Donor2,UA5,OSM neutrophil,NETosis,-0.0713404548662465,406,full_gene
Donor2,UD,CXCR4 neutrophil,NETosis,-0.0326494658040864,455,full_gene
Donor3,UD,CXCR4 neutrophil,NETosis,0.0676772848584722,551,full_gene
Donor3,UD,OSM neutrophil,NETosis,0.0286551031966797,754,full_gene
Donor1,UD,PADI4 neutrophil,NETosis,0.362496074046583,16,full_gene
Donor5,UD,PADI4 neutrophil,NETosis,1.13150621501657,70,full_gene
Donor1,UD,CXCR4 neutrophil,NETosis,-0.0370095607177603,87,full_gene
Donor1,UA5,MX1/ISG neutrophil,NETosis,0.0727894043965965,68,full_gene
Donor2,UD,PADI4 neutrophil,NETosis,0.764143860276885,52,full_gene
Donor1,UA5,PADI4 neutrophil,NETosis,0.900205624939096,81,full_gene
Donor3,UD,PADI4 neutrophil,NETosis,0.60328781901736,52,full_gene
Donor6,UD,PADI4 neutrophil,NETosis,0.692669183980609,39,full_gene
Donor6,UD,OSM neutrophil,NETosis,-0.12111813839234,182,full_gene
Donor2,UA5,PADI4 neutrophil,NETosis,1.23787953679147,58,full_gene
Donor5,UD,MX1/ISG neutrophil,NETosis,0.000629668977599197,48,full_gene
Donor1,UD,OSM neutrophil,NETosis,-0.0360771573723093,84,full_gene
Donor6,UA5,OSM neutrophil,NETosis,-0.0925243473906663,179,full_gene
Donor4,UD,PADI4 neutrophil,NETosis,0.777764841591957,56,full_gene
Donor4,UD,MX1/ISG neutrophil,NETosis,0.191653723253711,134,full_gene
Donor4,UA5,PADI4 neutrophil,NETosis,0.583039369879989,53,full_gene
Donor3,UA5,PADI4 neutrophil,NETosis,0.829211185385602,66,full_gene
Donor6,UA5,PADI4 neutrophil,NETosis,0.621698141996667,36,full_gene
Donor1,UD,MX1/ISG neutrophil,NETosis,0.217773135466696,13,full_gene
Donor6,UA5,MX1/ISG neutrophil,NETosis,0.109226537403295,27,full_gene
Donor2,UD,MX1/ISG neutrophil,NETosis,0.185781850128553,44,full_gene
Donor5,UA5,OSM neutrophil,NETosis,-0.341215027998092,1,full_gene
Donor5,UA5,CXCR4 neutrophil,NETosis,0.101050478289097,2,full_gene
Donor5,UA5,MX1/ISG neutrophil,NETosis,-0.146869591719952,1,full_gene
Donor4,CF,CXCR4 neutrophil,NETosis,0.179229416109563,1309,full_gene
Donor3,NA5,OSM neutrophil,NETosis,0.0637446089849552,1521,full_gene
Donor2,NA5,MX1/ISG neutrophil,NETosis,0.0682555832384606,69,full_gene
Donor5,NA5,PADI4 neutrophil,NETosis,0.899348021017057,59,full_gene
Donor3,NA5,CXCR4 neutrophil,NETosis,0.177269484992241,2069,full_gene
Donor2,NA5,PADI4 neutrophil,NETosis,0.661659956387341,31,full_gene
Donor3,CF,PADI4 neutrophil,NETosis,0.635908685927853,60,full_gene
Donor5,NA5,CXCR4 neutrophil,NETosis,0.0421113826103002,1363,full_gene
Donor6,CF,OSM neutrophil,NETosis,-0.10141820133285,464,full_gene
Donor3,CF,CXCR4 neutrophil,NETosis,0.216023060308084,1448,full_gene
Donor1,CF,MX1/ISG neutrophil,NETosis,0.120797513890088,65,full_gene
Donor4,NA5,OSM neutrophil,NETosis,0.0230466255527481,622,full_gene
Donor1,CF,OSM neutrophil,NETosis,-0.0412846816992082,454,full_gene
Donor3,CF,OSM neutrophil,NETosis,0.0807161352423786,1596,full_gene
Donor2,NA5,OSM neutrophil,NETosis,-0.0576183999604554,423,full_gene
Donor4,NA5,CXCR4 neutrophil,NETosis,0.163607464703345,789,full_gene
Donor6,CF,CXCR4 neutrophil,NETosis,0.0134595026122267,692,full_gene
Donor1,CF,CXCR4 neutrophil,NETosis,0.0306912933225125,699,full_gene
Donor5,NA5,MX1/ISG neutrophil,NETosis,0.0755399494493957,132,full_gene
Donor5,NA5,OSM neutrophil,NETosis,-0.080322043286016,982,full_gene
Donor4,CF,OSM neutrophil,NETosis,0.0589802903466248,1266,full_gene
Donor4,CF,MX1/ISG neutrophil,NETosis,0.161368563734536,215,full_gene
Donor2,NA5,CXCR4 neutrophil,NETosis,0.0321354341220179,625,full_gene
Donor3,CF,MX1/ISG neutrophil,NETosis,0.211429708371925,251,full_gene
Donor3,NA5,MX1/ISG neutrophil,NETosis,0.172059259027364,266,full_gene
Donor4,NA5,MX1/ISG neutrophil,NETosis,0.155715313353759,146,full_gene
Donor4,CF,PADI4 neutrophil,NETosis,0.633269128516232,58,full_gene
Donor6,CF,MX1/ISG neutrophil,NETosis,0.119496371410381,74,full_gene
Donor4,NA5,PADI4 neutrophil,NETosis,1.08083571148907,23,full_gene
Donor3,NA5,PADI4 neutrophil,NETosis,0.484459000513637,57,full_gene
Donor6,CF,PADI4 neutrophil,NETosis,0.697338679314755,19,full_gene
Donor1,NA5,CXCR4 neutrophil,NETosis,0.102585563962679,47,full_gene
Donor1,CF,PADI4 neutrophil,NETosis,0.745062708030059,35,full_gene
Donor5,CF,OSM neutrophil,NETosis,0.0193620955225465,5,full_gene
Donor1,NA5,OSM neutrophil,NETosis,-0.0668502118269587,21,full_gene
Donor5,CF,CXCR4 neutrophil,NETosis,0.320326126236788,5,full_gene
Donor2,CF,OSM neutrophil,NETosis,-0.141049877170997,9,full_gene
Donor1,NA5,MX1/ISG neutrophil,NETosis,-0.0570581752255147,3,full_gene
Donor2,CF,CXCR4 neutrophil,NETosis,-0.087774409043588,11,full_gene
Donor2,CF,MX1/ISG neutrophil,NETosis,-0.197882981534154,2,full_gene
Donor6,NA5,OSM neutrophil,NETosis,0.27371199912597,1,full_gene
Donor5,CF,PADI4 neutrophil,NETosis,-0.0831336463315664,1,full_gene
Donor1,N,PADI4 neutrophil,Degranulation,0.503555936491657,3,full_gene
Donor6,N,PADI4 neutrophil,Degranulation,2.42090832384743,65,full_gene
Donor6,N,OSM neutrophil,Degranulation,-0.150994143425823,563,full_gene
Donor5,NNAMPT,CXCR4 neutrophil,Degranulation,0.13941653064253,9,full_gene
Donor6,N,CXCR4 neutrophil,Degranulation,0.0339587484519053,156,full_gene
Donor2,NNAMPT,OSM neutrophil,Degranulation,-0.148523538503067,162,full_gene
Donor6,N,MX1/ISG neutrophil,Degranulation,0.266794848969919,17,full_gene
Donor1,N,CXCR4 neutrophil,Degranulation,0.0603036894237718,10,full_gene
Donor2,NNAMPT,CXCR4 neutrophil,Degranulation,0.0395484719995978,44,full_gene
Donor1,NNAMPT,OSM neutrophil,Degranulation,-0.22402699603183,49,full_gene
Donor4,NNAMPT,OSM neutrophil,Degranulation,-0.123055819700663,157,full_gene
Donor1,N,OSM neutrophil,Degranulation,-0.216256301907776,42,full_gene
Donor5,NNAMPT,OSM neutrophil,Degranulation,-0.156152795999243,31,full_gene
Donor4,N,CXCR4 neutrophil,Degranulation,0.117100737857684,47,full_gene
Donor5,N,CXCR4 neutrophil,Degranulation,-0.110787634134522,11,full_gene
Donor4,N,OSM neutrophil,Degranulation,-0.165831196159492,168,full_gene
Donor3,N,CXCR4 neutrophil,Degranulation,0.23663534149008,32,full_gene
Donor4,NNAMPT,CXCR4 neutrophil,Degranulation,0.17451602890896,59,full_gene
Donor4,NNAMPT,PADI4 neutrophil,Degranulation,1.54349846458211,11,full_gene
Donor4,N,MX1/ISG neutrophil,Degranulation,0.49445935314319,7,full_gene
Donor3,N,OSM neutrophil,Degranulation,-0.138662545632165,57,full_gene
Donor3,NNAMPT,OSM neutrophil,Degranulation,-0.0475525281872586,20,full_gene
Donor2,N,OSM neutrophil,Degranulation,-0.189848166126887,39,full_gene
Donor3,NNAMPT,CXCR4 neutrophil,Degranulation,0.0893173068714476,16,full_gene
Donor5,N,OSM neutrophil,Degranulation,-0.182373890657995,48,full_gene
Donor2,N,CXCR4 neutrophil,Degranulation,0.0948539150796917,8,full_gene
Donor2,NNAMPT,PADI4 neutrophil,Degranulation,1.51577633753646,6,full_gene
Donor6,NNAMPT,OSM neutrophil,Degranulation,-0.0872914666642405,12,full_gene
Donor1,NNAMPT,CXCR4 neutrophil,Degranulation,0.141189213937967,14,full_gene
Donor4,N,PADI4 neutrophil,Degranulation,1.47815650395146,12,full_gene
Donor3,N,PADI4 neutrophil,Degranulation,1.49747170655438,10,full_gene
Donor4,NNAMPT,MX1/ISG neutrophil,Degranulation,0.436280792808105,6,full_gene
Donor5,N,MX1/ISG neutrophil,Degranulation,0.174337961863401,1,full_gene
Donor3,NNAMPT,PADI4 neutrophil,Degranulation,0.712910395725044,3,full_gene
Donor3,N,MX1/ISG neutrophil,Degranulation,0.119511302370842,3,full_gene
Donor5,NNAMPT,MX1/ISG neutrophil,Degranulation,0.0581703817671194,1,full_gene
Donor2,NNAMPT,MX1/ISG neutrophil,Degranulation,0.301156109688969,3,full_gene
Donor6,NNAMPT,CXCR4 neutrophil,Degranulation,0.0889373889193288,1,full_gene
Donor3,NNAMPT,MX1/ISG neutrophil,Degranulation,0.138187843251115,3,full_gene
Donor5,N,PADI4 neutrophil,Degranulation,1.87294079853424,1,full_gene
Donor4,UF,OSM neutrophil,Degranulation,-0.0658244663555202,2162,full_gene
Donor4,UN,OSM neutrophil,Degranulation,-0.0396958283073504,448,full_gene
