Diagnosis2,fibroblast_state,radius_um,n,median_log2_observed_expected,p_value,fdr
UC_Noninflamed,FAP+/a5B1-,15,9,0.09263431425003912,1.0,1.0
UC_Noninflamed,FAP+/a5B1-,25,9,-0.06084138904947607,0.5703125,0.9038915094339623
UC_Noninflamed,FAP+/a5B1-,35,9,-0.23629417924505824,0.65234375,0.9956896551724138
UC_Noninflamed,FAP+/a5B1-,50,9,0.0554269709268599,1.0,1.0
UC_Noninflamed,FAP+/a5B1-,75,9,0.12163252239230243,0.8203125,1.0
UC_Noninflamed,FAP+/a5B1-,100,9,-0.009685894098226256,0.91015625,1.0
UC_Noninflamed,FAP+/a5B1-,150,9,-0.0681381163072151,0.91015625,1.0
UC_Noninflamed,FAP-/a5B1+,15,9,-0.6970572936695437,0.02734375,0.07656249999999999
UC_Noninflamed,FAP-/a5B1+,25,9,-0.5896931858644583,0.00390625,0.025240384615384616
UC_Noninflamed,FAP-/a5B1+,35,9,-0.663722118034285,0.00390625,0.025240384615384616
UC_Noninflamed,FAP-/a5B1+,50,9,-0.5136237190008939,0.00390625,0.025240384615384616
UC_Noninflamed,FAP-/a5B1+,75,9,-0.4021537935290667,0.00390625,0.025240384615384616
UC_Noninflamed,FAP-/a5B1+,100,9,-0.4948828800504522,0.00390625,0.025240384615384616
UC_Noninflamed,FAP-/a5B1+,150,9,-0.2475527294362545,0.0078125,0.041015625
UC_Noninflamed,FAP-/a5B1-,15,9,0.6076546264110966,0.01171875,0.0546875
UC_Noninflamed,FAP-/a5B1-,25,9,0.586440439609123,0.00390625,0.025240384615384616
UC_Noninflamed,FAP-/a5B1-,35,9,0.576999881968822,0.00390625,0.025240384615384616
UC_Noninflamed,FAP-/a5B1-,50,9,0.5402282620770579,0.00390625,0.025240384615384616
UC_Noninflamed,FAP-/a5B1-,75,9,0.36585700679725996,0.00390625,0.025240384615384616
UC_Noninflamed,FAP-/a5B1-,100,9,0.23909912339412998,0.0078125,0.041015625
UC_Noninflamed,FAP-/a5B1-,150,9,0.11145040903195498,0.0078125,0.041015625
