Diagnosis2,fibroblast_state,immune_target,n,median_log2_observed_expected,p_value,fdr
UC_Noninflamed,FAP+/a5B1-,Macrophage,9,-0.08344297446490957,0.8203125,0.8948863636363636
UC_Noninflamed,FAP+/a5B1-,Neutrophil,9,-0.15215078040686675,0.42578125,0.5474330357142857
UC_Noninflamed,FAP-/a5B1+,B / plasma,9,0.016701854082973127,1.0,1.0
UC_Noninflamed,FAP-/a5B1+,CD4 T,9,-0.5585452173584212,0.00390625,0.040178571428571425
UC_Noninflamed,FAP-/a5B1+,CD8 T,9,0.6999166948110067,0.1640625,0.24609375
UC_Noninflamed,FAP-/a5B1+,Dendritic,9,-0.9151645045253327,0.30078125,0.4086084905660377
UC_Noninflamed,FAP-/a5B1+,Macrophage,9,-0.11890344443841272,0.09765625,0.17578125
UC_Noninflamed,FAP-/a5B1+,Neutrophil,9,0.67249763792613,0.5703125,0.673155737704918
UC_Noninflamed,FAP-/a5B1-,B / plasma,9,0.1719218425576617,0.01171875,0.049632352941176475
UC_Noninflamed,FAP-/a5B1-,CD4 T,9,-0.4563894700243161,0.0078125,0.040178571428571425
UC_Noninflamed,FAP-/a5B1-,CD8 T,9,0.4756736036124504,0.00390625,0.040178571428571425
UC_Noninflamed,FAP-/a5B1-,Dendritic,9,-0.9689730469982026,0.0078125,0.040178571428571425
UC_Noninflamed,FAP-/a5B1-,Macrophage,9,0.028301999365952058,0.8203125,0.8948863636363636
UC_Noninflamed,FAP-/a5B1-,Neutrophil,9,0.5946973485142009,0.203125,0.29250000000000004
