Diagnosis2,FAP_percentile,a5B1_percentile,median_log2_observed_expected
Control,60,60,-0.11924278110148011
Control,60,65,-0.11198670260487556
Control,60,70,-0.06590155414550383
Control,60,75,-0.041746576299104554
Control,60,80,-0.04604477128877455
Control,60,85,-0.04297399332590552
Control,60,90,0.008876520165435008
Control,65,60,-0.1435498214027326
Control,65,65,-0.16096308020989747
Control,65,70,-0.0864282232602926
Control,65,75,-0.053169426592793764
Control,65,80,-0.03675602137530658
Control,65,85,-0.03863326948875785
Control,65,90,-0.0037436298701433307
Control,70,60,-0.17312722088201632
Control,70,65,-0.18739985234028483
Control,70,70,-0.08675297675357163
Control,70,75,-0.07894765365064212
Control,70,80,-0.051193058107279595
Control,70,85,-0.052193406603309
Control,70,90,-0.0011075959285439113
Control,75,60,-0.15785740493460942
Control,75,65,-0.19253909323489943
Control,75,70,-0.05352643117034653
Control,75,75,-0.02163546073675013
Control,75,80,0.004716898943816536
Control,75,85,-0.034262625017373205
Control,75,90,0.025076309690690315
Control,80,60,-0.216771207955927
Control,80,65,-0.16903005500582405
Control,80,70,-0.07778507722713619
Control,80,75,-0.008618558149614305
Control,80,80,0.005477627819120479
Control,80,85,-0.07273488567839362
Control,80,90,0.015228956725693257
Control,85,60,-0.19839413991809532
Control,85,65,-0.15410036655979825
Control,85,70,-0.20445469451652518
Control,85,75,-0.11730779801483134
Control,85,80,-0.06961988949939131
Control,85,85,-0.13503917515182262
Control,85,90,-0.10465498013709576
Control,90,60,-0.6276102157388637
Control,90,65,-0.5619758712157301
Control,90,70,-0.5491028735623784
Control,90,75,-0.4788931303706356
Control,90,80,-0.49682926123292814
Control,90,85,-0.5366281477406636
Control,90,90,-0.4177201694181746
UC_Inflamed,60,60,0.10774938222701312
UC_Inflamed,60,65,0.0743110918268543
UC_Inflamed,60,70,0.0264386004990357
UC_Inflamed,60,75,0.003780166523512286
UC_Inflamed,60,80,-0.0350680477852489
UC_Inflamed,60,85,-0.014567080673251472
UC_Inflamed,60,90,-0.02749740680225432
UC_Inflamed,65,60,0.14651396563417743
UC_Inflamed,65,65,0.09934879168062608
UC_Inflamed,65,70,0.05547611206644361
UC_Inflamed,65,75,0.03790026824018167
UC_Inflamed,65,80,0.003805602123079701
UC_Inflamed,65,85,0.011525706682083593
UC_Inflamed,65,90,0.01023052797546596
UC_Inflamed,70,60,0.19613755081904452
UC_Inflamed,70,65,0.13863178836048223
UC_Inflamed,70,70,0.08613064101536094
UC_Inflamed,70,75,0.06167440122062085
UC_Inflamed,70,80,0.0060665482437025015
UC_Inflamed,70,85,0.021232441049998486
UC_Inflamed,70,90,0.0306793593432268
UC_Inflamed,75,60,0.18756857154334705
