neut_state,Recruitment_migration,Retention_aging,Degranulation,NET_associated,Oxidative_burst,Inflammatory,Interferon,Survival_immaturity,Tissue_injury
Neutrophil OSM,1.5025655114728118,1.7696826117389668,0.08906697139047244,0.0810146691377759,0.8590838442305934,1.973617421956691,0.27398277574833046,0.8945434012927969,1.2077454825283302
Neutrophil CXCR4,0.9429151464076952,1.762188925991282,0.06559970632918938,0.056376566850372824,0.8772160177615222,1.6575383508661832,0.2527414559376869,0.7825475547434441,0.9715975387981449
Neutrophil PADI4,1.71172786581325,1.5093045577624125,0.19987929768481996,0.19163094206184644,1.0239345759255973,1.5225651004744307,0.17201359995892693,0.8297330752946447,1.403307476131988
Neutrophil MX1,1.400713527609726,1.7920915651162566,0.07885349431886485,0.06846282301753194,0.981084918048817,1.7338791195588639,0.8308593168461438,0.8751475028331496,1.1149672256921126
