neut_state,Recruitment_migration,Retention_aging,Degranulation,NET_associated,Oxidative_burst,Inflammatory,Interferon,Survival_immaturity,Tissue_injury
Neutrophil OSM,1.5025655114728118,2.058426402024959,0.08906697139047244,0.055568893524994174,0.8590838442305934,2.148797149715094,0.2993057963258715,0.8945434012927969,1.2077454825283302
Neutrophil CXCR4,0.9429151464076952,1.6999385793666733,0.06559970632918938,0.04894902513956267,0.8772160177615222,1.8757401300110716,0.2652817917509511,0.7825475547434441,0.9715975387981449
Neutrophil PADI4,1.71172786581325,1.789308140925509,0.19987929768481996,0.08828965055053635,1.0239345759255973,1.661622062398159,0.18564392100755034,0.8297330752946447,1.403307476131988
Neutrophil MX1,1.400713527609726,2.007100240156823,0.07885349431886485,0.05691210048668304,0.9810849180488173,1.933717915136391,0.8570130688412704,0.8751475028331496,1.1149672256921126
