neut_state	n	Recruitment_migration	Retention_aging	Degranulation	NET_associated	Oxidative_burst	Inflammatory	Interferon	Survival_immaturity	Tissue_injury
"Erythrocyte"	2	0.222865288531957	0.31201140394474	0	0	0.260009503287283	0.602164962703415	0	0	0.84124555020865
"Monocyte-derived macrophage"	7	0.714246015896946	1.08484750376252	0	0	0.765372303150645	1.34202852138891	0.218782919268632	0.216015912641415	1.16983130638454
"Neutrophil CXCR4"	9614	0.997247872583996	1.95786331110665	0.0918361835066258	0.0544731765987567	0.958901795969777	1.72586593698209	0.161008826440283	0.8324744753911	1.10907101941303
"Neutrophil MX1"	5222	1.52407423092505	1.98904109708127	0.100302882540258	0.0668829882775658	1.06827776965439	1.771312214506	0.889228573806954	0.934947565234016	1.19678454063719
"Neutrophil OSM"	8432	1.59572517528878	1.92821816788184	0.110856575463006	0.0770588135245573	0.916728558313256	2.02576846616962	0.240499346050586	0.933441736974898	1.27621707758133
"Neutrophil PADI4"	5911	1.83308942070354	1.65546135647902	0.258972330408709	0.201698760426188	1.10474325041738	1.53348433803224	0.138719882385114	0.870286258124905	1.50335733909395
"Neutrophil lowRNA"	9505	1.33310819623364	1.47298249331332	0.105598776311945	0.0721260469926494	0.785020532355421	1.41432361020259	0.16561069589547	0.825930390977673	1.20534010370056
