"PatientID","condition","biopsy_id","neut_state","cell","OSM","CXCR4","PADI4","MX1","IL1B","CXCL8","NFKBIA","CXCR2","FPR1","ITGAM","ICAM1","CD44","BCL2A1","MMP9","ELANE","LTF","CYBB","NCF2","RAC2","ISG15","IFIT3","IFI6"
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil CXCR4","SAM24417581_154918",0,3.30386096088362,0,0,3.69023116276511,4.16773885955931,4.37414712592635,0,3.69023116276511,0,3.30386096088362,0,3.69023116276511,0,0,0,0,0,3.30386096088362,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil CXCR4","SAM24417581_235010",0,0,0,0,0,4.09498467710519,3.88178477322571,0,3.30422925286389,0,0,3.30422925286389,3.30422925286389,0,0,0,0,3.30422925286389,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil lowRNA","SAM24417581_313712",0,0,0,0,3.11885929940038,4.19272397446137,3.73720738147334,0,3.52953683475149,0,0,3.52953683475149,3.52953683475149,3.11885929940038,0,0,0,3.52953683475149,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil OSM","SAM24417581_583884",0,0,3.060451117273,0,0,4.06344587124909,4.32965958446493,0,3.060451117273,0,0,3.060451117273,0,3.47913191394068,0,0,3.47913191394068,3.060451117273,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil CXCR4","SAM24417581_678739",3.01993780318816,3.65873042640795,0,0,0,4.20293483259593,0,0,3.79727913247334,0,0,0,3.65873042640795,0,0,0,0,3.44351057407498,3.01993780318816,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil PADI4","SAM24417581_680677",0,0,3.47669778372509,0,3.05702325004657,3.05702325004657,3.47669778372509,0,3.47669778372509,0,0,0,0,3.92527627061896,0,4.48037512165928,4.06261483985549,0,3.05702325004657,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil CXCR4","SAM24417581_820199",0,0,0,0,3.02246995192487,3.96174210399266,3.43989484068023,3.02246995192487,3.43989484068023,0,0,0,3.02246995192487,0,0,0,3.02246995192487,0,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil PADI4","SAM24417581_61551",3.23493210162634,0,3.23493210162634,0,4.25655697737981,4.11244782898114,3.9508591434711,0,3.82421884296812,0,0,0,3.82421884296812,0,0,0,0,3.62700080056801,3.23493210162634,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil CXCR4","SAM24417581_181481",0,0,0,0,3.74966337535007,3.74966337535007,4.28296277158876,0,2.96723166733922,0,0,0,3.61002589375985,0,0,0,0,2.96723166733922,2.96723166733922,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil lowRNA","SAM24417581_264591",0,0,0,0,0,3.68176178910797,4.03267749677925,0,0,0,0,0,3.68176178910797,0,0,0,0,0,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil lowRNA","SAM24417581_343322",0,0,0,0,0,4.3534459950104,4.03609226034037,0,0,0,4.03609226034037,0,0,0,0,0,0,0,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil MX1","SAM24417581_469111",0,0,0,0,3.43075989401913,3.43075989401913,4.16842454294537,0,3.43075989401913,3.00138249635174,0,3.00138249635174,3.00138249635174,0,0,0,0,3.00138249635174,3.43075989401913,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil CXCR4","SAM24417581_524167",0,3.63560718320072,0,0,0,4.53834731163822,4.15686199162333,0,0,0,0,0,0,0,0,0,0,3.98334085572645,3.98334085572645,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil CXCR4","SAM24417581_536230",0,3.29404216277485,0,0,4.12904719977951,4.65046877761693,3.90344921511867,0,0,0,0,0,4.30926044687754,0,0,0,0,3.69924260374324,3.29404216277485,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil OSM","SAM24417581_542634",0,0,0,0,3.7343887521843,4.20528951534319,4.04855088116989,0,0,3.09698317556036,0,0,3.7343887521843,0,0,0,0,0,3.09698317556036,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil PADI4","SAM24417581_596287",0,2.93117799094261,0,0,0,2.93117799094261,2.93117799094261,3.88755484193492,3.35522990426789,0,0,0,2.93117799094261,3.57105489384165,0,0,0,2.93117799094261,3.71007981130779,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil OSM","SAM24417581_734661",3.28521689554225,0,0,0,4.36873639433984,4.11313239300752,3.28521689554225,0,0,3.28521689554225,3.88952120282798,0,3.68710271387434,0,0,0,0,0,3.28521689554225,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil MX1","SAM24417581_875519",0,0,0,0,2.96170417859057,3.91291165178456,0,0,3.83614921428756,0,0,2.96170417859057,0,2.96170417859057,0,0,0,2.96170417859057,2.96170417859057,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil CXCR4","SAM24417581_294119",0,0,0,0,0,4.43588487993541,4.23789636955923,0,3.85135417969163,3.26997525033967,0,0,3.85135417969163,0,0,0,3.26997525033967,0,3.65694322322374,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil PADI4","SAM24417581_345659",0,0,0,0,3.03499925845782,4.16159864466786,3.97025453842084,0,0,0,0,0,3.66159700014676,3.03499925845782,0,0,0,3.45080778281485,3.03499925845782,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil OSM","SAM24417581_350392",0,0,0,0,3.94049710370775,4.30634692513391,3.83963745866554,3.05474247169923,3.69968926975081,0,0,3.05474247169923,3.48231620047434,3.05474247169923,0,0,3.05474247169923,3.48231620047434,3.48231620047434,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil CXCR4","SAM24417581_355278",3.13648722002988,3.54808883779092,0,0,0,4.41945830272148,4.06069758556913,3.13648722002988,3.13648722002988,0,0,3.75622132274649,3.89001866382621,0,0,0,3.13648722002988,3.13648722002988,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil PADI4","SAM24417581_423756",0,0,0,0,0,0,2.9587566383842,2.9587566383842,2.9587566383842,0,0,0,2.9587566383842,3.73351058435613,0,0,0,2.9587566383842,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil lowRNA","SAM24417581_482027",0,0,0,0,0,3.87055526917934,3.50661713970589,0,0,0,0,3.50661713970589,4.05249909151159,0,0,0,0,3.50661713970589,3.87055526917934,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil OSM","SAM24417581_484505",3.12829987432909,0,0,0,0,3.75456519651195,3.98742237636295,0,3.12829987432909,3.12829987432909,0,3.54408228077583,3.75456519651195,3.12829987432909,0,0,0,0,3.12829987432909,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil MX1","SAM24417581_563516",0,3.09263472133084,0,0,4.00501088388709,3.70449084849495,4.06410522837821,0,3.93167841876638,0,0,0,3.83653388149094,0,0,0,3.09263472133084,3.93167841876638,3.09263472133084,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil MX1","SAM24417581_638416",0,0,0,0,3.07742863525487,3.93448650685432,3.93448650685432,3.07742863525487,4.00948779552576,3.07742863525487,3.49208455555717,3.49208455555717,3.49208455555717,3.07742863525487,0,0,3.49208455555717,3.49208455555717,3.07742863525487,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil CXCR4","SAM24417581_814388",3.02994156148041,3.9162016312829,0,0,0,4.53351336384377,4.38662548804129,0,0,0,0,0,3.81524379038934,3.02994156148041,0,0,0,3.45763853098358,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil lowRNA","SAM24417581_30054",0,0,0,0,3.0061052702464,4.50578960709179,3.0061052702464,3.43028834486759,3.43028834486759,0,3.0061052702464,3.0061052702464,3.64590448044666,0,0,0,0,0,3.0061052702464,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil CXCR4","SAM24417581_52425",0,3.52549336851507,0,0,3.10458516900853,4.68859666868733,4.20728332356704,0,3.52549336851507,0,0,3.52549336851507,3.10458516900853,0,0,0,3.73892310092596,0,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil CXCR4","SAM24417581_295480",0,0,0,0,3.50953144869633,4.3357308421272,0,0,3.95560572080878,0,0,3.50953144869633,3.85746926062315,0,0,0,0,4.09214368086099,3.09170107297916,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil MX1","SAM24417581_297943",0,3.48329546707035,0,0,3.48329546707035,4.37151815794141,3.93979180618806,0,3.05708372549075,0,0,0,3.48329546707035,3.48329546707035,0,0,0,0,3.05708372549075,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil lowRNA","SAM24417581_304834",3.20939585717459,0,0,0,0,4.09605262796563,3.80466404242622,3.60531227051851,3.60531227051851,0,0,0,3.60531227051851,0,0,0,3.20939585717459,3.20939585717459,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil OSM","SAM24417581_741155",0,0,0,0,4.15477814750311,3.9868199540045,4.26266485073816,0,3.85512759724301,0,0,3.2436687347179,4.0816791704474,0,0,0,0,0,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil PADI4","SAM24417581_859079",0,2.88470111843231,0,0,0,3.52593241715526,3.66540708788302,3.30949454136975,3.30949454136975,0,0,0,3.52593241715526,3.30949454136975,0,0,0,0,3.30949454136975,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil PADI4","SAM24417581_102238",0,0,3.27294200192193,0,0,0,3.66876332962328,3.27294200192193,4.15892570679747,0,0,3.27294200192193,3.66876332962328,0,0,0,0,0,3.27294200192193,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil lowRNA","SAM24417581_143042",0,0,0,0,0,0,0,0,0,0,0,0,0,4.40638245343035,0,0,4.11142616967081,0,4.40638245343035,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil OSM","SAM24417581_291512",3.16946164885221,0,0,0,4.5432532395811,4.15650128294106,4.28574083309605,0,3.58237073143854,0,0,0,3.9253273463823,3.16946164885221,0,0,0,0,3.16946164885221,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil OSM","SAM24417581_392593",0,3.25407829658857,0,0,0,3.6494652960708,0,0,3.84842970077933,0,0,0,3.84842970077933,3.25407829658857,0,0,0,3.25407829658857,0,0,0,0
