metric,marker,role,reference,comparison,n_reference,n_comparison,median_reference,median_comparison,difference_group_medians,hodges_lehmann_shift,U_comparison,rank_biserial,p_exact,allocations,ties,contrast_context,q_BH_60
median,CD177,phenotype,WD,FD,6,5,-5795.962622754721,-5029.36204398893,766.6005787657914,-1298.7171276682125,14.0,-0.06666666666666665,0.9307359307359307,462,False,within recorded context,0.986557302346776
median,CD177,phenotype,WD,FC,6,6,-5795.962622754721,-9865.396984110364,-4069.434361355643,-4494.5721470119,4.0,-0.7777777777777778,0.025974025974025976,924,False,cross-context; preparation day and design confounding,0.08658008658008659
median,CD177,phenotype,WD,FG,6,6,-5795.962622754721,-13697.386277159821,-7901.4236544051,-8416.396975559015,2.0,-0.8888888888888888,0.008658008658008658,924,False,cross-context; preparation day and design confounding,0.032467532467532464
median,CD177,phenotype,FD,FC,5,6,-5029.36204398893,-9865.396984110364,-4836.034940121434,-4384.347424091346,0.0,-1.0,0.004329004329004329,462,False,cross-context; preparation day and design confounding,0.019980019980019977
median,CD177,phenotype,FD,FG,5,6,-5029.36204398893,-13697.386277159821,-8668.02423317089,-8081.365333802044,0.0,-1.0,0.004329004329004329,462,False,cross-context; preparation day and design confounding,0.019980019980019977
median,CD177,phenotype,FC,FG,6,6,-9865.396984110364,-13697.386277159821,-3831.989293049457,-3413.5478644599507,10.0,-0.4444444444444444,0.24025974025974026,924,False,within recorded context,0.41125541125541126
median,CD11b,gate-conditioned lineage diagnostic,WD,FD,6,5,18442.013770037716,13425.387913816674,-5016.625856221042,-1531.7104146297552,12.0,-0.19999999999999996,0.6623376623376623,462,False,within recorded context,0.7642357642357642
median,CD11b,gate-conditioned lineage diagnostic,WD,FC,6,6,18442.013770037716,7553.066590908,-10888.947179129716,-10524.953121413557,1.0,-0.9444444444444444,0.004329004329004329,924,False,cross-context; preparation day and design confounding,0.019980019980019977
median,CD11b,gate-conditioned lineage diagnostic,WD,FG,6,6,18442.013770037716,15007.03494948414,-3434.978820553577,-502.6229978350393,17.0,-0.05555555555555558,0.9372294372294372,924,False,cross-context; preparation day and design confounding,0.986557302346776
median,CD11b,gate-conditioned lineage diagnostic,FD,FC,5,6,13425.387913816674,7553.066590908,-5872.321322908674,-6627.920755493508,1.0,-0.9333333333333333,0.008658008658008658,462,False,cross-context; preparation day and design confounding,0.032467532467532464
median,CD11b,gate-conditioned lineage diagnostic,FD,FG,5,6,13425.387913816674,15007.03494948414,1581.6470356674654,3083.351623099171,20.0,0.33333333333333326,0.42857142857142855,462,False,cross-context; preparation day and design confounding,0.5844155844155844
median,CD11b,gate-conditioned lineage diagnostic,FC,FG,6,6,7553.066590908,15007.03494948414,7453.9683585761395,8483.519070855558,36.0,1.0,0.0021645021645021645,924,False,within recorded context,0.018552875695732836
median,CD45,gate-conditioned lineage diagnostic,WD,FD,6,5,14710.221183722131,13339.245900564289,-1370.9752831578426,-934.6767231538997,13.0,-0.1333333333333333,0.7922077922077922,462,False,within recorded context,0.8802308802308803
median,CD45,gate-conditioned lineage diagnostic,WD,FC,6,6,14710.221183722131,20738.253177279712,6028.031993557581,6757.405343407796,29.0,0.6111111111111112,0.09307359307359307,924,False,cross-context; preparation day and design confounding,0.21478521478521478
median,CD45,gate-conditioned lineage diagnostic,WD,FG,6,6,14710.221183722131,14469.778565640914,-240.442618081217,-49.164464325915105,18.0,0.0,1.0,924,False,cross-context; preparation day and design confounding,1.0
median,CD45,gate-conditioned lineage diagnostic,FD,FC,5,6,13339.245900564289,20738.253177279712,7399.007276715423,7776.089806780438,26.0,0.7333333333333334,0.05194805194805195,462,False,cross-context; preparation day and design confounding,0.14842300556586271
median,CD45,gate-conditioned lineage diagnostic,FD,FG,5,6,13339.245900564289,14469.778565640914,1130.5326650766256,241.51544824372286,15.0,0.0,1.0,462,False,cross-context; preparation day and design confounding,1.0
median,CD45,gate-conditioned lineage diagnostic,FC,FG,6,6,20738.253177279712,14469.778565640914,-6268.474611638798,-7686.627905314148,5.0,-0.7222222222222222,0.04112554112554113,924,False,within recorded context,0.12987012987012989
median,Ly6G,gate-conditioned lineage diagnostic,WD,FD,6,5,13415.38519272108,19583.95909071907,6168.573897997989,5752.923335424656,23.0,0.5333333333333334,0.1774891774891775,462,False,within recorded context,0.3170359052711994
median,Ly6G,gate-conditioned lineage diagnostic,WD,FC,6,6,13415.38519272108,12423.23959872386,-992.1455939972202,-1475.8108602855737,14.0,-0.2222222222222222,0.5887445887445888,924,False,cross-context; preparation day and design confounding,0.735930735930736
median,Ly6G,gate-conditioned lineage diagnostic,WD,FG,6,6,13415.38519272108,16744.802273508918,3329.417080787838,2644.6523306939544,24.0,0.33333333333333326,0.3939393939393939,924,False,cross-context; preparation day and design confounding,0.5844155844155844
median,Ly6G,gate-conditioned lineage diagnostic,FD,FC,5,6,19583.95909071907,12423.23959872386,-7160.719491995209,-5705.5790242498715,4.0,-0.7333333333333334,0.05194805194805195,462,False,cross-context; preparation day and design confounding,0.14842300556586271
median,Ly6G,gate-conditioned lineage diagnostic,FD,FG,5,6,19583.95909071907,16744.802273508918,-2839.1568172101506,-2449.8912580237484,11.0,-0.2666666666666667,0.5367965367965368,462,False,cross-context; preparation day and design confounding,0.7001693958215698
median,Ly6G,gate-conditioned lineage diagnostic,FC,FG,6,6,12423.23959872386,16744.802273508918,4321.562674785058,3791.0645346498522,27.0,0.5,0.17965367965367965,924,False,within recorded context,0.3170359052711994
median,F4/80,gate-conditioned lineage diagnostic,WD,FD,6,5,3343.4300674612527,3977.319565170647,633.8894977093942,525.9681204555768,18.0,0.19999999999999996,0.6623376623376623,462,False,within recorded context,0.7642357642357642
median,F4/80,gate-conditioned lineage diagnostic,WD,FC,6,6,3343.4300674612527,-1192.1087422226624,-4535.538809683915,-4378.772908034343,0.0,-1.0,0.0021645021645021645,924,False,cross-context; preparation day and design confounding,0.018552875695732836
median,F4/80,gate-conditioned lineage diagnostic,WD,FG,6,6,3343.4300674612527,1403.3157751820959,-1940.1142922791569,-1876.2867234541286,0.0,-1.0,0.0021645021645021645,924,False,cross-context; preparation day and design confounding,0.018552875695732836
median,F4/80,gate-conditioned lineage diagnostic,FD,FC,5,6,3977.319565170647,-1192.1087422226624,-5169.428307393309,-5319.818306021407,6.0,-0.6,0.12554112554112554,462,False,cross-context; preparation day and design confounding,0.25555090071219105
median,F4/80,gate-conditioned lineage diagnostic,FD,FG,5,6,3977.319565170647,1403.3157751820959,-2574.003789988551,-2601.6602395525088,6.0,-0.6,0.12554112554112554,462,False,cross-context; preparation day and design confounding,0.25555090071219105
median,F4/80,gate-conditioned lineage diagnostic,FC,FG,6,6,-1192.1087422226624,1403.3157751820959,2595.4245174047583,2451.4714873469916,36.0,1.0,0.0021645021645021645,924,False,within recorded context,0.018552875695732836
mean,OSM,phenotype,WD,FD,6,5,-27264.164561235244,-24985.63742715617,2278.527134079075,3344.4132730062374,16.0,0.06666666666666665,0.9307359307359307,462,False,within recorded context,0.986557302346776
mean,OSM,phenotype,WD,FC,6,6,-27264.164561235244,-2904.8657542210594,24359.298807014184,24881.671747570414,35.0,0.9444444444444444,0.004329004329004329,924,False,cross-context; preparation day and design confounding,0.016233766233766232
mean,OSM,phenotype,WD,FG,6,6,-27264.164561235244,-18220.061615561244,9044.102945674,10976.148860814,24.0,0.33333333333333326,0.3939393939393939,924,False,cross-context; preparation day and design confounding,0.5496828752642706
mean,OSM,phenotype,FD,FC,5,6,-24985.63742715617,-2904.8657542210594,22080.77167293511,24903.367206112616,24.0,0.6000000000000001,0.12554112554112554,462,False,cross-context; preparation day and design confounding,0.22825659189295552
