marker,P1-1,P1-2,P1-3,P1-4,P1-5,P1-6,P5-1,P5-2,P5-3,P5-4,P5-6,P3-1,P3-2,P3-3,P3-4,P3-5,P3-6,P3-7,P3-8,P3-9,P3-10,P3-11,P3-12,P4-1,P4-2,P4-3,P4-4,P4-5,P4-6,P4-7,P4-8,P4-9,P4-10,P4-11,P4-12,P1-7,P1-8,P1-9,P1-10,P1-11,P1-12,P5-7,P5-8,P5-9,P5-10,P5-11,P5-12
OSM,-0.06778599493905114,0.1642983288125651,-0.7798271028309299,-0.7062509027197222,-0.5507162001511633,-0.7915170964477428,0.20710861484704957,-0.41826378177178025,-1.008892688279325,-0.49133808395141315,-0.19661367226265303,2.041468806112824,1.2273995418761445,1.6806717880653526,1.9726230514595902,1.2395320477911886,0.34019972583859515,0.0006087237861082106,0.7103670114089456,2.143836980559412,1.717010572230605,2.2933325539303766,1.5522170774763289,0.03605051794512705,-0.3359511513210761,-0.893495224220484,-0.8908054102843005,-0.4210223585892871,-0.7307682994665281,0.23303337113889275,0.393182283207345,-1.249361417891908,-0.5048355083827727,-1.0404660507433554,-0.4349499786853335,0.33709326151000374,-0.5408580067064305,-0.7962340481014613,-1.0583102965682334,-0.09782861902883344,-0.38362650394282316,0.12365876627742728,0.06309484595352452,-0.8237422281118911,-1.3564033696510454,-1.32071463356235,-0.5862092416155137
CXCR4,-0.9874839253226692,-1.0239215037239475,-0.9550240634662479,-0.8142518617565826,-0.8353033279049958,-1.0282221715741857,-0.16406970877007887,-0.1141181290477606,-0.06772862829165821,0.0409587647142026,-0.2448037183530501,0.9260221466737069,2.2569593592920407,1.722385458469128,0.8968047165791733,1.895202343900411,3.8441481623717464,0.9312246328695989,1.64526391903319,0.628780608888442,0.4504862109148864,0.49142349723667383,0.8736311244999118,-0.19210336652128632,-0.3542571701606452,-0.6252577836825557,-0.022048717041917413,-0.06449772252813257,-0.06901497588923736,-0.23516989054741338,-0.348408722798822,-0.19842926433699198,-0.20523179132582053,-0.25327779451423466,-0.18184946371241648,-0.912524191214284,-1.0121160752332665,-0.9036047545874433,-0.8964748963608556,-1.0593284373835292,-1.1178730820689382,-0.22688207055586596,-0.2582408715389204,-0.28793128746346364,-0.24938133123232906,-0.3507274297675427,-0.3437328167660207
MPO,-0.3741795651281699,-0.35279891518428136,0.5379490239027671,-0.11054712371281927,-0.7347926279917989,-0.1550598506539829,-0.7637402225234177,-0.775052830878913,-0.5670991241166073,-0.5519397211696888,-0.7477905547107235,2.626403237382961,-0.26299653037618287,2.9509745289164693,2.7387995802043124,1.7379541883265137,1.4569186678147155,0.8329508427012907,-0.29279467830065037,1.3379180765576428,0.8130730270969624,0.011168846308964826,0.9295532855238575,-0.7350561279444765,-0.5029102816404075,-0.785031233057967,0.6439339109679256,-0.41270263274190067,0.273647544293291,-0.5823347005443154,-0.5257272712675055,0.9066575650818948,-0.26472998753606447,-0.7970768502757108,-0.5640834950238472,-0.928817369786893,-0.948405866691743,-0.15535446447530282,0.1212808171337508,-0.0027703145050378963,-0.4106078638680894,-0.8764612031193103,-0.8718739727284686,-0.7532296389360849,-0.6703312488900005,-0.7189297703769839,-0.7239571040559815
MX1,-0.36261905470553896,-1.6330936898830597,-0.5139674583751858,0.7072421677539801,-0.8000057730852915,-1.374103157818878,-0.16637505592066387,1.2048436744035214,1.6688855252242862,0.7960087784235432,0.33036677190144287,-0.8507703738250875,-0.6074046845597891,-1.7385087683366143,-0.997900448963041,-1.237329260666603,-1.178830949064313,-0.9005700982940591,-1.1655366665023714,-0.174783937704893,-0.6654404485078532,-0.06621926591036188,-0.4092913174030221,0.31849947025839737,0.5293850756270292,1.2409501086440313,1.8756828365815241,-0.27684773620960273,1.503562295305561,1.2023860738146914,0.9807432045828773,0.9819854460469928,0.045270516793669946,-0.2736461776499003,-0.2833629199038468,-0.20318699603923712,1.2370490826490461,0.6681429243626822,0.8119642577101366,-1.8724552527416567,-1.784638173432207,0.3311636951342637,0.6981125955970748,0.46041858928005325,1.5423102226113548,0.4378707094331037,-0.035956356636217275
PADI4,-0.23353204351844023,-0.8244013225477866,0.6010583026774491,1.0897569407871766,0.35521090526895327,0.2584902983763181,-0.12557657903357122,0.9334125899399938,1.2362945119642248,0.7236343993401844,0.10582374073964679,-1.448257955112061,-1.482631174293148,-1.7029307411176593,-1.45622349851723,-1.5292004409937132,-1.6137274539296576,-1.5595574632673168,-1.6231712356038315,-1.2003249173354498,-1.373971489179222,-1.3554612941003186,-1.4117054035863685,0.01902159097700572,0.34768312891999537,0.9542024269414577,1.5042404565949374,0.65542736775577,1.1785293204287677,0.4011892412947865,0.5517731984085377,1.3543795733987907,0.3271048476453073,0.48113243502318137,0.07216417762538566,-0.3928703912576063,0.5178968452701146,1.0795047375645879,1.1799049220411588,-0.1674221969776691,-0.18161015554215343,0.23772430334240327,0.38658285093000166,0.5461060224960939,1.2842008116920325,1.0329410356102582,0.26718477285867714
