marker,comparison,reference,n_comparison,n_reference,mean_sample_median_comparison,mean_sample_median_reference,difference_fluorescence,all_sample_sd,difference_mean_z,p_exact,p_holm_45,q_bh_45,stars,displayed_significance
OSM,N+NF,N,5,6,-38.6907751921674,-57.35777415026232,18.666998958094922,253.28389181771107,0.07369990576238303,0.7748917748917749,1.0,0.810933252793718,,BH FDR-adjusted exact permutation P across all 45 tests
OSM,N+IF,N,6,6,416.8611788384755,-57.35777415026232,474.21895298873784,253.28389181771107,1.8722823215699567,0.0021645021645021645,0.09740259740259741,0.007492507492507493,**,BH FDR-adjusted exact permutation P across all 45 tests
OSM,N+IF,N+NF,6,5,416.8611788384755,-38.6907751921674,455.5519540306429,253.28389181771107,1.7985824158075736,0.004329004329004329,0.13852813852813853,0.00927643784786642,**,BH FDR-adjusted exact permutation P across all 45 tests
OSM,N+FK,N,6,6,-49.25122244665124,-57.35777415026232,8.106551703611082,253.28389181771107,0.032005792573044416,0.8896103896103896,1.0,0.9098288075560803,,BH FDR-adjusted exact permutation P across all 45 tests
OSM,N+ATN,N,6,6,-106.68552517865756,-57.35777415026232,-49.327751028395234,253.28389181771107,-0.1947528154056339,0.5800865800865801,1.0,0.6366803927779539,,BH FDR-adjusted exact permutation P across all 45 tests
OSM,N+IF+FK,N+IF,6,6,413.2931668919247,416.8611788384755,-3.5680119465507687,253.28389181771107,-0.014087006958652839,0.9718614718614719,1.0,0.9718614718614719,,BH FDR-adjusted exact permutation P across all 45 tests
OSM,N+IF+ATN,N+IF,6,6,-78.64176657415148,416.8611788384755,-495.50294541262696,253.28389181771107,-1.9563144811800406,0.0021645021645021645,0.09740259740259741,0.007492507492507493,**,BH FDR-adjusted exact permutation P across all 45 tests
OSM,N+IF+ATN+FK,N+IF,6,6,-51.9374284980784,416.8611788384755,-468.7986073365539,253.28389181771107,-1.850882043750138,0.004329004329004329,0.13852813852813853,0.00927643784786642,**,BH FDR-adjusted exact permutation P across all 45 tests
OSM,N+IF+ATN+FK,N+IF+FK,6,6,-51.9374284980784,413.2931668919247,-465.23059539000315,253.28389181771107,-1.8367950367914851,0.006493506493506494,0.15584415584415584,0.012704686617730098,*,BH FDR-adjusted exact permutation P across all 45 tests
CXCR4,N+NF,N,5,6,5321.922098225865,2897.1087254850077,2424.813372740857,2918.8284141382383,0.8307488583417688,0.004329004329004329,0.13852813852813853,0.00927643784786642,**,BH FDR-adjusted exact permutation P across all 45 tests
