path,source,source_sha256,sha256,bytes,adaptation
figures/extended_data/Extended_Data_Figure_10.png,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_10.png,17e36a3ab0ba3f0458433a31ac4a5b812422d1e5aa3e5c3cfe9eef54f66a38b9,17e36a3ab0ba3f0458433a31ac4a5b812422d1e5aa3e5c3cfe9eef54f66a38b9,203097,Byte-identical copy of the final reviewed asset
figures/supplementary/Supplementary_Figure_11.pdf,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_11.pdf,59fee7a3c4d747625bbba34661b5a6d6bbd865d2f9855afb6b9fc80301da385d,59fee7a3c4d747625bbba34661b5a6d6bbd865d2f9855afb6b9fc80301da385d,2142513,Byte-identical copy of the final reviewed asset
figures/supplementary/Supplementary_Figure_11.png,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_11.png,58b20b9849d8e0324607dbb1f09c189f221f4c4e883329fc48a85f689e690f66,58b20b9849d8e0324607dbb1f09c189f221f4c4e883329fc48a85f689e690f66,227084,Byte-identical copy of the final reviewed asset
figures/supplementary/Supplementary_Figure_12.pdf,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_12.pdf,65d87c80578dd7905f3cc608ffaee88e55bb76b464d42c605bbaee26b6275e2e,65d87c80578dd7905f3cc608ffaee88e55bb76b464d42c605bbaee26b6275e2e,2246698,Byte-identical copy of the final reviewed asset
figures/supplementary/Supplementary_Figure_12.png,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_12.png,1291ea6d13fe8cd4bd44b88d5a18a0bc6be601ac870a23bde7a667528f8ba35b,1291ea6d13fe8cd4bd44b88d5a18a0bc6be601ac870a23bde7a667528f8ba35b,279953,Byte-identical copy of the final reviewed asset
figures/Main_Figures_1_to_7.pdf,output/Submission_Figures_References_2026-09-21/Main Figures/Main_Figures_1-7_Canonical_Labeled.pdf,500f376c46c305c3bd34821601464c780de6cd150620d9d205e3ecf12fbc9319,500f376c46c305c3bd34821601464c780de6cd150620d9d205e3ecf12fbc9319,14353473,Byte-identical copy of the final reviewed asset
figures/Supplementary_Figures_1_to_12.pdf,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figures_1-12_Canonical_Labeled.pdf,6586d1b2328a789ca8819bd914d9992faf9a0780887156627e7223e6baf547dc,6586d1b2328a789ca8819bd914d9992faf9a0780887156627e7223e6baf547dc,18002852,Byte-identical copy of the final reviewed asset
metadata/reference_verification_2026-09-21.csv,output/Submission_Figures_References_2026-09-21/Reference_Verification_2026-09-21.csv,d24f1cd257dff770f4855b0e523e280850700686c50848c6a59946d9b35fe62f,d24f1cd257dff770f4855b0e523e280850700686c50848c6a59946d9b35fe62f,20345,Byte-identical copy of the final reviewed asset
docs/supplementary_figure_legends.md,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_Legends_1_to_12.md,19340ccaa20b96c5450790ed23f9807263005f75bd91b0b389c776e28b5bd655,261938daaf2f3666b076d7ff61d21de07af6cd4adff7adb6c1fc49041662e796,8867,"Final reviewed text, line endings normalized to Git LF"
figures/graphical_abstract/Graphical_Abstract_BioRender.png,output/Submission_Figures_References_2026-09-21/Graphical Abstract/Gubatan_UC_Graphical_Abstract_BioRender_2026-09-21.png,739093660f0605361f8b5c4e20f37a2b376ee7cb78bfdc7657cddc130a0299a4,739093660f0605361f8b5c4e20f37a2b376ee7cb78bfdc7657cddc130a0299a4,5007846,Byte-identical copy of the final reviewed asset
