Patient,ITGA5_log,ITGB1_log,OSMR_log,IL6ST_log,ITGA5_ITGB1_pct,OSMR_IL6ST_pct
UC1,0.34191776695288123,0.21634756941671052,0.003561917812826637,-0.10346973582666485,33.96122632316219,6.837733723125648
UC10,0.12741673631430595,0.3188512733149355,0.18390785323254413,0.5485865543958607,7.926849779334758,18.762045542997555
UC11,0.09147104964284439,0.32887141681990284,-6.45427099559906e-05,0.49353507136509794,7.470793937415369,6.8544995024148285
UC12,0.36355717148359573,0.2219835611151578,-0.17615545941193797,0.13258668492012785,15.302137456117515,-7.446058460646332
UC14,0.48548812286810566,0.11246293008190172,0.11022751124416152,0.15219946777345994,19.362685227220062,20.363780003368106
UC15,-0.24877665756545472,-0.1042473704701119,0.3801843174451449,0.10890462063392103,-9.344262295081966,13.360655737704919
UC18,-0.06031194682099955,0.018155280194328105,-0.00923190635709259,0.4287036845249734,5.228758169934636,15.68627450980393
UC2,0.36285317010754836,-0.18364230334795706,0.4698993390906286,0.4925850041160358,15.592513893429226,28.830500163452108
UC22,0.27896945635240267,0.28467056632323384,0.32440670707430447,0.031491899034975956,15.729618812512005,19.4236765647406
UC3,0.18201399715127733,0.15106175658111978,0.13206423823606697,0.25290263390378237,4.306954317879977,11.279305746505523
UC4,0.5791725619495518,0.48715575594150795,0.179297764791738,0.05558592019342051,44.79741099300172,21.66537532563536
UC5,0.2201002786681238,-0.09280155873339166,0.04613623045821968,-0.16716340073427602,19.430150512626728,5.78750645547216
UC6,0.2237855821534545,0.14671396976349857,0.15684684415317043,0.21459759150598084,19.76934562518365,18.95275684485244
UC7,0.20522152950051104,0.5316744458357192,0.37239859441406986,-0.012779296542762664,13.666720308979723,22.454768035311968
UC8,0.051859800254575726,0.12864371030272367,0.07550613954609417,0.5029964916555211,7.085193222378462,14.1017751312196
UC9,0.11259006361870862,0.15846573517935586,0.17537115100414477,0.4262225875242222,12.878838294210963,16.904528417949003
