feature,n_patients,effect,lo,hi,p,q
Inflammatory chemokines,8,0.13565583925884134,0.03469544102774219,0.23479554939206487,0.0546875,0.109375
Interferon response,8,0.05902858035015306,0.021973611424906475,0.1002169122775765,0.03125,0.109375
Barrier / junctions,8,-0.016723753709293118,-0.06762014245839126,0.02981167144668744,0.5546875,0.5546875
Mucus / secretory,8,0.2709554291717662,0.06286546387567074,0.550854076636619,0.0390625,0.109375
Injury-associated regeneration,8,0.060901050691023265,-0.05580273219052231,0.16622549510341195,0.3671875,0.55078125
Absorptive differentiation,8,-0.1261594928296473,-0.4458578803862182,0.1849544469057359,0.4921875,0.5546875
