Patient,Inflammatory chemokines,Interferon response,Barrier / junctions,Mucus / secretory,Injury-associated regeneration,Absorptive differentiation
UC1,0.17070130065262695,0.07455563683625296,0.007757489851741184,0.42171051353035083,0.21144328960079406,-0.25283156538261864
UC11,0.2814365371630894,0.12863055039107846,-0.0733901485693329,1.1369377649223595,0.2642936586927265,-0.9578712859129508
UC12,0.23071659903917763,0.03203455612308933,0.0320452063289709,0.23991574903853408,0.03467640473018041,-0.22287007397435243
UC13,0.15444649326894117,-0.003074781745839028,-0.001945207721772091,0.07653741269069425,0.000776104250876708,-0.49897247892846064
UC15,-0.06512329422586069,-0.0017367554417580394,0.02279780725455094,0.13696104295829303,0.08699534268964981,0.12819819885422395
UC22,-0.08885120674351249,0.061640988216235926,-0.05533118609765042,-0.0418767018267977,-0.03768035960697358,0.6964427318028235
UC3,0.060177447067606415,0.018518810902948685,-0.15680923447018114,-0.06090016438381607,-0.276282061247614,0.14787615980705038
UC7,0.3417428378486622,0.1616596375192162,0.09108524374932858,0.25835781644451117,0.20298602641854624,-0.0492476289028938
