section,outcome,n_cells,n_active,n_tiles,coefficient,low,high,bootstrap_valid,condition_number
Inflamed,Feedback,879,146,16,0.034595272158727264,-0.02592385791157654,0.09048839346606087,1000,18.46753571420915
Inflamed,OSM,879,146,16,0.018220470058966876,-0.04109814376576508,0.05846441607587164,1000,18.46753571420915
Inflamed,IL1B,879,146,16,0.01315843670751099,-0.06455674373496897,0.10170050214093418,1000,18.46753571420915
Inflamed,TNF,879,146,16,0.08574878336304376,0.029552113937568167,0.15849908681180505,1000,18.46753571420915
Less inflamed,Feedback,333,80,16,-0.08186221694190629,-0.1936090998168326,0.004691845588634659,1000,19.844196358011402
Less inflamed,OSM,333,80,16,-0.06254258951635981,-0.17703521397150804,0.019171146639858028,1000,19.844196358011402
Less inflamed,IL1B,333,80,16,-0.027759454367876968,-0.14997245399477796,0.0665914577191551,1000,19.844196358011402
Less inflamed,TNF,333,80,16,-0.054575972942495804,-0.14918980180737623,0.015144705148471127,1000,19.844196358011402
