DonorID,ConditionCode,neutrophil_state_annotation,cells,total_neutrophils,proportion,condition_label
Donor5,NNAMPT,OSM neutrophil,31,41,0.75609756097561,Neutrophils + NAMPTi
Donor5,NNAMPT,CXCR4 neutrophil,9,41,0.219512195121951,Neutrophils + NAMPTi
Donor5,NNAMPT,MX1/ISG neutrophil,1,41,0.024390243902439,Neutrophils + NAMPTi
Donor6,NNAMPT,Low RNA neutrophils,0,13,0,Neutrophils + NAMPTi
Donor6,NNAMPT,PADI4 neutrophil,0,13,0,Neutrophils + NAMPTi
Donor6,NNAMPT,OSM neutrophil,12,13,0.923076923076923,Neutrophils + NAMPTi
Donor6,NNAMPT,CXCR4 neutrophil,1,13,0.0769230769230769,Neutrophils + NAMPTi
Donor6,NNAMPT,MX1/ISG neutrophil,0,13,0,Neutrophils + NAMPTi
Donor1,NA5,Low RNA neutrophils,0,71,0,Neutrophils + alpha5beta1i
Donor1,NA5,PADI4 neutrophil,0,71,0,Neutrophils + alpha5beta1i
Donor1,NA5,OSM neutrophil,21,71,0.295774647887324,Neutrophils + alpha5beta1i
Donor1,NA5,CXCR4 neutrophil,47,71,0.661971830985916,Neutrophils + alpha5beta1i
Donor1,NA5,MX1/ISG neutrophil,3,71,0.0422535211267606,Neutrophils + alpha5beta1i
Donor2,NA5,Low RNA neutrophils,0,1148,0,Neutrophils + alpha5beta1i
Donor2,NA5,PADI4 neutrophil,31,1148,0.0270034843205575,Neutrophils + alpha5beta1i
Donor2,NA5,OSM neutrophil,423,1148,0.368466898954704,Neutrophils + alpha5beta1i
Donor2,NA5,CXCR4 neutrophil,625,1148,0.544425087108014,Neutrophils + alpha5beta1i
Donor2,NA5,MX1/ISG neutrophil,69,1148,0.0601045296167247,Neutrophils + alpha5beta1i
Donor3,NA5,Low RNA neutrophils,0,3913,0,Neutrophils + alpha5beta1i
Donor3,NA5,PADI4 neutrophil,57,3913,0.0145668285203169,Neutrophils + alpha5beta1i
Donor3,NA5,OSM neutrophil,1521,3913,0.388704318936877,Neutrophils + alpha5beta1i
Donor3,NA5,CXCR4 neutrophil,2069,3913,0.528750319447994,Neutrophils + alpha5beta1i
Donor3,NA5,MX1/ISG neutrophil,266,3913,0.0679785330948122,Neutrophils + alpha5beta1i
Donor4,NA5,Low RNA neutrophils,0,1580,0,Neutrophils + alpha5beta1i
Donor4,NA5,PADI4 neutrophil,23,1580,0.0145569620253165,Neutrophils + alpha5beta1i
Donor4,NA5,OSM neutrophil,622,1580,0.393670886075949,Neutrophils + alpha5beta1i
Donor4,NA5,CXCR4 neutrophil,789,1580,0.499367088607595,Neutrophils + alpha5beta1i
Donor4,NA5,MX1/ISG neutrophil,146,1580,0.0924050632911393,Neutrophils + alpha5beta1i
Donor5,NA5,Low RNA neutrophils,0,2536,0,Neutrophils + alpha5beta1i
Donor5,NA5,PADI4 neutrophil,59,2536,0.0232649842271293,Neutrophils + alpha5beta1i
Donor5,NA5,OSM neutrophil,982,2536,0.387223974763407,Neutrophils + alpha5beta1i
Donor5,NA5,CXCR4 neutrophil,1363,2536,0.537460567823344,Neutrophils + alpha5beta1i
Donor5,NA5,MX1/ISG neutrophil,132,2536,0.0520504731861199,Neutrophils + alpha5beta1i
Donor6,NA5,Low RNA neutrophils,0,1,0,Neutrophils + alpha5beta1i
Donor6,NA5,PADI4 neutrophil,0,1,0,Neutrophils + alpha5beta1i
Donor6,NA5,OSM neutrophil,1,1,1,Neutrophils + alpha5beta1i
Donor6,NA5,CXCR4 neutrophil,0,1,0,Neutrophils + alpha5beta1i
Donor6,NA5,MX1/ISG neutrophil,0,1,0,Neutrophils + alpha5beta1i
Donor1,CF,Low RNA neutrophils,0,1253,0,Control fibroblast co-culture
Donor1,CF,PADI4 neutrophil,35,1253,0.0279329608938548,Control fibroblast co-culture
Donor1,CF,OSM neutrophil,454,1253,0.362330407023144,Control fibroblast co-culture
Donor1,CF,CXCR4 neutrophil,699,1253,0.557861133280128,Control fibroblast co-culture
Donor1,CF,MX1/ISG neutrophil,65,1253,0.0518754988028731,Control fibroblast co-culture
Donor2,CF,Low RNA neutrophils,0,22,0,Control fibroblast co-culture
Donor2,CF,PADI4 neutrophil,0,22,0,Control fibroblast co-culture
Donor2,CF,OSM neutrophil,9,22,0.409090909090909,Control fibroblast co-culture
Donor2,CF,CXCR4 neutrophil,11,22,0.5,Control fibroblast co-culture
Donor2,CF,MX1/ISG neutrophil,2,22,0.0909090909090909,Control fibroblast co-culture
Donor3,CF,Low RNA neutrophils,0,3355,0,Control fibroblast co-culture
Donor3,CF,PADI4 neutrophil,60,3355,0.0178837555886736,Control fibroblast co-culture
Donor3,CF,OSM neutrophil,1596,3355,0.475707898658718,Control fibroblast co-culture
Donor3,CF,CXCR4 neutrophil,1448,3355,0.431594634873323,Control fibroblast co-culture
Donor3,CF,MX1/ISG neutrophil,251,3355,0.0748137108792847,Control fibroblast co-culture
Donor4,CF,Low RNA neutrophils,0,2848,0,Control fibroblast co-culture
Donor4,CF,PADI4 neutrophil,58,2848,0.0203651685393258,Control fibroblast co-culture
Donor4,CF,OSM neutrophil,1266,2848,0.444522471910112,Control fibroblast co-culture
Donor4,CF,CXCR4 neutrophil,1309,2848,0.459620786516854,Control fibroblast co-culture
Donor4,CF,MX1/ISG neutrophil,215,2848,0.0754915730337079,Control fibroblast co-culture
Donor5,CF,Low RNA neutrophils,0,11,0,Control fibroblast co-culture
Donor5,CF,PADI4 neutrophil,1,11,0.0909090909090909,Control fibroblast co-culture
Donor5,CF,OSM neutrophil,5,11,0.454545454545455,Control fibroblast co-culture
Donor5,CF,CXCR4 neutrophil,5,11,0.454545454545455,Control fibroblast co-culture
Donor5,CF,MX1/ISG neutrophil,0,11,0,Control fibroblast co-culture
Donor6,CF,Low RNA neutrophils,0,1249,0,Control fibroblast co-culture
Donor6,CF,PADI4 neutrophil,19,1249,0.0152121697357886,Control fibroblast co-culture
Donor6,CF,OSM neutrophil,464,1249,0.371497197758207,Control fibroblast co-culture
Donor6,CF,CXCR4 neutrophil,692,1249,0.55404323458767,Control fibroblast co-culture
Donor6,CF,MX1/ISG neutrophil,74,1249,0.0592473979183347,Control fibroblast co-culture
Donor1,UF,Low RNA neutrophils,0,140,0,UC fibroblast co-culture
Donor1,UF,PADI4 neutrophil,4,140,0.0285714285714286,UC fibroblast co-culture
Donor1,UF,OSM neutrophil,66,140,0.471428571428571,UC fibroblast co-culture
Donor1,UF,CXCR4 neutrophil,65,140,0.464285714285714,UC fibroblast co-culture
Donor1,UF,MX1/ISG neutrophil,5,140,0.0357142857142857,UC fibroblast co-culture
Donor2,UF,Low RNA neutrophils,0,720,0,UC fibroblast co-culture
Donor2,UF,PADI4 neutrophil,23,720,0.0319444444444444,UC fibroblast co-culture
Donor2,UF,OSM neutrophil,314,720,0.436111111111111,UC fibroblast co-culture
Donor2,UF,CXCR4 neutrophil,348,720,0.483333333333333,UC fibroblast co-culture
Donor2,UF,MX1/ISG neutrophil,35,720,0.0486111111111111,UC fibroblast co-culture
Donor3,UF,Low RNA neutrophils,0,2349,0,UC fibroblast co-culture
Donor3,UF,PADI4 neutrophil,46,2349,0.0195828011919966,UC fibroblast co-culture
Donor3,UF,OSM neutrophil,1302,2349,0.554278416347382,UC fibroblast co-culture
Donor3,UF,CXCR4 neutrophil,832,2349,0.354193273733504,UC fibroblast co-culture
Donor3,UF,MX1/ISG neutrophil,169,2349,0.0719455087271179,UC fibroblast co-culture
Donor4,UF,Low RNA neutrophils,0,3393,0,UC fibroblast co-culture
Donor4,UF,PADI4 neutrophil,74,3393,0.0218096080165046,UC fibroblast co-culture
Donor4,UF,OSM neutrophil,2162,3393,0.63719422340112,UC fibroblast co-culture
Donor4,UF,CXCR4 neutrophil,944,3393,0.278219864426761,UC fibroblast co-culture
Donor4,UF,MX1/ISG neutrophil,213,3393,0.0627763041556145,UC fibroblast co-culture
Donor5,UF,Low RNA neutrophils,0,28,0,UC fibroblast co-culture
Donor5,UF,PADI4 neutrophil,0,28,0,UC fibroblast co-culture
Donor5,UF,OSM neutrophil,10,28,0.357142857142857,UC fibroblast co-culture
Donor5,UF,CXCR4 neutrophil,18,28,0.642857142857143,UC fibroblast co-culture
Donor5,UF,MX1/ISG neutrophil,0,28,0,UC fibroblast co-culture
Donor6,UF,Low RNA neutrophils,0,369,0,UC fibroblast co-culture
Donor6,UF,PADI4 neutrophil,14,369,0.037940379403794,UC fibroblast co-culture
Donor6,UF,OSM neutrophil,162,369,0.439024390243902,UC fibroblast co-culture
Donor6,UF,CXCR4 neutrophil,166,369,0.449864498644986,UC fibroblast co-culture
Donor6,UF,MX1/ISG neutrophil,27,369,0.0731707317073171,UC fibroblast co-culture
Donor1,UN,Low RNA neutrophils,0,87,0,UC + NAMPTi
Donor1,UN,PADI4 neutrophil,3,87,0.0344827586206897,UC + NAMPTi
Donor1,UN,OSM neutrophil,46,87,0.528735632183908,UC + NAMPTi
Donor1,UN,CXCR4 neutrophil,34,87,0.390804597701149,UC + NAMPTi
Donor1,UN,MX1/ISG neutrophil,4,87,0.0459770114942529,UC + NAMPTi
Donor2,UN,Low RNA neutrophils,0,461,0,UC + NAMPTi
Donor2,UN,PADI4 neutrophil,15,461,0.0325379609544469,UC + NAMPTi
Donor2,UN,OSM neutrophil,198,461,0.429501084598699,UC + NAMPTi
Donor2,UN,CXCR4 neutrophil,218,461,0.472885032537961,UC + NAMPTi
Donor2,UN,MX1/ISG neutrophil,30,461,0.0650759219088937,UC + NAMPTi
Donor3,UN,Low RNA neutrophils,0,2554,0,UC + NAMPTi
Donor3,UN,PADI4 neutrophil,45,2554,0.0176194205168363,UC + NAMPTi
Donor3,UN,OSM neutrophil,1122,2554,0.439310884886453,UC + NAMPTi
Donor3,UN,CXCR4 neutrophil,1169,2554,0.457713390759593,UC + NAMPTi
Donor3,UN,MX1/ISG neutrophil,218,2554,0.0853563038371182,UC + NAMPTi
Donor4,UN,Low RNA neutrophils,0,1239,0,UC + NAMPTi
Donor4,UN,PADI4 neutrophil,18,1239,0.0145278450363196,UC + NAMPTi
Donor4,UN,OSM neutrophil,448,1239,0.361581920903955,UC + NAMPTi
Donor4,UN,CXCR4 neutrophil,698,1239,0.563357546408394,UC + NAMPTi
Donor4,UN,MX1/ISG neutrophil,75,1239,0.0605326876513317,UC + NAMPTi
Donor5,UN,Low RNA neutrophils,0,26,0,UC + NAMPTi
Donor5,UN,PADI4 neutrophil,0,26,0,UC + NAMPTi
Donor5,UN,OSM neutrophil,13,26,0.5,UC + NAMPTi
Donor5,UN,CXCR4 neutrophil,13,26,0.5,UC + NAMPTi
Donor5,UN,MX1/ISG neutrophil,0,26,0,UC + NAMPTi
Donor6,UN,Low RNA neutrophils,0,54,0,UC + NAMPTi
Donor6,UN,PADI4 neutrophil,3,54,0.0555555555555556,UC + NAMPTi
Donor6,UN,OSM neutrophil,26,54,0.481481481481482,UC + NAMPTi
Donor6,UN,CXCR4 neutrophil,21,54,0.388888888888889,UC + NAMPTi
Donor6,UN,MX1/ISG neutrophil,4,54,0.0740740740740741,UC + NAMPTi
Donor1,UA5,Low RNA neutrophils,0,1402,0,UC + alpha5beta1i
Donor1,UA5,PADI4 neutrophil,81,1402,0.057774607703281,UC + alpha5beta1i
Donor1,UA5,OSM neutrophil,636,1402,0.453637660485021,UC + alpha5beta1i
