p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.03052157135788e-25,0.684574258882694,0.032,0.122,3.53159742504345e-22,1,SLC7A11
3.62986647934707e-24,0.989447405700655,0.031,0.103,1.24395524247224e-20,1,YWHAE
2.95602166524291e-22,0.7799765240282,0.026,0.104,1.01302862467875e-18,1,NR6A1
1.70341418942602e-19,1.79513302614955,0.308,0.241,5.83760042716296e-16,1,PRIM1
0.000109710630806855,1.74132927521058,0.178,0.133,0.375978331775093,1,COMMD1
0,1.86334968776937,0.698,0.097,0,2,FCGR3B
0,1.59708590424219,0.896,0.239,0,2,FOS
0,1.57746480356019,0.709,0.101,0,2,FPR1
0,1.57656623387197,0.731,0.12,0,2,MNDA
0,1.33161021561246,0.877,0.205,0,2,C5AR1
0,1.23968400401997,0.917,0.265,0,2,CSF3R
1.11260572964804e-308,0.981715912321143,0.671,0.109,1.34831588099122e-308,2,CFL1
1.37521757283532e-298,0.977268665829428,0.668,0.121,4.71287062210664e-295,2,FYB1
1.0222515774415e-295,1.5265875724211,0.531,0.061,3.50325615589201e-292,2,VNN2
3.32797690276363e-294,1.55995463093219,0.748,0.191,1.1404976845771e-290,2,S100A8
7.28554779208821e-294,1.23473600224369,0.819,0.194,2.49675722834863e-290,2,CXCR4
1.53369717700743e-286,1.09563569614568,0.536,0.066,5.25598022560448e-283,2,IGSF6
2.2099614319274e-284,1.96266488246021,0.653,0.149,7.57353782721519e-281,2,S100A9
3.81604012795555e-263,1.59851762697668,0.567,0.085,1.30775695185037e-259,2,SELL
2.43116355484098e-259,1.60393116525072,0.501,0.063,8.33159750244005e-256,2,S100A6
8.68496008887185e-252,1.05994064956978,0.53,0.071,2.97633582245638e-248,2,CD63
2.94217720603499e-241,1.32606670913412,0.528,0.083,1.00828412850819e-237,2,S100A4
1.13462399672032e-240,1.33961925866437,0.506,0.073,3.88835643676054e-237,2,PTGS2
2.51674982464191e-240,1.06009317894526,0.885,0.299,8.62490164904783e-237,2,ACTB
1.69882998353406e-233,0.715568984174674,0.569,0.097,5.82189035357124e-230,2,ACTG1
4.61989400178437e-217,0.830659252111256,0.773,0.233,1.5832376744115e-213,2,NFKBIA
3.23748833781853e-212,1.06003146050703,0.413,0.051,1.10948725337041e-208,2,MEGF9
5.79784959967161e-212,1.29341958543342,0.433,0.042,1.98692305780746e-208,2,OSM
1.57935773104311e-210,1.26631116478045,0.418,0.04,5.41245894428473e-207,2,MME
4.54449010793616e-210,0.944487872298373,0.437,0.053,1.55739675998972e-206,2,ACTN1
4.1089364787457e-203,0.612910782352022,0.478,0.081,1.40813253126615e-199,2,KLF6
3.61050953747136e-201,1.54793271840398,0.398,0.043,1.23732161849143e-197,2,HCAR3
2.99666509717709e-182,1.23622433143082,0.928,0.642,1.02695712880259e-178,2,CXCL8
4.26459977673846e-175,1.45003428176534,0.36,0.036,1.46147834348827e-171,2,FFAR2
5.89463961562255e-172,1.37309084518684,0.428,0.075,2.02009299627385e-168,2,ARHGDIB
8.81718541031691e-169,1.40052360263584,0.373,0.045,3.0216494401156e-165,2,CXCL1
