annotation,gene,mean_expression,pct_expressed,cells,scaled_expression
Low-signal neutrophil,FCGR3B,0.804362803794045,13.4565199090833,23758,-0.801962306598344
Low-signal neutrophil,FPR1,0.832602497286478,14.1215590537924,23758,-0.751670026552597
Low-signal neutrophil,OSM,0.146692781460865,2.95479417459382,23758,-0.973971163903118
Low-signal neutrophil,CXCR4,1.19319146119954,20.1195386817072,23758,-1.28105201953108
Low-signal neutrophil,MX1,0.0465654928043358,0.782894183012038,23758,-0.493344022052564
Low-signal neutrophil,ISG15,0.0107914774543204,0.197828100008418,23758,-0.683779831859416
Low-signal neutrophil,IFIT2,0.0654972850275293,1.10699553834498,23758,-0.576655114597561
Low-signal neutrophil,PADI4,0.083876506683565,1.43951511069955,23758,-0.708178193854392
Low-signal neutrophil,IL1R2,0.289094348761982,5.15194881724051,23758,-1.15073732212364
Low-signal neutrophil,LTF,0.0585560650772877,1.09015910430171,23758,-0.480677434412886
Low-signal neutrophil,BPI,0.0228141766653676,0.408283525549289,23758,-0.418613791064422
Low-signal neutrophil,CCL3,0.231940969010051,4.2301540533715,23758,-1.35974710942274
Low-signal neutrophil,CCL4,0.314226594570009,5.58969610236552,23758,-1.42337950909465
Low-signal neutrophil,HLA-DRA,0.254358254862755,4.20489940230659,23758,-0.182340245057472
Low-signal neutrophil,CD74,0.755216131612857,12.4673794090412,23758,-0.468166149926928
Low-signal neutrophil,CLC,0.00765187477427013,0.138900580856975,23758,-0.393316439231962
Low-signal neutrophil,SPARC,0.0201792927990951,0.336728680865393,23758,-0.334099627591442
Low-signal neutrophil,MS4A1,0.0474230587842811,0.782894183012038,23758,-0.307347538087602
Activated OSM/CXCR4 neutrophil,FCGR3B,3.81912158495799,78.4340755217422,57308,2.00472323858157
Activated OSM/CXCR4 neutrophil,FPR1,3.60763301953133,78.9052139317373,57308,1.98506481467819
Activated OSM/CXCR4 neutrophil,OSM,1.74938890025962,46.5571996928876,57308,2.09438823008982
Activated OSM/CXCR4 neutrophil,CXCR4,4.43387413934372,87.2269142179103,57308,1.81983611407761
Activated OSM/CXCR4 neutrophil,MX1,0.184902351268636,4.75500802680254,57308,1.07892513288016
Activated OSM/CXCR4 neutrophil,ISG15,0.102928035296826,2.75703217700845,57308,0.912048808819235
Activated OSM/CXCR4 neutrophil,IFIT2,0.568045633745741,14.4587143156278,57308,1.84460505338008
Activated OSM/CXCR4 neutrophil,PADI4,0.484961298922886,13.5146925385636,57308,0.335184587549162
Activated OSM/CXCR4 neutrophil,IL1R2,2.26974590370528,54.0413205835136,57308,1.35702046652589
Activated OSM/CXCR4 neutrophil,LTF,0.291648387087691,9.01444824457318,57308,-0.279470085798542
Activated OSM/CXCR4 neutrophil,BPI,0.071189650512498,2.22656522649543,57308,-0.364257972399954
Activated OSM/CXCR4 neutrophil,CCL3,1.36911662224412,29.0448104976618,57308,1.395021037204
Activated OSM/CXCR4 neutrophil,CCL4,1.629488740328,33.7666643400572,57308,1.36933057733966
Activated OSM/CXCR4 neutrophil,HLA-DRA,0.25044246046969,6.68667550778251,57308,-0.211740484628416
Activated OSM/CXCR4 neutrophil,CD74,1.43849971967586,38.4605988692678,57308,0.89014953123265
Activated OSM/CXCR4 neutrophil,CLC,0.0202577347691139,0.584560619808753,57308,-0.30920979714389
Activated OSM/CXCR4 neutrophil,SPARC,0.0212254193261226,0.570600963216305,57308,-0.290196067824232
Activated OSM/CXCR4 neutrophil,MS4A1,0.0253750292120501,0.678788301807776,57308,-0.796172630677357
