DonorID,ConditionCode,condition_label,neutrophil_state_annotation,cells,total_neutrophils,proportion
Donor5,NNAMPT,Neutrophils + NAMPTi,CXCR4 neutrophil,9,41,0.219512195121951
Donor5,NNAMPT,Neutrophils + NAMPTi,MX1/ISG neutrophil,1,41,0.024390243902439
Donor5,NA5,Neutrophils + alpha5beta1i,PADI4 neutrophil,59,2536,0.0232649842271293
Donor5,NA5,Neutrophils + alpha5beta1i,OSM neutrophil,982,2536,0.387223974763407
Donor5,NA5,Neutrophils + alpha5beta1i,CXCR4 neutrophil,1363,2536,0.537460567823344
Donor5,NA5,Neutrophils + alpha5beta1i,MX1/ISG neutrophil,132,2536,0.0520504731861199
Donor5,CF,Control fibroblast co-culture,PADI4 neutrophil,1,11,0.0909090909090909
Donor5,CF,Control fibroblast co-culture,OSM neutrophil,5,11,0.454545454545455
Donor5,CF,Control fibroblast co-culture,CXCR4 neutrophil,5,11,0.454545454545455
Donor5,UF,UC fibroblast co-culture,OSM neutrophil,10,28,0.357142857142857
Donor5,UF,UC fibroblast co-culture,CXCR4 neutrophil,18,28,0.642857142857143
Donor5,UN,UC + NAMPTi,OSM neutrophil,13,26,0.5
Donor5,UN,UC + NAMPTi,CXCR4 neutrophil,13,26,0.5
Donor5,UA5,UC + alpha5beta1i,OSM neutrophil,1,4,0.25
Donor5,UA5,UC + alpha5beta1i,CXCR4 neutrophil,2,4,0.5
Donor5,UA5,UC + alpha5beta1i,MX1/ISG neutrophil,1,4,0.25
Donor5,UD,UC + dual blockade,PADI4 neutrophil,70,1184,0.0591216216216216
Donor5,UD,UC + dual blockade,OSM neutrophil,492,1184,0.415540540540541
Donor5,UD,UC + dual blockade,CXCR4 neutrophil,574,1184,0.484797297297297
Donor5,UD,UC + dual blockade,MX1/ISG neutrophil,48,1184,0.0405405405405405
Donor6,N,Neutrophils alone,PADI4 neutrophil,65,801,0.0811485642946317
Donor6,N,Neutrophils alone,OSM neutrophil,563,801,0.702871410736579
Donor6,N,Neutrophils alone,CXCR4 neutrophil,156,801,0.194756554307116
Donor6,N,Neutrophils alone,MX1/ISG neutrophil,17,801,0.0212234706616729
Donor6,NNAMPT,Neutrophils + NAMPTi,OSM neutrophil,12,13,0.923076923076923
Donor6,NNAMPT,Neutrophils + NAMPTi,CXCR4 neutrophil,1,13,0.0769230769230769
Donor6,NA5,Neutrophils + alpha5beta1i,OSM neutrophil,1,1,1
Donor6,CF,Control fibroblast co-culture,PADI4 neutrophil,19,1249,0.0152121697357886
Donor6,CF,Control fibroblast co-culture,OSM neutrophil,464,1249,0.371497197758207
Donor6,CF,Control fibroblast co-culture,CXCR4 neutrophil,692,1249,0.55404323458767
Donor6,CF,Control fibroblast co-culture,MX1/ISG neutrophil,74,1249,0.0592473979183347
Donor6,UF,UC fibroblast co-culture,PADI4 neutrophil,14,369,0.037940379403794
Donor6,UF,UC fibroblast co-culture,OSM neutrophil,162,369,0.439024390243902
Donor6,UF,UC fibroblast co-culture,CXCR4 neutrophil,166,369,0.449864498644986
Donor6,UF,UC fibroblast co-culture,MX1/ISG neutrophil,27,369,0.0731707317073171
Donor6,UN,UC + NAMPTi,PADI4 neutrophil,3,54,0.0555555555555556
Donor6,UN,UC + NAMPTi,OSM neutrophil,26,54,0.481481481481482
Donor6,UN,UC + NAMPTi,CXCR4 neutrophil,21,54,0.388888888888889
Donor6,UN,UC + NAMPTi,MX1/ISG neutrophil,4,54,0.0740740740740741
Donor6,UA5,UC + alpha5beta1i,PADI4 neutrophil,36,510,0.0705882352941176
Donor6,UA5,UC + alpha5beta1i,OSM neutrophil,179,510,0.350980392156863
Donor6,UA5,UC + alpha5beta1i,CXCR4 neutrophil,268,510,0.525490196078431
Donor6,UA5,UC + alpha5beta1i,MX1/ISG neutrophil,27,510,0.0529411764705882
Donor6,UD,UC + dual blockade,PADI4 neutrophil,39,481,0.0810810810810811
Donor6,UD,UC + dual blockade,OSM neutrophil,182,481,0.378378378378378
Donor6,UD,UC + dual blockade,CXCR4 neutrophil,240,481,0.498960498960499
Donor6,UD,UC + dual blockade,MX1/ISG neutrophil,20,481,0.0415800415800416
NC1,PRE,Pre-culture,Low RNA neutrophils,12848,15428,0.832771584132746
NC1,PRE,Pre-culture,PADI4 neutrophil,1193,15428,0.077326938034742
NC1,PRE,Pre-culture,OSM neutrophil,1094,15428,0.070910033704952
NC1,PRE,Pre-culture,CXCR4 neutrophil,293,15428,0.0189914441275603
NC2,PRE,Pre-culture,Low RNA neutrophils,7847,9437,0.831514252410724
NC2,PRE,Pre-culture,PADI4 neutrophil,666,9437,0.0705732754053195
NC2,PRE,Pre-culture,OSM neutrophil,790,9437,0.0837130443997033
NC2,PRE,Pre-culture,CXCR4 neutrophil,133,9437,0.0140934619052665
NC2,PRE,Pre-culture,MX1/ISG neutrophil,1,9437,0.000105965878986966
NC3,PRE,Pre-culture,Low RNA neutrophils,13322,14974,0.88967543742487
NC3,PRE,Pre-culture,PADI4 neutrophil,916,14974,0.0611726993455323
NC3,PRE,Pre-culture,OSM neutrophil,588,14974,0.0392680646453853
NC3,PRE,Pre-culture,CXCR4 neutrophil,148,14974,0.00988379858421264
NC4,PRE,Pre-culture,Low RNA neutrophils,4415,4907,0.899735072345629
NC4,PRE,Pre-culture,PADI4 neutrophil,263,4907,0.0535969023843489
NC4,PRE,Pre-culture,OSM neutrophil,213,4907,0.0434073772162217
NC4,PRE,Pre-culture,CXCR4 neutrophil,16,4907,0.00326064805380069
NC5,PRE,Pre-culture,Low RNA neutrophils,3029,3443,0.879756026720883
NC5,PRE,Pre-culture,PADI4 neutrophil,193,3443,0.056055765320941
NC5,PRE,Pre-culture,OSM neutrophil,188,3443,0.0546035434214348
NC5,PRE,Pre-culture,CXCR4 neutrophil,32,3443,0.00929422015683997
NC5,PRE,Pre-culture,MX1/ISG neutrophil,1,3443,0.000290444379901249
