"Subcluster","Existing_state","Freq"
"28","Fibroblast candidate: low stromal signal",0
"29","Fibroblast candidate: low stromal signal",0
"30","Fibroblast candidate: low stromal signal",0
"31","Fibroblast candidate: low stromal signal",0
"1","Fibroblast candidate: mixed immune-stromal",0
"2","Fibroblast candidate: mixed immune-stromal",0
"3","Fibroblast candidate: mixed immune-stromal",0
"4","Fibroblast candidate: mixed immune-stromal",0
"5","Fibroblast candidate: mixed immune-stromal",0
"6","Fibroblast candidate: mixed immune-stromal",0
"7","Fibroblast candidate: mixed immune-stromal",0
"8","Fibroblast candidate: mixed immune-stromal",0
"9","Fibroblast candidate: mixed immune-stromal",0
"10","Fibroblast candidate: mixed immune-stromal",0
"11","Fibroblast candidate: mixed immune-stromal",0
"12","Fibroblast candidate: mixed immune-stromal",0
"13","Fibroblast candidate: mixed immune-stromal",0
"14","Fibroblast candidate: mixed immune-stromal",0
"15","Fibroblast candidate: mixed immune-stromal",0
"16","Fibroblast candidate: mixed immune-stromal",0
"17","Fibroblast candidate: mixed immune-stromal",0
"18","Fibroblast candidate: mixed immune-stromal",0
"19","Fibroblast candidate: mixed immune-stromal",0
"20","Fibroblast candidate: mixed immune-stromal",0
"21","Fibroblast candidate: mixed immune-stromal",0
"22","Fibroblast candidate: mixed immune-stromal",0
"23","Fibroblast candidate: mixed immune-stromal",0
"24","Fibroblast candidate: mixed immune-stromal",0
"25","Fibroblast candidate: mixed immune-stromal",0
"26","Fibroblast candidate: mixed immune-stromal",0
"27","Fibroblast candidate: mixed immune-stromal",0
"28","Fibroblast candidate: mixed immune-stromal",0
"29","Fibroblast candidate: mixed immune-stromal",0
"30","Fibroblast candidate: mixed immune-stromal",0
"31","Fibroblast candidate: mixed immune-stromal",0
"1","Inflammatory fibroblast",0
"2","Inflammatory fibroblast",0
"3","Inflammatory fibroblast",0
"4","Inflammatory fibroblast",0
"5","Inflammatory fibroblast",0
"6","Inflammatory fibroblast",0
"7","Inflammatory fibroblast",0
"8","Inflammatory fibroblast",0
"9","Inflammatory fibroblast",0
"10","Inflammatory fibroblast",0
"11","Inflammatory fibroblast",0
"12","Inflammatory fibroblast",0
"13","Inflammatory fibroblast",0
"14","Inflammatory fibroblast",0
"15","Inflammatory fibroblast",0
"16","Inflammatory fibroblast",0
"17","Inflammatory fibroblast",0
"18","Inflammatory fibroblast",0
"19","Inflammatory fibroblast",0
"20","Inflammatory fibroblast",0
"21","Inflammatory fibroblast",0
"22","Inflammatory fibroblast",0
"23","Inflammatory fibroblast",0
"24","Inflammatory fibroblast",0
"25","Inflammatory fibroblast",0
"26","Inflammatory fibroblast",0
"27","Inflammatory fibroblast",0
"28","Inflammatory fibroblast",0
"29","Inflammatory fibroblast",0
"30","Inflammatory fibroblast",0
"31","Inflammatory fibroblast",0
"1","Low-signal/unresolved",51297
"2","Low-signal/unresolved",11321
"3","Low-signal/unresolved",10170
"4","Low-signal/unresolved",4312
"5","Low-signal/unresolved",1792
"6","Low-signal/unresolved",833
"7","Low-signal/unresolved",908
"8","Low-signal/unresolved",960
"9","Low-signal/unresolved",407
"10","Low-signal/unresolved",386
"11","Low-signal/unresolved",81
"12","Low-signal/unresolved",1
"13","Low-signal/unresolved",3
"14","Low-signal/unresolved",2
"15","Low-signal/unresolved",2
"16","Low-signal/unresolved",0
"17","Low-signal/unresolved",2
"18","Low-signal/unresolved",2
"19","Low-signal/unresolved",2
"20","Low-signal/unresolved",0
"21","Low-signal/unresolved",1
"22","Low-signal/unresolved",1
"23","Low-signal/unresolved",2
"24","Low-signal/unresolved",2
"25","Low-signal/unresolved",0
"26","Low-signal/unresolved",2
"27","Low-signal/unresolved",1
"28","Low-signal/unresolved",426
"29","Low-signal/unresolved",1
"30","Low-signal/unresolved",0
"31","Low-signal/unresolved",0
"1","MX1/ISG-like",89
"2","MX1/ISG-like",2728
"3","MX1/ISG-like",49
"4","MX1/ISG-like",6
"5","MX1/ISG-like",34
"6","MX1/ISG-like",26
"7","MX1/ISG-like",17
"8","MX1/ISG-like",5
"9","MX1/ISG-like",1
"10","MX1/ISG-like",12
"11","MX1/ISG-like",4
"12","MX1/ISG-like",0
"13","MX1/ISG-like",0
"14","MX1/ISG-like",0
"15","MX1/ISG-like",0
"16","MX1/ISG-like",0
"17","MX1/ISG-like",0
"18","MX1/ISG-like",0
"19","MX1/ISG-like",0
"20","MX1/ISG-like",0
"21","MX1/ISG-like",0
"22","MX1/ISG-like",0
"23","MX1/ISG-like",0
"24","MX1/ISG-like",0
"25","MX1/ISG-like",0
"26","MX1/ISG-like",0
"27","MX1/ISG-like",0
"28","MX1/ISG-like",13
