cluster,n,gene,mean,pct
1,75055,OSM,0.130337401908514,2.3849177270002
1,75055,CXCR4,0.817330116832614,13.6513223636
1,75055,MX1,0.0185162184085961,0.311771367663713
1,75055,PADI4,0.0879428983712641,1.46958896809007
1,75055,FCGR3B,0.378825374550245,6.33268936113517
1,75055,FPR1,0.391277409650359,6.62447538471787
1,75055,S100A8,0.83727135774059,13.8191992538805
1,75055,S100A9,0.648118111014477,10.5309439744188
1,75055,ISG15,0.00515417820044456,0.0919325827726334
1,75055,IFIT1,0.00342322133466694,0.0572913196988875
1,75055,IFIT2,0.0269707388692589,0.453001132502831
1,75055,IFIT3,0.034809818052682,0.590233828525748
1,75055,HLA-DRA,0.0881664202735848,1.4642595430018
1,75055,CD74,0.295710061949835,4.91639464392779
1,75055,LTF,0.190298000229147,3.2083139031377
1,75055,BPI,0.0478388221421951,0.816734394777163
1,75055,CLC,0.00534784850706309,0.0919325827726334
1,75055,SPARC,0.00839082513011365,0.141229764839118
1,75055,MS4A1,0.0163880279315462,0.271800679501699
1,75055,CCL3,0.33261180504772,5.71580840716808
1,75055,CCL4,0.430760633155289,7.32396242755313
2,68629,OSM,1.64200683835939,43.3242506811989
2,68629,CXCR4,4.17531183694961,81.9434932754375
2,68629,MX1,0.159186825344017,4.08136502061811
2,68629,PADI4,0.493883585327222,13.3791837269959
2,68629,FCGR3B,3.37526090462218,69.7591397222749
2,68629,FPR1,3.22547509316158,70.8607148581504
2,68629,S100A8,3.89372127083986,74.7949117719914
2,68629,S100A9,3.42697596379926,65.3338967491877
2,68629,ISG15,0.088946838281157,2.3809176878579
2,68629,IFIT1,0.0649617267923234,1.66984802343033
2,68629,IFIT2,0.485383504835716,12.3125792303545
2,68629,IFIT3,0.454614035780836,11.5577962668843
2,68629,HLA-DRA,0.217479949783785,5.79055501318685
2,68629,CD74,1.27578142319944,34.0133179851083
2,68629,LTF,0.334248487027904,9.54407029098486
2,68629,BPI,0.0781111633542961,2.26872022031503
2,68629,CLC,0.0197434187824938,0.556616007810109
2,68629,SPARC,0.0185514535633787,0.496874499118449
2,68629,MS4A1,0.0217546184672139,0.579929767299538
2,68629,CCL3,1.33142336779479,28.1775925629107
2,68629,CCL4,1.59634209920488,32.962741698116
3,15316,OSM,0.216851252597825,4.2308696787673
3,15316,CXCR4,1.30693053142215,22.3491773308958
3,15316,MX1,0.0232690300808935,0.411334552102377
3,15316,PADI4,0.108836388207854,1.91303212326978
3,15316,FCGR3B,0.595209132132442,10.4139462000522
3,15316,FPR1,0.477077183065311,8.6837294332724
3,15316,S100A8,1.0621789354286,18.2750065291199
3,15316,S100A9,0.772762205127599,13.1692347871507
3,15316,ISG15,0.0118813567268299,0.208931835988509
3,15316,IFIT1,0.00361393284052502,0.0587620788717681
3,15316,IFIT2,0.0405201444798959,0.731261425959781
3,15316,IFIT3,0.0402157349048099,0.711674066335858
3,15316,HLA-DRA,0.189789367606908,3.21232697832332
3,15316,CD74,0.509581866881141,8.52703055628101
3,15316,LTF,0.272436928555968,4.79890310786106
3,15316,BPI,0.0549612063272678,0.985897101070776
3,15316,CLC,0.0123511127430914,0.21546095586315
