ConditionCode,condition_label,cells,donors,OSM_mean,OSM_pct,CXCR4_mean,CXCR4_pct,MX1_mean,MX1_pct,PADI4_mean,PADI4_pct
PRE,Pre-culture,48189,5,0.406978341555399,10.5833281454274,2.5162059867534,49.2560542862479,0.248547544259734,6.15078129863662,0.412298353882704,10.5293739235095
N,Neutrophils alone,1300,6,0.792258108454122,17.4615384615385,2.74232491843438,46.6153846153846,0.0130147251556589,0.307692307692308,0.13925365463013,3.61538461538462
NNAMPT,Neutrophils + NAMPTi,607,6,0.830842675121803,18.2866556836903,2.80163234334873,46.4579901153213,0.00855119120186974,0.164744645799012,0.159522315582605,3.95387149917628
NA5,Neutrophils + alpha5beta1i,9249,6,2.25609473088283,58.6009298302519,4.52308233598024,85.3173316034166,0.0217229875721189,0.659530760082171,0.28723928358017,8.61714779976214
CF,Control fibroblast co-culture,8738,6,2.35429425043842,62.0737010757611,4.53401176720363,87.2625314717327,0.0258928973757489,0.778210116731518,0.316431147991509,9.49874113069352
UF,UC fibroblast co-culture,6999,6,2.0056692916492,53.9934276325189,4.40808816398906,87.0981568795542,0.0245473759991501,0.714387769681383,0.248031850331696,7.18674096299471
UN,UC + NAMPTi,4421,6,2.19208302745873,57.9959285229586,4.76262126902826,90.1379778330694,0.0220010946609432,0.610721556209002,0.289440862700947,8.59534042071929
UA5,UC + alpha5beta1i,6489,6,1.80937794396772,48.7748497457235,3.92478153266985,77.9010633379566,0.0248445590782035,0.770534751117276,0.31842341908142,9.16936353829558
UD,UC + dual blockade,6174,6,1.77535217785296,47.424684159378,3.97555522051967,77.5996112730807,0.0203563949890679,0.631681243926142,0.269139813129604,7.72594752186589
