DonorID,ConditionCode,condition_label,neutrophil_cells,OSM_mean,OSM_pct,CXCR4_mean,CXCR4_pct,MX1_mean,MX1_pct,PADI4_mean,PADI4_pct
Donor1,N,Neutrophils alone,55,0.704480408874377,16.3636363636364,2.75293343744475,45.4545454545455,0,0,0.188818106565751,5.45454545454545
Donor1,NNAMPT,Neutrophils + NAMPTi,63,0.717287826585643,14.2857142857143,2.4300230782657,39.6825396825397,0,0,0.0458594416155376,1.58730158730159
Donor1,NA5,Neutrophils + alpha5beta1i,71,2.00686644243424,53.5211267605634,4.17640022000653,77.4647887323944,0,0,0.33317691316141,11.2676056338028
Donor1,CF,Control fibroblast co-culture,1253,1.80442929812583,46.5283320031923,4.03410143344202,74.3814844373504,0.0154792489170939,0.399042298483639,0.327663182105416,9.33758978451716
Donor1,UF,UC fibroblast co-culture,140,1.69441359800628,45.7142857142857,4.17478219358302,79.2857142857143,0.0469788782492815,1.42857142857143,0.319411332463984,7.85714285714286
Donor1,UN,UC + NAMPTi,87,1.93836372957723,50.5747126436782,4.19352931766352,81.6091954022989,0.0443268044830829,1.14942528735632,0.250378927272056,8.04597701149425
Donor1,UA5,UC + alpha5beta1i,1402,1.353722913921,35.3067047075606,3.52408790046082,67.2610556348074,0.00664028533151034,0.21398002853067,0.237222059348701,6.20542082738944
Donor1,UD,UC + dual blockade,200,1.63513966584078,45,3.6863720639723,73,0.0151376964765754,0.5,0.504686145390631,13.5
Donor2,N,Neutrophils alone,47,0.865265367766385,19.1489361702128,2.19124772789184,36.1702127659575,0,0,0.0612675758543994,2.12765957446809
Donor2,NNAMPT,Neutrophils + NAMPTi,215,0.668680978391116,13.4883720930233,2.48091528636922,40.9302325581395,0,0,0.123380552364671,2.7906976744186
Donor2,NA5,Neutrophils + alpha5beta1i,1148,1.72552208044477,44.3379790940767,4.03923069257005,74.9128919860627,0.0226294327472961,0.522648083623693,0.25934558001372,7.49128919860627
Donor2,CF,Control fibroblast co-culture,22,2.22593414252815,59.0909090909091,4.11354568013223,86.3636363636364,0,0,0.134664604465892,4.54545454545455
Donor2,UF,UC fibroblast co-culture,720,1.81448121043465,48.3333333333333,4.25682093892258,79.0277777777778,0.0159848984536672,0.416666666666667,0.298642862268259,8.47222222222222
Donor2,UN,UC + NAMPTi,461,1.9532159360153,51.1930585683297,4.17883016290565,78.5249457700651,0.0367751092257749,0.86767895878525,0.334786470363374,9.11062906724512
Donor2,UA5,UC + alpha5beta1i,944,1.29147870438302,34.0042372881356,3.43987115859282,63.9830508474576,0.021179297649537,0.635593220338983,0.266305707597357,6.99152542372881
Donor2,UD,UC + dual blockade,946,1.24005842813332,31.923890063425,3.41705561654136,64.2706131078224,0.02247274679446,0.634249471458774,0.225423321558131,5.91966173361522
Donor3,N,Neutrophils alone,102,1.20307611158979,28.4313725490196,3.60208902237831,62.7450980392157,0.0395610141099442,0.980392156862745,0.204509515632529,4.90196078431373
Donor3,NNAMPT,Neutrophils + NAMPTi,42,1.5555530665107,35.7142857142857,4.08138540490415,66.6666666666667,0,0,0.507025824613253,14.2857142857143
Donor3,NA5,Neutrophils + alpha5beta1i,3913,2.58827666976665,67.6718630207002,4.89438788366404,92.9721441349348,0.0242700317883353,0.766675185279837,0.3172216439144,9.78788653207258
Donor3,CF,Control fibroblast co-culture,3355,2.60535761224815,69.3293591654248,4.77566060842499,93.6214605067064,0.0282521882636094,0.834575260804769,0.335194865250208,10.3427719821162
Donor3,UF,UC fibroblast co-culture,2349,2.07946559826692,55.8109833971903,4.57410169499808,90.7194550872712,0.0282546039215438,0.766283524904215,0.219513835037243,6.55598126862495
Donor3,UN,UC + NAMPTi,2554,2.28048198262844,60.0626468285043,4.7981415095844,91.8950665622553,0.0262970363274892,0.743931088488645,0.276342877854997,8.26155050900548
Donor3,UA5,UC + alpha5beta1i,2053,2.26308261865855,61.8119824646858,4.27335372572623,88.0662445202143,0.0282009382805518,0.925474914758889,0.338807857311682,10.3750608865076
Donor3,UD,UC + dual blockade,1516,2.16364206442351,57.4538258575198,4.23114172482446,84.7625329815304,0.0331123053948288,0.989445910290238,0.290302864165887,8.57519788918206
Donor4,N,Neutrophils alone,234,1.17364197733426,25.6410256410256,2.96355405139448,50.4273504273504,0.0366044614645067,0.854700854700855,0.0862322219260707,2.56410256410256
Donor4,NNAMPT,Neutrophils + NAMPTi,233,0.9449894121878,22.3175965665236,3.15483873304283,53.2188841201717,0.0222771375945705,0.429184549356223,0.197935610921465,4.72103004291846
Donor4,NA5,Neutrophils + alpha5beta1i,1580,2.66898247438304,69.620253164557,4.90880737989115,94.2405063291139,0.0300820188822048,0.949367088607595,0.325623800753407,9.93670886075949
Donor4,CF,Control fibroblast co-culture,2848,2.58421129497896,68.1530898876405,4.75804072347701,92.2050561797753,0.0288319560205426,0.912921348314607,0.330393190174662,9.93679775280899
Donor4,UF,UC fibroblast co-culture,3393,2.04570330569754,55.3197760094312,4.37784328374893,87.9752431476569,0.0249854110005494,0.766283524904215,0.251338355174839,7.33863837312113
Donor4,UN,UC + NAMPTi,1239,2.17696503488053,58.272800645682,4.96004770406173,91.6868442292171,0.00750157495763677,0.242130750605327,0.295004102482898,8.87812752219532
Donor4,UA5,UC + alpha5beta1i,1576,2.21823200968674,60.5964467005076,4.32566564376865,87.5,0.0445049719136281,1.33248730964467,0.406163405060845,12.1827411167513
Donor4,UD,UC + dual blockade,1847,2.3760969485114,65.1867893881971,4.53944730505016,90.3627504060639,0.0162724798021269,0.541418516513265,0.314819265617097,9.79967514889009
Donor5,N,Neutrophils alone,61,0.667566811862036,14.7540983606557,2.3538755980655,39.344262295082,0,0,0.0842407473971905,1.63934426229508
Donor5,NNAMPT,Neutrophils + NAMPTi,41,0.577616653766033,12.1951219512195,2.18984421523226,34.1463414634146,0,0,0,0
Donor5,NA5,Neutrophils + alpha5beta1i,2536,1.73295094183795,44.3217665615142,3.93793729827697,72.8706624605678,0.0127914428387195,0.394321766561514,0.228516541528135,6.42744479495268
Donor5,CF,Control fibroblast co-culture,11,2.06259532196543,54.5454545454545,5.48948771445892,100,0,0,0.624805853306228,18.1818181818182
Donor5,UF,UC fibroblast co-culture,28,1.79216101928791,53.5714285714286,4.37298984468586,82.1428571428571,0,0,0.371613028402125,10.7142857142857
Donor5,UN,UC + NAMPTi,26,0.955754315604306,26.9230769230769,4.39303670537974,88.4615384615385,0,0,0.477399541395246,15.3846153846154
Donor5,UA5,UC + alpha5beta1i,4,1.0290747192155,25,1.27936745899141,25,0,0,0,0
Donor5,UD,UC + dual blockade,1184,1.11058061675887,28.6317567567568,3.48919267024262,65.8783783783784,0.0126425752177851,0.422297297297297,0.197294556548903,4.89864864864865
Donor6,N,Neutrophils alone,801,0.639767895899235,13.8576779026217,2.62940233695808,44.6941323345818,0.00539135490692593,0.124843945068664,0.151795484365104,3.87016229712859
Donor6,NNAMPT,Neutrophils + NAMPTi,13,0.474455056333454,7.69230769230769,1.37102825254488,23.0769230769231,0,0,0,0
Donor6,NA5,Neutrophils + alpha5beta1i,1,3.55079334870205,100,6.16283735460314,100,0,0,0,0
Donor6,CF,Control fibroblast co-culture,1249,1.71209414964725,44.435548438751,3.87457328596647,71.7373899119296,0.0239848967215856,0.720576461168935,0.223410199964145,6.40512409927942
Donor6,UF,UC fibroblast co-culture,369,1.67511783717644,44.4444444444444,4.01571170100732,75.0677506775068,0.00697927002694079,0.2710027100271,0.263957373136772,6.77506775067751
