program,contrast,population,version,min_cells,n,effect,se,low,high,p,q
NETosis,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,0.113496787677209,0.0321785195304221,0.0241548946344574,0.202838680719961,0.0242940202890013,0.0309196621860017
NETosis,UC_vs_alone,Resolved,full_gene,20,6,0.132104425249783,0.0392184985091938,0.031290065361119,0.232918785138446,0.0199239775112648,0.0278935685157707
NETosis,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,-0.00999373494935358,0.0409723162020564,-0.123751121717169,0.103763651818462,0.819296819021422,0.92728868408757
NETosis,alpha_alone,Resolved,full_gene,20,5,0.163860108697053,0.0243274628422054,0.0963162435669307,0.231403973827176,0.00253150106923682,0.00393789055214617
NETosis,alpha_in_UC,Resolved,full_gene,20,5,0.0236682208911132,0.0219887149938687,-0.0373822392232028,0.0847186810054291,0.342347570926251,0.479286599296751
Degranulation,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,0.0190024310227804,0.0536446410606619,-0.129938970070187,0.167943832115748,0.741052667780219,0.741052667780219
Degranulation,UC_vs_alone,Resolved,full_gene,20,6,0.0152390104417445,0.0515098397348417,-0.117171247937177,0.147649268820666,0.779240224515652,0.779240224515652
Degranulation,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,-0.0170835856679172,0.020518207165615,-0.0740512615203232,0.0398840901844888,0.451890425849558,0.790808245236727
Degranulation,alpha_alone,Resolved,full_gene,20,5,0.0729615754647341,0.0463996098753307,-0.055864394256715,0.201787545186183,0.190947377620315,0.205635637437262
Degranulation,alpha_in_UC,Resolved,full_gene,20,5,0.0626996053451998,0.00117250920744078,0.0594441978954015,0.0659550127949981,7.32057584636002e-07,1.0248806184904e-05
Oxidative_burst,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,0.253792153078813,0.0257787866823191,0.18221876697675,0.325365539180876,0.00059702402151993,0.00208958407531976
Oxidative_burst,UC_vs_alone,Resolved,full_gene,20,6,0.278415449805064,0.0538056199592192,0.140103700482744,0.416727199127383,0.00354163609921505,0.00550921170989008
Oxidative_burst,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,-0.0230999198415811,0.0400545070193985,-0.134309059796701,0.0881092201135385,0.595034057200929,0.8330476800813
Oxidative_burst,alpha_alone,Resolved,full_gene,20,5,0.276281903746686,0.0184905341861635,0.224943950613019,0.327619856880352,0.00011686405415421,0.00027268279302649
Oxidative_burst,alpha_in_UC,Resolved,full_gene,20,5,-0.0473573581127813,0.0521939715265994,-0.192271054878641,0.0975563386530787,0.415548594081919,0.528880028831533
Phagocytosis,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,0.485578262301309,0.0315165015988988,0.398074425704088,0.57308209889853,0.000103553980472096,0.000483251908869781
Phagocytosis,UC_vs_alone,Resolved,full_gene,20,6,0.458968075481032,0.0381674491956253,0.360855523866186,0.557080627095878,7.01786718182494e-05,0.000196500281091098
Phagocytosis,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,-0.0530509659350946,0.0435699397498561,-0.174020511887345,0.0679185800171561,0.290289267585866,0.580578535171732
Phagocytosis,alpha_alone,Resolved,full_gene,20,5,0.503018988803137,0.0310396516403797,0.41683909993916,0.589198877667114,8.48274230970058e-05,0.000255596442659164
Phagocytosis,alpha_in_UC,Resolved,full_gene,20,5,-0.100094326623615,0.0500840916170752,-0.239150057642121,0.0389614043948915,0.116312216916499,0.232624433832998
Chemotaxis,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,0.460405926694835,0.0148338101550973,0.419220667098282,0.501591186291389,6.42094512554006e-06,8.98932317575608e-05
Chemotaxis,UC_vs_alone,Resolved,full_gene,20,6,0.481561132027388,0.0369942839895867,0.386464297581385,0.576657966473391,4.77137831044581e-05,0.000179887972071319
Chemotaxis,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,-0.00348568398241129,0.0358834998911118,-0.103114251612454,0.0961428836476315,0.92728868408757,0.92728868408757
Chemotaxis,alpha_alone,Resolved,full_gene,20,5,0.504994067744672,0.0252830284987083,0.434797127024857,0.575191008464487,3.70765914008467e-05,0.000255596442659164
Chemotaxis,alpha_in_UC,Resolved,full_gene,20,5,-0.136515676476041,0.0398071209823491,-0.247037962679501,-0.0259933902725817,0.026549541218223,0.0929233942637805
OSM_inflammation,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,0.320721014590299,0.0555340056926648,0.166533896312874,0.474908132867725,0.00446374342429501,0.00694360088223668
OSM_inflammation,UC_vs_alone,Resolved,full_gene,20,6,0.395512165665862,0.030850797832299,0.316207665143266,0.474816666188458,5.13965634489482e-05,0.000179887972071319
OSM_inflammation,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,0.0847131435473275,0.0326212854159245,-0.00585806467097634,0.175284351765631,0.0602464883732926,0.396216626653617
OSM_inflammation,alpha_alone,Resolved,full_gene,20,5,0.348825884979493,0.0218854854377232,0.288062036061049,0.409589733897937,9.05793803383556e-05,0.000255596442659164
OSM_inflammation,alpha_in_UC,Resolved,full_gene,20,5,-0.0734347214089509,0.030576935641347,-0.158329904702317,0.011460461884415,0.0742243847304163,0.173190231037638
Type_I_interferon,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,0.0624200962913391,0.0118223235994106,0.0295960638016912,0.0952441287809869,0.00617076890736692,0.00863907647031369
Type_I_interferon,UC_vs_alone,Resolved,full_gene,20,6,0.0367455996923878,0.0164053609779119,-0.00542572324448942,0.078916922629265,0.0752285084787514,0.08776659322521
Type_I_interferon,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,-0.014284127069464,0.00862526461020663,-0.0382317007775079,0.00966344663857997,0.173047114292544,0.484531920019123
Type_I_interferon,alpha_alone,Resolved,full_gene,20,5,0.0612018311887183,0.012154256810943,0.0274562043586588,0.0949474580187779,0.0073055472532536,0.00929796923141367
Type_I_interferon,alpha_in_UC,Resolved,full_gene,20,5,0.00607607143812451,0.0148508875149732,-0.0351566025106658,0.0473087453869149,0.703397177766942,0.721417378692547
Immature_granulopoiesis,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,-0.134035663278434,0.0652232860689557,-0.315124536629502,0.047053210072633,0.109066051401722,0.127243726635342
Immature_granulopoiesis,UC_vs_alone,Resolved,full_gene,20,6,-0.0916079541137521,0.061334558966731,-0.249273457290395,0.0660575490628909,0.195509344051977,0.210548524363668
Immature_granulopoiesis,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,0.0326689348740598,0.0161545936878643,-0.0121834076970701,0.0775212774451897,0.113204750472462,0.396216626653617
Immature_granulopoiesis,alpha_alone,Resolved,full_gene,20,5,-0.0731781922061385,0.0566614422391338,-0.230495576164429,0.0841391917521521,0.2661062790502,0.2661062790502
Immature_granulopoiesis,alpha_in_UC,Resolved,full_gene,20,5,0.0964678839963538,0.0134995547458359,0.0589871112999282,0.133948656692779,0.00202873439568097,0.0142011407697668
Survival_antiapoptosis,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,0.29094220674469,0.0405978115840742,0.178224611490345,0.403659801999035,0.00200707035247965,0.00468316415578585
Survival_antiapoptosis,UC_vs_alone,Resolved,full_gene,20,6,0.31092771555078,0.0222341295802751,0.253773065920541,0.368082365181019,3.36204037723557e-05,0.000179887972071319
Survival_antiapoptosis,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,0.00494359490716988,0.0283357964214827,-0.073729188369137,0.0836163781834767,0.869974674506591,0.92728868408757
Survival_antiapoptosis,alpha_alone,Resolved,full_gene,20,5,0.319114762164142,0.024343359743017,0.251526760161574,0.386702764166711,0.000195534044364992,0.000391068088729984
Survival_antiapoptosis,alpha_in_UC,Resolved,full_gene,20,5,-0.0539389329230201,0.0294546791282761,-0.135718232613894,0.0278403667678536,0.141022522602492,0.246789414554361
Hypoxia_glycolysis,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,0.191580728155982,0.0318894830504879,0.103041329033167,0.280120127278797,0.00386445463192279,0.00676279560586488
Hypoxia_glycolysis,UC_vs_alone,Resolved,full_gene,20,6,0.137984943407559,0.01385006923972,0.10238220699763,0.173587679817488,0.000174033082309053,0.000304557894040843
Hypoxia_glycolysis,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,-0.0578701251470172,0.0228944962451545,-0.121435437182846,0.00569518688881132,0.0648239811385456,0.396216626653617
Hypoxia_glycolysis,alpha_alone,Resolved,full_gene,20,5,0.195898805935366,0.0123149363485476,0.161707061189619,0.230090550681114,9.12844438068441e-05,0.000255596442659164
Hypoxia_glycolysis,alpha_in_UC,Resolved,full_gene,20,5,0.0113307501918699,0.0296083612637299,-0.0708752395117408,0.0935367398954806,0.721417378692547,0.721417378692547
ER_stress,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,0.308311377335936,0.0377322044764388,0.203549982909005,0.413072771762867,0.00122144815909872,0.00342005484547642
ER_stress,UC_vs_alone,Resolved,full_gene,20,6,0.303811797197961,0.0226869940938562,0.245493022275106,0.362130572120816,4.15491485916618e-05,0.000179887972071319
ER_stress,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,-0.0196278491568984,0.0297207056926335,-0.102145757000235,0.0628900586864381,0.545084106300438,0.8330476800813
ER_stress,alpha_alone,Resolved,full_gene,20,5,0.306507624113379,0.0424874894056031,0.188543442121049,0.424471806105708,0.00195771200019673,0.00342599600034428
ER_stress,alpha_in_UC,Resolved,full_gene,20,5,-0.106630203772457,0.0350626779796464,-0.203979804424173,-0.00928060312074165,0.0383597101248247,0.107407188349509
Proliferation_stress,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,0.0387535771976217,0.0511193966313206,-0.103176621360073,0.180683775755316,0.49060229636546,0.528340934547418
Proliferation_stress,UC_vs_alone,Resolved,full_gene,20,6,0.0713876601471529,0.0263891395011596,0.0035522174873993,0.139223102806907,0.0425195932181429,0.0541158459140001
Proliferation_stress,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,0.0120320541362057,0.0318221683169592,-0.0763204493241959,0.100384557596607,0.724563538903418,0.922171776786168
Proliferation_stress,alpha_alone,Resolved,full_gene,20,5,0.0448038901384313,0.0118701663603629,0.0118470248493183,0.0777607554275444,0.0195284296668486,0.0227831679446567
Proliferation_stress,alpha_in_UC,Resolved,full_gene,20,5,0.0114057448149647,0.0216182723668388,-0.0486162016807777,0.0714276913107071,0.625688670151002,0.721417378692547
Integrin_adhesion,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,0.239188077959911,0.0392195122437594,0.13029725516248,0.348078900757342,0.00365686578478357,0.00676279560586488
Integrin_adhesion,UC_vs_alone,Resolved,full_gene,20,6,0.193171383611949,0.018539255657437,0.145514709772723,0.240828057451174,0.000140319986592235,0.00028063997318447
Integrin_adhesion,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,-0.0557929409173581,0.0246837796757325,-0.124326100175826,0.0127402183411101,0.0866509529373103,0.396216626653617
Integrin_adhesion,alpha_alone,Resolved,full_gene,20,5,0.243371589731821,0.0390276534079606,0.135013452459933,0.351729727003709,0.00336934995515287,0.00471708993721402
Integrin_adhesion,alpha_in_UC,Resolved,full_gene,20,5,-0.0445929602345342,0.036136401014591,-0.14492369395096,0.0557377734818916,0.284743258905426,0.442933958297329
CXCR4_aging_retention,control_fibroblasts_vs_alone,Resolved,full_gene,20,5,0.564724633199731,0.0313801316013846,0.477599420414604,0.651849845984858,5.60448900008994e-05,0.000392314230006296
CXCR4_aging_retention,UC_vs_alone,Resolved,full_gene,20,6,0.545375165910204,0.0489829842891528,0.419460396241248,0.671289935579159,0.000101913427272241,0.000237797996968562
CXCR4_aging_retention,UC_vs_control_fibroblasts,Resolved,full_gene,20,5,-0.0616346000061428,0.0468976365918745,-0.191843313566998,0.068574113554712,0.259063146947813,0.580578535171732
CXCR4_aging_retention,alpha_alone,Resolved,full_gene,20,5,0.626261742212123,0.0306684065670115,0.541112594914928,0.711410889509318,3.39610431552272e-05,0.000255596442659164
