gene,n_pairs,mean_delta,low,high,positive_pairs,loo_min,loo_max
PRIM1,5,3.24163067420915,2.68749996850174,3.79576137991657,5,3.11595327530689,3.35729831890022
GRIP1,5,2.12789699449781,1.68376907229745,2.57202491669818,5,2.00328146918751,2.23738475311529
COMMD1,5,2.8006013976958,2.38648831743357,3.21471447795803,5,2.69235863923049,2.91218673521493
