group,Inflammatory chemokines,Absorptive differentiation,Mucus / secretory
DSS,5.012141828416154,6.481133310643092,6.212684269008292
FAP ablation,-0.02263908603023637,7.095185005596297,7.8620639258267655
alpha5beta1 blockade,2.835020192886239,5.247210668297508,9.585868152472052
