feature	n_patients	median_inflamed_minus_noninflamed	ci_low	ci_high	p_value	FDR
FAP inflammatory	8	0.12077764726920498	0.033606295042267226	0.25183401774076775	0.01953125	0.0390625
OSM response	8	0.10899781077311754	-0.15115062060892903	0.18309626298624182	0.125	0.125
activated FAP fibroblast fraction	9	0.03417771232204222	0.0055867555867555865	0.04362183109962862	0.005859375	0.0234375
alpha5beta1 adhesion	8	0.11803289792788307	0.0535872807964245	0.25878080804834946	0.0078125	0.0234375
myeloid feedback proxy	4	0.8696396941447856	0.4775067837010263	1.1177609290566295	0.0625	0.09375
neutrophil recruitment	8	0.11590948231295438	-0.131085006789022	0.14116750691312635	0.125	0.125
