section,cells_subsampled,stromal_cells,myeloid_cells,activated_fap_n,activated_fap_percent_stromal,alpha5_positive_percent_activated_fap,neutrophil_like_n,neutrophil_like_percent_myeloid,recruitment_score_activated_fap,feedback_score_neutrophil_like,n_stromal,n_active_fap,n_neutrophil_like,observed_median_nearest_distance,null_median,distance_ratio_observed_to_null,empirical_p_closer
UC1 inflamed,100000,11760,11760,146,1.2414965986394557,37.67123287671233,879,7.474489795918367,0.5867074771689498,0.5472159120212363,11760,146,879,532.9048822321772,657.3765385418318,0.8106539418249502,0.004995004995004995
UC1 less inflamed,100000,12634,12633,80,0.6332119677061897,18.75,333,2.635953455236286,0.5070271666666667,0.5105959359359359,12634,80,333,1005.0858867043739,925.7560728044245,1.0856919184549694,0.8031968031968032
