,Erythrocyte,Monocyte-derived macrophage,Neutrophil CXCR4,Neutrophil MX1,Neutrophil OSM,Neutrophil PADI4,Neutrophil lowRNA
Recruitment_migration,-1.8227410873432526,-0.881399156714986,-0.33925027030314014,0.669995134835151,0.8072574134360637,1.2619779683895425,0.30415999770062013
Retention_aging,-2.075255116459656,-0.708853900227636,0.8346685377460278,0.8897919522516223,0.7822548891505449,0.30001132039870304,-0.022617682859605102
Degranulation,-1.184991063395362,-1.184991063395362,-0.04386862240952362,0.0613354474836221,0.1924717313488186,2.0329033061202866,0.12714026424751954
NET_associated,-1.0782052487567124,-1.0782052487567124,-0.20760334942083114,-0.009267098580295632,0.15336510575388346,2.1453872583257563,0.07452858143491246
Oxidative_burst,-2.187233936631022,-0.2715490634286044,0.4620655239774864,0.8766783493299868,0.30219892229170386,1.0149084879761263,-0.19706828351567776
Inflammatory,-2.104729587658581,-0.3465275779040422,0.5656185976880328,0.673616532632099,1.2783030154539408,0.10844550145610862,-0.1747264816675572
Interferon,-0.970495504733026,-0.15108117729345052,-0.3674642458466486,2.359959341476478,-0.06974598300400787,-0.4509437065072835,-0.3502287240920606
Survival_immaturity,-1.853849150123319,-1.2461821502959476,0.4879564173836955,0.7762199730933734,0.7719839789516247,0.5943234543811843,0.46954747660938584
Tissue_injury,-1.8839563204027718,-0.08824207260726846,-0.42029576320144973,0.05905678579408264,0.4931539298369958,1.7344706825567129,0.1058127580236962
