program,compartment,n_pairs,mean_uninflamed,mean_inflamed,median_change,p_value,FDR
FAP_inflammatory,Fibroblast,14,0.187413636089085,0.814271631516327,0.451232622586757,0.0010970505857231,0.0043882023428924
Alpha5Beta1_adhesion,Fibroblast,14,0.673382795068124,0.830462612210821,0.166417547576466,0.0900820575789648,0.120109410105286
Neutrophil_recruitment,Fibroblast,14,0.105282940973468,0.855624174633795,0.632980301097509,0.0010970505857231,0.0043882023428924
OSM_response,Fibroblast,14,0.619065700445831,0.966385902813198,0.272845429169635,0.0120369481070948,0.0320985282855861
ECM_remodeling,Fibroblast,14,1.72528298656747,2.14744662185145,0.197883922966133,0.0170556294065931,0.0341112588131861
TGFb_response,Fibroblast,14,1.0692807624867,1.20681395240677,0.0338885179885738,0.187401192001721,0.214172790859109
NFkB_AP1,Fibroblast,14,0.713740789308474,1.08480627080412,0.434271800233684,0.0516462183078041,0.0826339492924865
YAP_mechanotransduction,Fibroblast,14,0.395926139125077,0.475533343652514,-0.0113693765050856,0.949944493522,0.949944493522
