key,sample_uid,group,scope,state,n_cells,program,score
All epithelial___All epithelial___Merged_a5B1__M14,Merged_a5B1__M14,alpha5beta1 blockade,All epithelial,All epithelial,1162,Mucus / secretory,9.906892070408778
All epithelial___All epithelial___Merged_a5B1__M14,Merged_a5B1__M14,alpha5beta1 blockade,All epithelial,All epithelial,1162,Injury-associated regeneration,5.923854503440659
All epithelial___All epithelial___Merged_a5B1__M14,Merged_a5B1__M14,alpha5beta1 blockade,All epithelial,All epithelial,1162,Absorptive differentiation,5.242606882815344
All epithelial___All epithelial___Merged_a5B1__M17,Merged_a5B1__M17,alpha5beta1 blockade,All epithelial,All epithelial,751,Inflammatory chemokines,3.7150177172624304
All epithelial___All epithelial___Merged_a5B1__M17,Merged_a5B1__M17,alpha5beta1 blockade,All epithelial,All epithelial,751,Interferon response,1.6970018004649723
All epithelial___All epithelial___Merged_a5B1__M17,Merged_a5B1__M17,alpha5beta1 blockade,All epithelial,All epithelial,751,Barrier / junctions,7.094704272667461
All epithelial___All epithelial___Merged_a5B1__M17,Merged_a5B1__M17,alpha5beta1 blockade,All epithelial,All epithelial,751,Mucus / secretory,9.369072874533863
All epithelial___All epithelial___Merged_a5B1__M17,Merged_a5B1__M17,alpha5beta1 blockade,All epithelial,All epithelial,751,Injury-associated regeneration,6.062367810984059
All epithelial___All epithelial___Merged_a5B1__M17,Merged_a5B1__M17,alpha5beta1 blockade,All epithelial,All epithelial,751,Absorptive differentiation,4.4340416526129784
All epithelial___All epithelial___Merged_a5B1__M24,Merged_a5B1__M24,alpha5beta1 blockade,All epithelial,All epithelial,4859,Inflammatory chemokines,2.3583069539207684
All epithelial___All epithelial___Merged_a5B1__M24,Merged_a5B1__M24,alpha5beta1 blockade,All epithelial,All epithelial,4859,Interferon response,0.6547491708112128
All epithelial___All epithelial___Merged_a5B1__M24,Merged_a5B1__M24,alpha5beta1 blockade,All epithelial,All epithelial,4859,Barrier / junctions,6.73159415672082
All epithelial___All epithelial___Merged_a5B1__M24,Merged_a5B1__M24,alpha5beta1 blockade,All epithelial,All epithelial,4859,Mucus / secretory,9.556398007124331
All epithelial___All epithelial___Merged_a5B1__M24,Merged_a5B1__M24,alpha5beta1 blockade,All epithelial,All epithelial,4859,Injury-associated regeneration,5.472569187843183
All epithelial___All epithelial___Merged_a5B1__M24,Merged_a5B1__M24,alpha5beta1 blockade,All epithelial,All epithelial,4859,Absorptive differentiation,5.153575525138945
All epithelial___All epithelial___Merged_a5B1__M20,Merged_a5B1__M20,alpha5beta1 blockade,All epithelial,All epithelial,6717,Inflammatory chemokines,2.2035892543897013
All epithelial___All epithelial___Merged_a5B1__M20,Merged_a5B1__M20,alpha5beta1 blockade,All epithelial,All epithelial,6717,Interferon response,1.0432789454780373
All epithelial___All epithelial___Merged_a5B1__M20,Merged_a5B1__M20,alpha5beta1 blockade,All epithelial,All epithelial,6717,Barrier / junctions,6.728435175952501
All epithelial___All epithelial___Merged_a5B1__M20,Merged_a5B1__M20,alpha5beta1 blockade,All epithelial,All epithelial,6717,Mucus / secretory,9.405985767261626
All epithelial___All epithelial___Merged_a5B1__M20,Merged_a5B1__M20,alpha5beta1 blockade,All epithelial,All epithelial,6717,Injury-associated regeneration,5.677299817090692
All epithelial___All epithelial___Merged_a5B1__M20,Merged_a5B1__M20,alpha5beta1 blockade,All epithelial,All epithelial,6717,Absorptive differentiation,5.595617709867815
All epithelial___All epithelial___Merged_a5B1__M13,Merged_a5B1__M13,alpha5beta1 blockade,All epithelial,All epithelial,1023,Inflammatory chemokines,3.5054471560648786
All epithelial___All epithelial___Merged_a5B1__M13,Merged_a5B1__M13,alpha5beta1 blockade,All epithelial,All epithelial,1023,Interferon response,2.0525783476027644
All epithelial___All epithelial___Merged_a5B1__M13,Merged_a5B1__M13,alpha5beta1 blockade,All epithelial,All epithelial,1023,Barrier / junctions,7.083169756542801
All epithelial___All epithelial___Merged_a5B1__M13,Merged_a5B1__M13,alpha5beta1 blockade,All epithelial,All epithelial,1023,Mucus / secretory,9.63899602362998
All epithelial___All epithelial___Merged_a5B1__M13,Merged_a5B1__M13,alpha5beta1 blockade,All epithelial,All epithelial,1023,Injury-associated regeneration,5.876213883992987
All epithelial___All epithelial___Merged_a5B1__M13,Merged_a5B1__M13,alpha5beta1 blockade,All epithelial,All epithelial,1023,Absorptive differentiation,5.402212206842249
All epithelial___All epithelial___Merged_a5B1__M19,Merged_a5B1__M19,alpha5beta1 blockade,All epithelial,All epithelial,5893,Inflammatory chemokines,2.0713762986150885
All epithelial___All epithelial___Merged_a5B1__M19,Merged_a5B1__M19,alpha5beta1 blockade,All epithelial,All epithelial,5893,Interferon response,0.8396381206965337
All epithelial___All epithelial___Merged_a5B1__M19,Merged_a5B1__M19,alpha5beta1 blockade,All epithelial,All epithelial,5893,Barrier / junctions,6.743032838037354
All epithelial___All epithelial___Merged_a5B1__M19,Merged_a5B1__M19,alpha5beta1 blockade,All epithelial,All epithelial,5893,Mucus / secretory,9.419787540085059
All epithelial___All epithelial___Merged_a5B1__M19,Merged_a5B1__M19,alpha5beta1 blockade,All epithelial,All epithelial,5893,Injury-associated regeneration,5.574801027218039
All epithelial___All epithelial___Merged_a5B1__M19,Merged_a5B1__M19,alpha5beta1 blockade,All epithelial,All epithelial,5893,Absorptive differentiation,5.100768498951773
All epithelial___All epithelial___FAPTK__D4,FAPTK__D4,DSS,All epithelial,All epithelial,1982,Inflammatory chemokines,5.198521273377847
All epithelial___All epithelial___FAPTK__D4,FAPTK__D4,DSS,All epithelial,All epithelial,1982,Interferon response,2.184915808375226
All epithelial___All epithelial___FAPTK__D4,FAPTK__D4,DSS,All epithelial,All epithelial,1982,Barrier / junctions,6.857062632808577
All epithelial___All epithelial___FAPTK__D4,FAPTK__D4,DSS,All epithelial,All epithelial,1982,Mucus / secretory,6.329304808754255
All epithelial___All epithelial___FAPTK__D4,FAPTK__D4,DSS,All epithelial,All epithelial,1982,Injury-associated regeneration,5.81553658472055
All epithelial___All epithelial___FAPTK__D4,FAPTK__D4,DSS,All epithelial,All epithelial,1982,Absorptive differentiation,7.0389687692617215
