"key","scope","state","sample_uid","n_cells"
"Level 3___Colonocyte-like epithelial cell___Merged_a5B1__M22","Level 3","Colonocyte-like epithelial cell","Merged_a5B1__M22",7
"Level 3___Colonocyte-like epithelial cell___Merged_a5B1__M21","Level 3","Colonocyte-like epithelial cell","Merged_a5B1__M21",6
"Level 3___Colonocyte-like epithelial cell___Merged_a5B1__M18","Level 3","Colonocyte-like epithelial cell","Merged_a5B1__M18",16
"Level 3___Colonocyte-like epithelial cell___Merged_a5B1__M14","Level 3","Colonocyte-like epithelial cell","Merged_a5B1__M14",6
"Level 3___Colonocyte-like epithelial cell___Merged_a5B1__M17","Level 3","Colonocyte-like epithelial cell","Merged_a5B1__M17",4
"Level 3___Colonocyte-like epithelial cell___Merged_a5B1__M24","Level 3","Colonocyte-like epithelial cell","Merged_a5B1__M24",7
"Level 3___Colonocyte-like epithelial cell___Merged_a5B1__M20","Level 3","Colonocyte-like epithelial cell","Merged_a5B1__M20",7
"Level 3___Colonocyte-like epithelial cell___Merged_a5B1__M13","Level 3","Colonocyte-like epithelial cell","Merged_a5B1__M13",3
"Level 3___Colonocyte-like epithelial cell___Merged_a5B1__M19","Level 3","Colonocyte-like epithelial cell","Merged_a5B1__M19",4
"Level 3___Colonocyte-like epithelial cell___FAPTK__D4","Level 3","Colonocyte-like epithelial cell","FAPTK__D4",10
"Level 3___Colonocyte-like epithelial cell___FAPTK__D2","Level 3","Colonocyte-like epithelial cell","FAPTK__D2",7
"Level 3___Colonocyte-like epithelial cell___FAPTK__D1","Level 3","Colonocyte-like epithelial cell","FAPTK__D1",22
"Level 3___Colonocyte-like epithelial cell___FAPTK__D3","Level 3","Colonocyte-like epithelial cell","FAPTK__D3",6
"Level 3___Colonocyte-like epithelial cell___FAPTK__D6","Level 3","Colonocyte-like epithelial cell","FAPTK__D6",7
"Level 3___Colonocyte-like epithelial cell___FAPTK__D5","Level 3","Colonocyte-like epithelial cell","FAPTK__D5",5
"Level 3___Colonocyte-like epithelial cell___FAPTK__FD3","Level 3","Colonocyte-like epithelial cell","FAPTK__FD3",172
"Level 3___Colonocyte-like epithelial cell___FAPTK__FD4","Level 3","Colonocyte-like epithelial cell","FAPTK__FD4",134
"Level 3___Colonocyte-like epithelial cell___FAPTK__FD6","Level 3","Colonocyte-like epithelial cell","FAPTK__FD6",2
"Level 3___Colonocyte-like epithelial cell___FAPTK__FD2","Level 3","Colonocyte-like epithelial cell","FAPTK__FD2",22
"Level 3___Colonocyte-like epithelial cell___FAPTK__FD5","Level 3","Colonocyte-like epithelial cell","FAPTK__FD5",1
"Level 3___Secretory-absorptive transitional epithelial___Merged_a5B1__M19","Level 3","Secretory-absorptive transitional epithelial","Merged_a5B1__M19",1
"Level 3___Satb2+ epithelial-like transitional cell___Merged_a5B1__M23","Level 3","Satb2+ epithelial-like transitional cell","Merged_a5B1__M23",1
"Level 3___Secretory-absorptive transitional epithelial___Merged_a5B1__M23","Level 3","Secretory-absorptive transitional epithelial","Merged_a5B1__M23",1
"Level 3___Satb2+ epithelial-like transitional cell___FAPTK__D3","Level 3","Satb2+ epithelial-like transitional cell","FAPTK__D3",36
"Level 3___Satb2+ epithelial-like transitional cell___FAPTK__D5","Level 3","Satb2+ epithelial-like transitional cell","FAPTK__D5",28
"Level 3___Secretory-absorptive transitional epithelial___FAPTK__D5","Level 3","Secretory-absorptive transitional epithelial","FAPTK__D5",3
"Level 3___Satb2+ epithelial-like transitional cell___FAPTK__D1","Level 3","Satb2+ epithelial-like transitional cell","FAPTK__D1",59
"Level 3___Satb2+ epithelial-like transitional cell___FAPTK__D2","Level 3","Satb2+ epithelial-like transitional cell","FAPTK__D2",25
"Level 3___Satb2+ epithelial-like transitional cell___FAPTK__D4","Level 3","Satb2+ epithelial-like transitional cell","FAPTK__D4",81
"Level 3___Satb2+ epithelial-like transitional cell___FAPTK__D6","Level 3","Satb2+ epithelial-like transitional cell","FAPTK__D6",33
"Level 3___Secretory-absorptive transitional epithelial___FAPTK__D2","Level 3","Secretory-absorptive transitional epithelial","FAPTK__D2",2
"Level 3___Secretory-absorptive transitional epithelial___FAPTK__D6","Level 3","Secretory-absorptive transitional epithelial","FAPTK__D6",2
"Level 3___Secretory-absorptive transitional epithelial___FAPTK__D4","Level 3","Secretory-absorptive transitional epithelial","FAPTK__D4",3
"Level 3___Secretory-absorptive transitional epithelial___FAPTK__D1","Level 3","Secretory-absorptive transitional epithelial","FAPTK__D1",4
"Level 3___Satb2+ epithelial-like transitional cell___FAPTK__FD4","Level 3","Satb2+ epithelial-like transitional cell","FAPTK__FD4",129
"Level 3___Satb2+ epithelial-like transitional cell___FAPTK__FD3","Level 3","Satb2+ epithelial-like transitional cell","FAPTK__FD3",215
"Level 3___Secretory-absorptive transitional epithelial___FAPTK__FD4","Level 3","Secretory-absorptive transitional epithelial","FAPTK__FD4",187
"Level 3___Secretory-absorptive transitional epithelial___FAPTK__FD3","Level 3","Secretory-absorptive transitional epithelial","FAPTK__FD3",210
"Level 3___Secretory-absorptive transitional epithelial___FAPTK__FD2","Level 3","Secretory-absorptive transitional epithelial","FAPTK__FD2",34
"Level 3___Secretory-absorptive transitional epithelial___FAPTK__FD6","Level 3","Secretory-absorptive transitional epithelial","FAPTK__FD6",15
"Level 3___Satb2+ epithelial-like transitional cell___FAPTK__FD6","Level 3","Satb2+ epithelial-like transitional cell","FAPTK__FD6",5
"Level 3___Satb2+ epithelial-like transitional cell___FAPTK__FD2","Level 3","Satb2+ epithelial-like transitional cell","FAPTK__FD2",25
"Level 3___Secretory-absorptive transitional epithelial___FAPTK__FD5","Level 3","Secretory-absorptive transitional epithelial","FAPTK__FD5",1
"Level 3___Satb2+ epithelial-like transitional cell___FAPTK__FD5","Level 3","Satb2+ epithelial-like transitional cell","FAPTK__FD5",1
"Level 3___Zg16+ secretory epithelial___Merged_a5B1__M23","Level 3","Zg16+ secretory epithelial","Merged_a5B1__M23",65790
"Level 3___Mature absorptive colonocyte___Merged_a5B1__M23","Level 3","Mature absorptive colonocyte","Merged_a5B1__M23",11948
"Level 3___Injury/inflammatory epithelial___Merged_a5B1__M16","Level 3","Injury/inflammatory epithelial","Merged_a5B1__M16",54752
"Level 3___Injury/inflammatory epithelial___Merged_a5B1__M18","Level 3","Injury/inflammatory epithelial","Merged_a5B1__M18",2762
"Level 3___Inflammatory Zg16+ secretory epithelial___Merged_a5B1__M16","Level 3","Inflammatory Zg16+ secretory epithelial","Merged_a5B1__M16",4144
"Level 3___Zg16+ secretory epithelial___Merged_a5B1__M20","Level 3","Zg16+ secretory epithelial","Merged_a5B1__M20",5055
"Level 3___Absorptive-secretory transitional epithelial___Merged_a5B1__M23","Level 3","Absorptive-secretory transitional epithelial","Merged_a5B1__M23",192
"Level 3___Mature absorptive colonocyte___Merged_a5B1__M21","Level 3","Mature absorptive colonocyte","Merged_a5B1__M21",531
"Level 3___Zg16+ secretory epithelial___Merged_a5B1__M14","Level 3","Zg16+ secretory epithelial","Merged_a5B1__M14",124
"Level 3___Injury/inflammatory epithelial___Merged_a5B1__M15","Level 3","Injury/inflammatory epithelial","Merged_a5B1__M15",4483
"Level 3___IFN/MHC-II-responsive epithelial___Merged_a5B1__M23","Level 3","IFN/MHC-II-responsive epithelial","Merged_a5B1__M23",206
"Level 3___Mature absorptive colonocyte___Merged_a5B1__M16","Level 3","Mature absorptive colonocyte","Merged_a5B1__M16",9600
"Level 3___Enteroendocrine-secretory transitional cell___Merged_a5B1__M23","Level 3","Enteroendocrine-secretory transitional cell","Merged_a5B1__M23",2050
"Level 3___Inflammatory Zg16+ secretory epithelial___Merged_a5B1__M21","Level 3","Inflammatory Zg16+ secretory epithelial","Merged_a5B1__M21",235
"Level 3___Mature absorptive colonocyte___Merged_a5B1__M15","Level 3","Mature absorptive colonocyte","Merged_a5B1__M15",475
"Level 3___Inflammatory Zg16+ secretory epithelial___Merged_a5B1__M23","Level 3","Inflammatory Zg16+ secretory epithelial","Merged_a5B1__M23",4439
"Level 3___Zg16+ secretory epithelial___Merged_a5B1__M22","Level 3","Zg16+ secretory epithelial","Merged_a5B1__M22",4127
"Level 3___Zg16+ secretory epithelial___Merged_a5B1__M21","Level 3","Zg16+ secretory epithelial","Merged_a5B1__M21",3664
"Level 3___Injury/inflammatory epithelial___Merged_a5B1__M13","Level 3","Injury/inflammatory epithelial","Merged_a5B1__M13",762
