"key","scope","state","sample_uid","n_cells"
"Level 3___IFN-responsive absorptive colonocyte___Merged_a5B1__M23","Level 3","IFN-responsive absorptive colonocyte","Merged_a5B1__M23",1
"Level 3___Reg4+ deep-crypt secretory epithelial___Merged_a5B1__M17","Level 3","Reg4+ deep-crypt secretory epithelial","Merged_a5B1__M17",1
"Level 3___Enteroendocrine cell___Merged_a5B1__M14","Level 3","Enteroendocrine cell","Merged_a5B1__M14",1
"Level 3___Enteroendocrine cell___Merged_a5B1__M13","Level 3","Enteroendocrine cell","Merged_a5B1__M13",1
"Level 3___IFN/MHC-II-responsive epithelial___FAPTK__D6","Level 3","IFN/MHC-II-responsive epithelial","FAPTK__D6",825
"Level 3___IFN/MHC-II-responsive epithelial___FAPTK__D5","Level 3","IFN/MHC-II-responsive epithelial","FAPTK__D5",555
"Level 3___IFN/MHC-II-responsive epithelial___FAPTK__D1","Level 3","IFN/MHC-II-responsive epithelial","FAPTK__D1",949
"Level 3___IFN/MHC-II-responsive epithelial___FAPTK__D4","Level 3","IFN/MHC-II-responsive epithelial","FAPTK__D4",1517
"Level 3___Mature absorptive colonocyte___FAPTK__D1","Level 3","Mature absorptive colonocyte","FAPTK__D1",159
"Level 3___IFN/MHC-II-responsive epithelial___FAPTK__D2","Level 3","IFN/MHC-II-responsive epithelial","FAPTK__D2",443
"Level 3___IFN/MHC-II-responsive epithelial___FAPTK__D3","Level 3","IFN/MHC-II-responsive epithelial","FAPTK__D3",354
"Level 3___Mature absorptive colonocyte___FAPTK__D6","Level 3","Mature absorptive colonocyte","FAPTK__D6",122
"Level 3___Mature absorptive colonocyte___FAPTK__D4","Level 3","Mature absorptive colonocyte","FAPTK__D4",279
"Level 3___Absorptive-secretory transitional epithelial___FAPTK__D6","Level 3","Absorptive-secretory transitional epithelial","FAPTK__D6",7
"Level 3___Reg4+ deep-crypt secretory epithelial___FAPTK__D5","Level 3","Reg4+ deep-crypt secretory epithelial","FAPTK__D5",7
"Level 3___Mature absorptive colonocyte___FAPTK__D3","Level 3","Mature absorptive colonocyte","FAPTK__D3",65
"Level 3___Absorptive-secretory transitional epithelial___FAPTK__D1","Level 3","Absorptive-secretory transitional epithelial","FAPTK__D1",7
"Level 3___Mature absorptive colonocyte___FAPTK__D5","Level 3","Mature absorptive colonocyte","FAPTK__D5",105
"Level 3___Injury/inflammatory epithelial___FAPTK__D1","Level 3","Injury/inflammatory epithelial","FAPTK__D1",14
"Level 3___Zg16+ secretory epithelial___FAPTK__D3","Level 3","Zg16+ secretory epithelial","FAPTK__D3",5
"Level 3___Enteroendocrine cell___FAPTK__D1","Level 3","Enteroendocrine cell","FAPTK__D1",3
"Level 3___Reg4+ deep-crypt secretory epithelial___FAPTK__D1","Level 3","Reg4+ deep-crypt secretory epithelial","FAPTK__D1",8
"Level 3___Injury/inflammatory epithelial___FAPTK__D4","Level 3","Injury/inflammatory epithelial","FAPTK__D4",25
"Level 3___IFN-responsive absorptive colonocyte___FAPTK__D2","Level 3","IFN-responsive absorptive colonocyte","FAPTK__D2",4
"Level 3___Inflammatory Zg16+ secretory epithelial___FAPTK__D4","Level 3","Inflammatory Zg16+ secretory epithelial","FAPTK__D4",8
"Level 3___Mature absorptive colonocyte___FAPTK__D2","Level 3","Mature absorptive colonocyte","FAPTK__D2",66
"Level 3___IFN-responsive absorptive colonocyte___FAPTK__D5","Level 3","IFN-responsive absorptive colonocyte","FAPTK__D5",7
"Level 3___Absorptive-secretory transitional epithelial___FAPTK__D4","Level 3","Absorptive-secretory transitional epithelial","FAPTK__D4",8
"Level 3___IFN-responsive absorptive colonocyte___FAPTK__D1","Level 3","IFN-responsive absorptive colonocyte","FAPTK__D1",4
"Level 3___Injury/inflammatory epithelial___FAPTK__D5","Level 3","Injury/inflammatory epithelial","FAPTK__D5",7
"Level 3___Enteroendocrine-secretory transitional cell___FAPTK__D5","Level 3","Enteroendocrine-secretory transitional cell","FAPTK__D5",6
"Level 3___Reg4+ deep-crypt secretory epithelial___FAPTK__D4","Level 3","Reg4+ deep-crypt secretory epithelial","FAPTK__D4",17
"Level 3___Reg4+ deep-crypt secretory epithelial___FAPTK__D6","Level 3","Reg4+ deep-crypt secretory epithelial","FAPTK__D6",7
"Level 3___Zg16+ secretory epithelial___FAPTK__D6","Level 3","Zg16+ secretory epithelial","FAPTK__D6",12
"Level 3___Absorptive-secretory transitional epithelial___FAPTK__D3","Level 3","Absorptive-secretory transitional epithelial","FAPTK__D3",3
"Level 3___Inflammatory Zg16+ secretory epithelial___FAPTK__D5","Level 3","Inflammatory Zg16+ secretory epithelial","FAPTK__D5",5
"Level 3___Injury/inflammatory epithelial___FAPTK__D3","Level 3","Injury/inflammatory epithelial","FAPTK__D3",8
"Level 3___Zg16+ secretory epithelial___FAPTK__D1","Level 3","Zg16+ secretory epithelial","FAPTK__D1",9
"Level 3___Absorptive-secretory transitional epithelial___FAPTK__D5","Level 3","Absorptive-secretory transitional epithelial","FAPTK__D5",2
"Level 3___IFN-responsive absorptive colonocyte___FAPTK__D4","Level 3","IFN-responsive absorptive colonocyte","FAPTK__D4",16
"Level 3___Enteroendocrine-secretory transitional cell___FAPTK__D1","Level 3","Enteroendocrine-secretory transitional cell","FAPTK__D1",10
"Level 3___Inflammatory Zg16+ secretory epithelial___FAPTK__D3","Level 3","Inflammatory Zg16+ secretory epithelial","FAPTK__D3",1
"Level 3___IFN-responsive absorptive colonocyte___FAPTK__D6","Level 3","IFN-responsive absorptive colonocyte","FAPTK__D6",14
"Level 3___Enteroendocrine-secretory transitional cell___FAPTK__D6","Level 3","Enteroendocrine-secretory transitional cell","FAPTK__D6",6
"Level 3___Enteroendocrine-secretory transitional cell___FAPTK__D3","Level 3","Enteroendocrine-secretory transitional cell","FAPTK__D3",1
"Level 3___Zg16+ secretory epithelial___FAPTK__D5","Level 3","Zg16+ secretory epithelial","FAPTK__D5",9
"Level 3___Inflammatory Zg16+ secretory epithelial___FAPTK__D6","Level 3","Inflammatory Zg16+ secretory epithelial","FAPTK__D6",10
"Level 3___Reg4+ deep-crypt secretory epithelial___FAPTK__D3","Level 3","Reg4+ deep-crypt secretory epithelial","FAPTK__D3",6
"Level 3___Reg4+ deep-crypt secretory epithelial___FAPTK__D2","Level 3","Reg4+ deep-crypt secretory epithelial","FAPTK__D2",2
"Level 3___Enteroendocrine-secretory transitional cell___FAPTK__D4","Level 3","Enteroendocrine-secretory transitional cell","FAPTK__D4",6
"Level 3___Zg16+ secretory epithelial___FAPTK__D2","Level 3","Zg16+ secretory epithelial","FAPTK__D2",7
"Level 3___Zg16+ secretory epithelial___FAPTK__D4","Level 3","Zg16+ secretory epithelial","FAPTK__D4",11
"Level 3___Inflammatory Zg16+ secretory epithelial___FAPTK__D1","Level 3","Inflammatory Zg16+ secretory epithelial","FAPTK__D1",3
"Level 3___Injury/inflammatory epithelial___FAPTK__D6","Level 3","Injury/inflammatory epithelial","FAPTK__D6",6
"Level 3___Injury/inflammatory epithelial___FAPTK__D2","Level 3","Injury/inflammatory epithelial","FAPTK__D2",5
"Level 3___Inflammatory Zg16+ secretory epithelial___FAPTK__D2","Level 3","Inflammatory Zg16+ secretory epithelial","FAPTK__D2",2
"Level 3___Enteroendocrine-secretory transitional cell___FAPTK__D2","Level 3","Enteroendocrine-secretory transitional cell","FAPTK__D2",3
"Level 3___Enteroendocrine cell___FAPTK__D4","Level 3","Enteroendocrine cell","FAPTK__D4",1
"Level 3___IFN-responsive absorptive colonocyte___FAPTK__D3","Level 3","IFN-responsive absorptive colonocyte","FAPTK__D3",1
"Level 3___Absorptive-secretory transitional epithelial___FAPTK__D2","Level 3","Absorptive-secretory transitional epithelial","FAPTK__D2",2
"Level 3___Mature absorptive colonocyte___FAPTK__FD4","Level 3","Mature absorptive colonocyte","FAPTK__FD4",2009
"Level 3___Absorptive-secretory transitional epithelial___FAPTK__FD3","Level 3","Absorptive-secretory transitional epithelial","FAPTK__FD3",2008
"Level 3___Zg16+ secretory epithelial___FAPTK__FD3","Level 3","Zg16+ secretory epithelial","FAPTK__FD3",95
"Level 3___IFN/MHC-II-responsive epithelial___FAPTK__FD4","Level 3","IFN/MHC-II-responsive epithelial","FAPTK__FD4",165
"Level 3___Absorptive-secretory transitional epithelial___FAPTK__FD4","Level 3","Absorptive-secretory transitional epithelial","FAPTK__FD4",1339
"Level 3___Mature absorptive colonocyte___FAPTK__FD6","Level 3","Mature absorptive colonocyte","FAPTK__FD6",121
"Level 3___Mature absorptive colonocyte___FAPTK__FD2","Level 3","Mature absorptive colonocyte","FAPTK__FD2",373
"Level 3___Mature absorptive colonocyte___FAPTK__FD3","Level 3","Mature absorptive colonocyte","FAPTK__FD3",2844
"Level 3___Absorptive-secretory transitional epithelial___FAPTK__FD2","Level 3","Absorptive-secretory transitional epithelial","FAPTK__FD2",254
"Level 3___IFN/MHC-II-responsive epithelial___FAPTK__FD3","Level 3","IFN/MHC-II-responsive epithelial","FAPTK__FD3",265
"Level 3___Absorptive-secretory transitional epithelial___FAPTK__FD6","Level 3","Absorptive-secretory transitional epithelial","FAPTK__FD6",101
"Level 3___Reg4+ deep-crypt secretory epithelial___FAPTK__FD4","Level 3","Reg4+ deep-crypt secretory epithelial","FAPTK__FD4",146
"Level 3___Enteroendocrine-secretory transitional cell___FAPTK__FD4","Level 3","Enteroendocrine-secretory transitional cell","FAPTK__FD4",42
"Level 3___Reg4+ deep-crypt secretory epithelial___FAPTK__FD2","Level 3","Reg4+ deep-crypt secretory epithelial","FAPTK__FD2",27
"Level 3___Reg4+ deep-crypt secretory epithelial___FAPTK__FD3","Level 3","Reg4+ deep-crypt secretory epithelial","FAPTK__FD3",199
"Level 3___IFN/MHC-II-responsive epithelial___FAPTK__FD6","Level 3","IFN/MHC-II-responsive epithelial","FAPTK__FD6",22
"Level 3___Enteroendocrine cell___FAPTK__FD3","Level 3","Enteroendocrine cell","FAPTK__FD3",9
"Level 3___Inflammatory Zg16+ secretory epithelial___FAPTK__FD3","Level 3","Inflammatory Zg16+ secretory epithelial","FAPTK__FD3",77
"Level 3___Zg16+ secretory epithelial___FAPTK__FD4","Level 3","Zg16+ secretory epithelial","FAPTK__FD4",71
"Level 3___IFN/MHC-II-responsive epithelial___FAPTK__FD2","Level 3","IFN/MHC-II-responsive epithelial","FAPTK__FD2",42
"Level 3___Enteroendocrine cell___FAPTK__FD2","Level 3","Enteroendocrine cell","FAPTK__FD2",2
"Level 3___Inflammatory Zg16+ secretory epithelial___FAPTK__FD4","Level 3","Inflammatory Zg16+ secretory epithelial","FAPTK__FD4",56
"Level 3___Enteroendocrine-secretory transitional cell___FAPTK__FD3","Level 3","Enteroendocrine-secretory transitional cell","FAPTK__FD3",63
"Level 3___Enteroendocrine-secretory transitional cell___FAPTK__FD6","Level 3","Enteroendocrine-secretory transitional cell","FAPTK__FD6",4
"Level 3___Zg16+ secretory epithelial___FAPTK__FD2","Level 3","Zg16+ secretory epithelial","FAPTK__FD2",13
"Level 3___Absorptive-secretory transitional epithelial___FAPTK__FD5","Level 3","Absorptive-secretory transitional epithelial","FAPTK__FD5",6
"Level 3___Enteroendocrine cell___FAPTK__FD6","Level 3","Enteroendocrine cell","FAPTK__FD6",1
"Level 3___Mature absorptive colonocyte___FAPTK__FD5","Level 3","Mature absorptive colonocyte","FAPTK__FD5",7
"Level 3___IFN-responsive absorptive colonocyte___FAPTK__FD3","Level 3","IFN-responsive absorptive colonocyte","FAPTK__FD3",2
"Level 3___Injury/inflammatory epithelial___FAPTK__FD3","Level 3","Injury/inflammatory epithelial","FAPTK__FD3",6
"Level 3___Injury/inflammatory epithelial___FAPTK__FD4","Level 3","Injury/inflammatory epithelial","FAPTK__FD4",1
"Level 3___Zg16+ secretory epithelial___FAPTK__FD6","Level 3","Zg16+ secretory epithelial","FAPTK__FD6",6
"Level 3___Inflammatory Zg16+ secretory epithelial___FAPTK__FD6","Level 3","Inflammatory Zg16+ secretory epithelial","FAPTK__FD6",5
"Level 3___Enteroendocrine-secretory transitional cell___FAPTK__FD2","Level 3","Enteroendocrine-secretory transitional cell","FAPTK__FD2",6
"Level 3___Enteroendocrine cell___FAPTK__FD4","Level 3","Enteroendocrine cell","FAPTK__FD4",6
"Level 3___Reg4+ deep-crypt secretory epithelial___FAPTK__FD6","Level 3","Reg4+ deep-crypt secretory epithelial","FAPTK__FD6",3
"Level 3___Inflammatory Zg16+ secretory epithelial___FAPTK__FD2","Level 3","Inflammatory Zg16+ secretory epithelial","FAPTK__FD2",6
"Level 3___Injury/inflammatory epithelial___FAPTK__FD2","Level 3","Injury/inflammatory epithelial","FAPTK__FD2",1
