sample,group,subset,kind,marker,events,median,mean,eligible
FD1,FD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,saved gate,CXCR4,0,,,False
FD1,FD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,saved gate,MX1,0,,,False
FD1,FD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,saved gate,PADI4,0,,,False
FD1,FD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,saved gate,NAMPT,0,,,False
FD1,FD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,saved gate,CD177,0,,,False
FD1,FD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,saved gate,CD11b,0,,,False
FD1,FD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,saved gate,CD45,0,,,False
FD1,FD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,saved gate,Ly6G,0,,,False
FD1,FD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,saved gate,F4/80,0,,,False
FD1,FD,Saved: cd177+ all neutrophil/padi4+,saved gate,OSM,54,-60442.60410792259,-65086.77672213384,True
FD1,FD,Saved: cd177+ all neutrophil/padi4+,saved gate,CXCR4,54,1808.4415046401273,3031.208639783432,True
FD1,FD,Saved: cd177+ all neutrophil/padi4+,saved gate,MX1,54,-14525.231115573892,-15902.943490019776,True
FD1,FD,Saved: cd177+ all neutrophil/padi4+,saved gate,PADI4,54,1335.333554528907,1826.5764692571015,True
FD1,FD,Saved: cd177+ all neutrophil/padi4+,saved gate,NAMPT,54,-1037.9906341276544,-1170.2839077491954,True
FD1,FD,Saved: cd177+ all neutrophil/padi4+,saved gate,CD177,54,6312.903994294356,9221.205524796533,True
FD1,FD,Saved: cd177+ all neutrophil/padi4+,saved gate,CD11b,54,48852.75732612422,57566.40055369045,True
FD1,FD,Saved: cd177+ all neutrophil/padi4+,saved gate,CD45,54,11939.711086503481,14212.601219025526,True
FD1,FD,Saved: cd177+ all neutrophil/padi4+,saved gate,Ly6G,54,19289.127079722104,35713.16448044827,True
FD1,FD,Saved: cd177+ all neutrophil/padi4+,saved gate,F4/80,54,5215.3798799867345,6105.579052156076,True
FD1,FD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,saved gate,OSM,10,-58253.48269140588,-65669.04858033528,False
FD1,FD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,saved gate,CXCR4,10,2157.2303729862156,1709.2975922629053,False
FD1,FD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,saved gate,MX1,10,-13350.027246163343,-15605.963467684564,False
FD1,FD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,saved gate,PADI4,10,2683.2951201893247,3168.56751268578,False
FD1,FD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,saved gate,NAMPT,10,-1043.687481516236,-1232.6712007355145,False
FD1,FD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,saved gate,CD177,10,6616.137261397334,9069.628231500414,False
FD1,FD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,saved gate,CD11b,10,47234.71929682203,54654.93060390279,False
FD1,FD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,saved gate,CD45,10,13162.119344182483,15210.623618384692,False
FD1,FD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,saved gate,Ly6G,10,28609.335987699917,39489.889441059415,False
FD1,FD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,saved gate,F4/80,10,2690.4780035620597,4356.663798366718,False
FD1,FD,Saved: cd177- all neutrophils,saved gate,OSM,1327,-7406.89019885426,-13477.103104586726,True
FD1,FD,Saved: cd177- all neutrophils,saved gate,CXCR4,1327,2508.097390186774,4875.707604075362,True
FD1,FD,Saved: cd177- all neutrophils,saved gate,MX1,1327,-1484.2574411086969,-2934.7240610958947,True
FD1,FD,Saved: cd177- all neutrophils,saved gate,PADI4,1327,1903.8198243763093,2792.7274477449087,True
FD1,FD,Saved: cd177- all neutrophils,saved gate,NAMPT,1327,-140.05415087680583,-191.368769457761,True
FD1,FD,Saved: cd177- all neutrophils,saved gate,CD177,1327,-6502.865124763886,-8143.282554953993,True
FD1,FD,Saved: cd177- all neutrophils,saved gate,CD11b,1327,16613.291809650313,31991.363351933305,True
FD1,FD,Saved: cd177- all neutrophils,saved gate,CD45,1327,12895.197085652238,16992.09813290789,True
FD1,FD,Saved: cd177- all neutrophils,saved gate,Ly6G,1327,14994.690099075126,21932.678640093938,True
FD1,FD,Saved: cd177- all neutrophils,saved gate,F4/80,1327,3375.985880255332,4025.1286996854906,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4+ osm+,saved gate,OSM,250,14273.236445931256,17735.63749238403,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4+ osm+,saved gate,CXCR4,250,2457.167782895346,3440.681870139978,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4+ osm+,saved gate,MX1,250,4917.6269752250955,6303.285261121791,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4+ osm+,saved gate,PADI4,250,3172.4143414097744,4607.48035989387,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4+ osm+,saved gate,NAMPT,250,470.0175908119495,584.4893113556952,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4+ osm+,saved gate,CD177,250,-11327.269259085628,-13606.291646847907,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4+ osm+,saved gate,CD11b,250,12445.218283522037,15374.768168319035,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4+ osm+,saved gate,CD45,250,15416.56394930726,20360.519691144607,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4+ osm+,saved gate,Ly6G,250,28772.196541930265,35157.295324418046,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4+ osm+,saved gate,F4/80,250,-3679.941360070709,-4462.960667632378,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4- mx1+,saved gate,OSM,97,11710.048349400577,11679.113906601855,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4- mx1+,saved gate,CXCR4,97,1160.4761576036976,1113.9847580943353,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4- mx1+,saved gate,MX1,97,3593.0163020249547,3907.6315360850585,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4- mx1+,saved gate,PADI4,97,1573.9845333611165,2032.2226751713715,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4- mx1+,saved gate,NAMPT,97,310.1464563439407,300.99506648360574,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4- mx1+,saved gate,CD177,97,-7867.051510170495,-8090.342293375442,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4- mx1+,saved gate,CD11b,97,9235.763661107343,10189.197037499025,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4- mx1+,saved gate,CD45,97,9798.792345171738,12204.09852022285,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4- mx1+,saved gate,Ly6G,97,22067.46055737315,21819.989208023355,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4- mx1+,saved gate,F4/80,97,-2818.1741527668714,-2758.1739413169,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4- osm+,saved gate,OSM,49,9182.956004984002,10327.451662095587,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4- osm+,saved gate,CXCR4,49,772.7633510945735,732.5236069308289,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4- osm+,saved gate,MX1,49,2526.847739233667,2613.024720127425,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4- osm+,saved gate,PADI4,49,876.448277868587,1485.7082957023467,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4- osm+,saved gate,NAMPT,49,210.7564520229232,212.61307694874077,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4- osm+,saved gate,CD177,49,-6941.412079567498,-7466.517819049658,True
