sample,group,subset,kind,events,denominator_events,value
WD3,WD,Saved: cd177- all neutrophils,saved gate,118,261,45.21072796934866
WD3,WD,Saved: cd177- all neutrophils/cxcr4+ osm+,saved gate,5,261,1.9157088122605364
WD3,WD,Saved: cd177- all neutrophils/cxcr4- mx1+,saved gate,19,261,7.2796934865900385
WD3,WD,Saved: cd177- all neutrophils/cxcr4- osm+,saved gate,22,261,8.42911877394636
WD3,WD,Saved: cd177- all neutrophils/mx1+ cxcr4+,saved gate,13,261,4.980842911877395
WD3,WD,Saved: cd177- all neutrophils/mx1+ osm+,saved gate,7,261,2.681992337164751
WD3,WD,Saved: cd177- all neutrophils/osm+ padi4+,saved gate,1,261,0.3831417624521073
WD3,WD,Saved: cd177- all neutrophils/padi4+ cxcr4+,saved gate,27,261,10.344827586206897
WD3,WD,Saved: cd177- all neutrophils/padi4+ cxcr4-,saved gate,6,261,2.2988505747126435
WD3,WD,Saved: cd177- all neutrophils/padi4+ mx1+,saved gate,4,261,1.5325670498084292
WD3,WD,Saved: cxcr4+,saved gate,68,261,26.053639846743295
WD3,WD,Saved: cxcr4+/cd177 hi,saved gate,16,261,6.130268199233717
WD3,WD,"Saved: cxcr4+/mx1, osm+",saved gate,1,261,0.3831417624521073
WD3,WD,"Saved: cxcr4+/mx1, padi4+",saved gate,3,261,1.1494252873563218
WD3,WD,"Saved: cxcr4+/padi4, osm+",saved gate,0,261,0.0
WD3,WD,Saved: cxcr4+/padi4- or osm-,saved gate,58,261,22.22222222222222
WD3,WD,Saved: cxcr4+/padi4- or osm-/true cxcr+ neutro,saved gate,52,261,19.92337164750958
WD3,WD,Saved: cxcr4-,saved gate,186,261,71.26436781609195
WD3,WD,Saved: cxcr4-/cd177 hi,saved gate,107,261,40.99616858237548
WD3,WD,Saved: mx1+,saved gate,11,261,4.21455938697318
WD3,WD,Saved: mx1+/cd177 hi,saved gate,0,261,0.0
WD3,WD,Saved: osm+,saved gate,30,261,11.494252873563218
WD3,WD,Saved: osm+/cd177 hi,saved gate,0,261,0.0
WD3,WD,Saved: padi4+,saved gate,8,261,3.0651340996168583
WD3,WD,Saved: padi4+/cd177 hi,saved gate,1,261,0.3831417624521073
WD3,WD,FMO: CXCR4+,fixed FMO,52,261,19.92337164750958
WD3,WD,FMO: OSM+,fixed FMO,0,261,0.0
WD3,WD,FMO: PADI4+,fixed FMO,0,261,0.0
WD3,WD,FMO: MX1+,fixed FMO,12,261,4.597701149425287
WD3,WD,FMO: NAMPT+,fixed FMO,29,261,11.11111111111111
WD3,WD,FMO: CXCR4+ & OSM+,fixed FMO coexpression,0,261,0.0
WD3,WD,FMO: CXCR4+ & PADI4+,fixed FMO coexpression,0,261,0.0
WD3,WD,FMO: CXCR4+ & MX1+,fixed FMO coexpression,5,261,1.9157088122605364
