sample,group,subset,events,immediate_parent_events,percent_immediate_parent
WD6,WD,"Saved: cxcr4+/mx1, padi4+",5,282,1.7730496453900708
WD6,WD,"Saved: cxcr4+/padi4, osm+",2,282,0.7092198581560284
WD6,WD,Saved: cxcr4+/padi4- or osm-,253,282,89.71631205673759
WD6,WD,Saved: cxcr4+/padi4- or osm-/true cxcr+ neutro,246,253,97.23320158102767
WD6,WD,Saved: cxcr4-,578,885,65.31073446327683
WD6,WD,Saved: cxcr4-/cd177 hi,405,578,70.06920415224913
WD6,WD,Saved: mx1+,14,885,1.5819209039548023
WD6,WD,Saved: mx1+/cd177 hi,0,14,0.0
WD6,WD,Saved: osm+,50,885,5.649717514124294
WD6,WD,Saved: osm+/cd177 hi,0,50,0.0
WD6,WD,Saved: padi4+,33,885,3.7288135593220337
WD6,WD,Saved: padi4+/cd177 hi,1,33,3.0303030303030303
