subset,marker,kind,family,n_PBS,n_GCV,PBS_median,GCV_median,PBS_q25,PBS_q75,GCV_q25,GCV_q75,status,p_exact,rank_biserial,median_difference,hodges_lehmann_shift,q_family,family_test_count,q_all_tests
Saved: cd177- all neutrophils/cxcr4- mx1+,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,6.413701254702213,5.357142857142857,3.478356449098685,7.091817592687336,4.0625,5.73625073920757,tested,0.7922077922077922,-0.1333333333333333,-1.056558397559356,-0.7216088924656587,1.0,61.0,1.0
Saved: cd177- all neutrophils/cxcr4- osm+,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,3.756025907706261,2.8976936723832054,1.8458246522889803,5.688801140213557,0.8928571428571429,3.75,tested,0.5367965367965368,-0.2666666666666667,-0.8583322353230556,-0.8583322353230556,0.9355596784168213,61.0,1.0
Saved: cd177- all neutrophils/mx1+ cxcr4+,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,4.128839535034743,9.934949733885276,2.822176398598468,13.056234350016593,6.5625,31.694560669456067,tested,0.24675324675324675,0.46666666666666656,5.806110198850533,4.4892678780090165,0.7922077922077922,61.0,0.8636363636363636
Saved: cd177- all neutrophils/mx1+ osm+,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,2.3562245949783147,9.757539917208753,1.8635464165878,3.162192436450656,5.0,10.714285714285714,tested,0.05194805194805195,0.7333333333333334,7.401315322230438,6.755414180520066,0.7922077922077922,61.0,0.8055555555555556
Saved: cd177- all neutrophils/osm+ padi4+,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,0.987410020361926,8.693081017149616,0.40035067212156633,4.514568927615013,1.875,12.656903765690377,tested,0.24675324675324675,0.46666666666666656,7.70567099678769,6.246513204045466,0.7922077922077922,61.0,0.8636363636363636
Saved: cd177- all neutrophils/padi4+ cxcr4+,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,14.692283189994804,24.528301886792452,12.3171760381991,19.730192624227058,23.11715481171548,28.149024246008278,tested,0.329004329004329,0.3999999999999999,9.836018696797648,9.130445159259164,0.8362193362193362,61.0,0.9339622641509433
Saved: cd177- all neutrophils/padi4+ cxcr4-,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,6.534098491925798,6.682436428149024,2.8458809617658654,15.073366200144863,5.96234309623431,8.59375,tested,1.0,0.0,0.14833793622322577,0.14266135519397238,1.0,61.0,1.0
Saved: cd177- all neutrophils/padi4+ mx1+,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,1.1010860232869901,4.967474866942638,0.844358287701347,1.4461611924008322,1.09375,9.100418410041842,tested,0.329004329004329,0.3999999999999999,3.8663888436556477,3.607719531949402,0.8362193362193362,61.0,0.9339622641509433
Saved: cxcr4+,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,29.13695116431122,57.32217573221757,26.142603772297825,44.58027492326171,46.331236897274636,63.926670609107035,tested,0.24675324675324675,0.46666666666666656,28.185224567906353,17.694278998116115,0.7922077922077922,61.0,0.8636363636363636
Saved: cxcr4+/cd177 hi,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,4.341385292940077,4.316972205795388,1.874459683637468,5.784141827391389,3.5714285714285716,4.375,tested,1.0,0.0,-0.024413087144689705,0.11952290810205424,1.0,61.0,1.0
"Saved: cxcr4+/mx1, osm+",Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,0.8043501182424799,5.499704316972206,0.4873510033697128,2.2471625883265594,3.4375,9.821428571428571,tested,0.017316017316017316,0.8666666666666667,4.695354198729726,4.695354198729726,0.5281385281385281,61.0,0.8055555555555556
"Saved: cxcr4+/mx1, padi4+",Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,1.336133963475115,5.440567711413365,0.9550121081892288,2.1523642032055634,0.78125,6.380753138075314,tested,0.7922077922077922,0.1333333333333333,4.10443374793825,3.4980440294116866,1.0,61.0,1.0
"Saved: cxcr4+/padi4, osm+",Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,0.26136230280474104,5.972797161442934,0.05649717514124294,2.4363887006705767,1.25,6.903765690376569,tested,0.11904761904761904,0.6000000000000001,5.711434858638192,3.288675126697153,0.7922077922077922,61.0,0.8055555555555556
Saved: cxcr4+/padi4- or osm-,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,26.311589465037134,37.526205450733755,22.675568743818,39.036656434894795,33.035714285714285,45.39748953974895,tested,0.329004329004329,0.3999999999999999,11.214615985696621,8.969370403186886,0.8362193362193362,61.0,0.9339622641509433
Saved: cxcr4+/padi4- or osm-/true cxcr+ neutro,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,25.32263742895941,29.464285714285715,20.65469490773901,34.114506873081545,20.625,34.59119496855346,tested,0.9307359307359307,0.06666666666666665,4.141648285326305,1.1846519486423048,1.0,61.0,1.0
Saved: cxcr4-,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,66.77999631175712,33.035714285714285,48.21744739534677,70.51059040212832,30.15966883500887,49.895178197064986,tested,0.24675324675324675,-0.4666666666666667,-33.74428202604283,-18.04720178361666,0.7922077922077922,61.0,0.8636363636363636
Saved: cxcr4-/cd177 hi,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,16.836373495609212,21.17400419287212,10.97665774011751,35.86582079879942,5.08574807806032,25.892857142857142,tested,0.9307359307359307,-0.06666666666666665,4.337630697262906,-3.6201954883780534,1.0,61.0,1.0
Saved: mx1+,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,3.7393271712313974,8.28125,2.7195770383647893,5.778049295562193,6.268480189237137,17.364016736401673,tested,0.329004329004329,0.3999999999999999,4.541922828768603,3.8985498681370547,0.8362193362193362,61.0,0.9339622641509433
Saved: mx1+/cd177 hi,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,0.0,0.0,0.0,0.0,0.0,0.0,tested,1.0,0.0,0.0,0.0,1.0,61.0,1.0
Saved: osm+,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,9.569148811888127,19.75162625665287,6.462807423427048,11.17974477328265,6.71875,46.42857142857143,tested,0.42857142857142855,0.33333333333333326,10.182477444764743,10.182477444764743,0.8402203856749311,61.0,0.9339622641509433
Saved: osm+/cd177 hi,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,0.0,0.0,0.0,0.0,0.0,0.41841004184100417,tested,0.18181818181818182,0.3999999999999999,0.0,0.0,0.7922077922077922,61.0,0.8636363636363636
Saved: padi4+,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,6.686741805041727,7.037256061502069,3.231053964543152,10.678884048123425,6.380753138075314,18.658280922431867,tested,0.329004329004329,0.3999999999999999,0.3505142564603423,3.5019768040956967,0.8362193362193362,61.0,0.9339622641509433
Saved: padi4+/cd177 hi,Frequency (%),saved gate,Abundance and total-neutrophil MFI,6,5,0.05649717514124294,0.10460251046025104,0.0,0.27741802278656835,0.05913660555884092,0.46875,tested,0.4458874458874459,0.30000000000000004,0.048105335319008104,0.07237242155336682,0.8402203856749311,61.0,0.9626168224299066
FMO: CXCR4+,Frequency (%),fixed FMO,Abundance and total-neutrophil MFI,6,5,21.430612377427106,32.142857142857146,16.998647066180066,35.85257351305663,24.581589958158997,32.494758909853246,tested,0.5367965367965368,0.2666666666666666,10.71224476543004,6.464610801763459,0.9355596784168213,61.0,1.0
FMO: OSM+,Frequency (%),fixed FMO,Abundance and total-neutrophil MFI,6,5,0.26136230280474104,0.8928571428571429,0.05649717514124294,0.5725228466930213,0.4192872117400419,1.0644589000591367,tested,0.11904761904761904,0.6000000000000001,0.6314948400524019,0.4192872117400419,0.7922077922077922,61.0,0.8055555555555556
FMO: PADI4+,Frequency (%),fixed FMO,Abundance and total-neutrophil MFI,6,5,0.0,0.0,0.0,0.0,0.0,0.6289308176100629,tested,0.18181818181818182,0.3999999999999999,0.0,0.0,0.7922077922077922,61.0,0.8636363636363636
FMO: MX1+,Frequency (%),fixed FMO,Abundance and total-neutrophil MFI,6,5,3.5678861077075674,6.268480189237137,2.1923812679811414,5.87383473617522,5.0,7.142857142857143,tested,0.24675324675324675,0.46666666666666656,2.70059408152957,2.503542463721004,0.7922077922077922,61.0,0.8636363636363636
FMO: NAMPT+,Frequency (%),fixed FMO,Abundance and total-neutrophil MFI,6,5,14.692611393119007,20.9375,8.6832895888014,23.26288993658588,20.535714285714285,23.68972746331237,tested,0.42857142857142855,0.33333333333333326,6.244888606880993,9.35135112506716,0.8402203856749311,61.0,0.9339622641509433
FMO: CXCR4+ & OSM+,Frequency (%),fixed FMO coexpression,Abundance and total-neutrophil MFI,6,5,0.0,0.8928571428571429,0.0,0.0,0.4192872117400419,0.9461856889414547,tested,0.008658008658008658,0.8666666666666667,0.8928571428571429,0.8928571428571429,0.5281385281385281,61.0,0.8055555555555556
FMO: CXCR4+ & PADI4+,Frequency (%),fixed FMO coexpression,Abundance and total-neutrophil MFI,6,5,0.0,0.0,0.0,0.0,0.0,0.0,tested,0.45454545454545453,0.19999999999999996,0.0,0.0,0.8402203856749311,61.0,0.963302752293578
FMO: CXCR4+ & MX1+,Frequency (%),fixed FMO coexpression,Abundance and total-neutrophil MFI,6,5,1.4654686193282376,4.376108811354229,0.9214628929491331,4.612785470781669,2.1875,4.464285714285714,tested,0.42857142857142855,0.33333333333333326,2.910640192025991,1.2347819292352649,0.8402203856749311,61.0,0.9339622641509433
FMO: CXCR4+ & NAMPT+,Frequency (%),fixed FMO coexpression,Abundance and total-neutrophil MFI,6,5,4.159987266505224,8.59538784067086,2.1933407238850964,6.133904997780322,6.564163217031342,14.285714285714286,tested,0.1774891774891775,0.5333333333333334,4.4354005741656355,4.249992306413517,0.7922077922077922,61.0,0.8636363636363636
FMO: OSM+ & PADI4+,Frequency (%),fixed FMO coexpression,Abundance and total-neutrophil MFI,6,5,0.0,0.0,0.0,0.0,0.0,0.0,tested,1.0,0.0,0.0,0.0,1.0,61.0,1.0
FMO: OSM+ & MX1+,Frequency (%),fixed FMO coexpression,Abundance and total-neutrophil MFI,6,5,0.11299435028248588,0.4192872117400419,0.0,0.5548360455731367,0.15625,1.0644589000591367,tested,0.34415584415584416,0.3666666666666667,0.306292861457556,0.23517791821552858,0.8397402597402597,61.0,0.9339622641509433
FMO: OSM+ & NAMPT+,Frequency (%),fixed FMO coexpression,Abundance and total-neutrophil MFI,6,5,0.05649717514124294,0.8928571428571429,0.0,0.5265874580025152,0.4192872117400419,1.0644589000591367,tested,0.049783549783549784,0.7333333333333334,0.8363599677158999,0.4192872117400419,0.7922077922077922,61.0,0.8055555555555556
FMO: PADI4+ & MX1+,Frequency (%),fixed FMO coexpression,Abundance and total-neutrophil MFI,6,5,0.0,0.0,0.0,0.0,0.0,0.0,tested,1.0,0.0,0.0,0.0,1.0,61.0,1.0
FMO: PADI4+ & NAMPT+,Frequency (%),fixed FMO coexpression,Abundance and total-neutrophil MFI,6,5,0.0,0.0,0.0,0.0,0.0,0.0,tested,1.0,0.0,0.0,0.0,1.0,61.0,1.0
FMO: MX1+ & NAMPT+,Frequency (%),fixed FMO coexpression,Abundance and total-neutrophil MFI,6,5,2.3795718362381617,5.2040212891780016,2.0421304734218015,4.213805170905361,4.84375,5.357142857142857,tested,0.12554112554112554,0.6000000000000001,2.82444945293984,2.7208745923332662,0.7922077922077922,61.0,0.8055555555555556
F4/80 gate overlap,Frequency (%),gate overlap,Abundance and total-neutrophil MFI,6,5,16.330138590447604,22.65625,13.679216822035176,24.186239501081324,14.285714285714286,24.659964518036666,tested,1.0,0.0,6.3261114095523965,0.3131074132974767,1.0,61.0,1.0
Outside F4/80 gate,Frequency (%),gate overlap,Abundance and total-neutrophil MFI,6,5,83.6698614095524,77.34375,75.81376049891867,86.32078317796483,75.34003548196334,85.71428571428571,tested,1.0,0.0,-6.3261114095523965,-0.31310741329748026,1.0,61.0,1.0
All neutrophils,OSM,total,Abundance and total-neutrophil MFI,6,5,-18476.02277156275,-12334.290302296497,-27993.762375079797,-3682.66694057507,-19552.157494699626,3636.069981085558,tested,0.42857142857142855,0.33333333333333326,6141.732469266255,10825.774566837343,0.8402203856749311,61.0,0.9339622641509433
All neutrophils,CXCR4,total,Abundance and total-neutrophil MFI,6,5,139.90714781755966,1644.524883659702,-111.25366862849876,1147.3584778069303,1155.3200930456435,2003.1332318042114,tested,0.24675324675324675,0.46666666666666656,1504.6177358421423,1256.1905804343112,0.7922077922077922,61.0,0.8636363636363636
All neutrophils,MX1,total,Abundance and total-neutrophil MFI,6,5,-3230.8553914460363,-2933.8666513018547,-6263.185484939463,-494.44457776500354,-4155.020332722468,1761.5450239762508,tested,0.6623376623376623,0.19999999999999996,296.9887401441815,2082.353119782485,0.9395952884324977,61.0,1.0
All neutrophils,PADI4,total,Abundance and total-neutrophil MFI,6,5,1163.9446717414176,1443.674674676287,266.2219418008262,1482.7815932353371,1284.909270777372,1665.4708967069844,tested,0.42857142857142855,0.33333333333333326,279.7300029348694,481.845123054204,0.8402203856749311,61.0,0.9339622641509433
All neutrophils,NAMPT,total,Abundance and total-neutrophil MFI,6,5,-137.74964978730068,-16.591832872057783,-229.08850605944994,-39.24383629589448,-182.6759420569304,173.63603734852927,tested,0.6623376623376623,0.19999999999999996,121.1578169152429,156.45464688156153,0.9395952884324977,61.0,1.0
All neutrophils,CD177,total,Abundance and total-neutrophil MFI,6,5,-5795.962622754721,-5029.36204398893,-6095.019794932767,333.3664108238295,-7432.44790691944,-4074.932133719875,tested,0.9307359307359307,-0.06666666666666665,766.6005787657914,-1298.7171276682125,1.0,61.0,1.0
All neutrophils,CD11b,total,Abundance and total-neutrophil MFI,6,5,18442.013770037716,13425.387913816674,12464.45733950888,23289.600883929284,11236.279898057413,20614.450774613673,tested,0.6623376623376623,-0.19999999999999996,-5016.625856221042,-1531.7104146297543,0.9395952884324977,61.0,1.0
All neutrophils,CD45,total,Abundance and total-neutrophil MFI,6,5,14710.221183722131,13339.245900564289,13087.173602133891,15654.547932366519,12080.736473871626,15179.796594707332,tested,0.7922077922077922,-0.1333333333333333,-1370.9752831578426,-934.6767231538988,1.0,61.0,1.0
All neutrophils,Ly6G,total,Abundance and total-neutrophil MFI,6,5,13415.38519272108,19583.95909071907,12248.148383522848,15461.718931125986,15926.585845970494,21903.996661310437,tested,0.1774891774891775,0.5333333333333334,6168.573897997989,5752.923335424655,0.7922077922077922,61.0,0.8636363636363636
All neutrophils,F4/80,total,Abundance and total-neutrophil MFI,6,5,3343.4300674612527,3977.319565170647,2410.9996057038097,3957.5632195905587,3682.335527291208,4573.0836003062805,tested,0.6623376623376623,0.19999999999999996,633.8894977093942,525.9681204555768,0.9395952884324977,61.0,1.0
