cell_ID,PatientID,Diagnosis2,cell_type,a5B1_cell_raw,a5B1_cell_clr,higher_signal_posterior,a5B1_positive,previous_a5B1_high
P01_1511,P01,Control,Fibroblast,6.2348,0.840633697398242,0.010690748903336891,False,False
P01_1513,P01,Control,Fibroblast,3.7423,0.513213714090171,0.0075313323605452785,False,False
P01_152,P01,Control,Fibroblast,7.672,0.895934981377781,0.013768742020287928,False,False
P01_1523,P01,Control,Fibroblast,2.4485,0.38092210766161,0.0072303554331366,False,False
P01_1531,P01,Control,Fibroblast,1.0644,0.166718144560212,0.01014412865725041,False,False
P01_1545,P01,Control,Fibroblast,2.7439,0.45739210179196,0.00717341716699765,False,False
P01_1547,P01,Control,Fibroblast,1.1282,0.168028785781244,0.009805472207440477,False,False
P01_1565,P01,Control,Fibroblast,2.4672,0.371971862259446,0.007223749451481901,False,False
P01_1570,P01,Control,Fibroblast,3.332,0.452512538617803,0.0073002845187325575,False,False
P01_1571,P01,Control,Fibroblast,4.4423,0.631734791754029,0.008135505831690633,False,False
P01_1577,P01,Control,Fibroblast,2.6287,0.539230546773552,0.007184159719834778,False,False
P01_158,P01,Control,Fibroblast,1.6086,0.166794594242408,0.008172230633891874,False,False
P01_1584,P01,Control,Fibroblast,3.8154,0.565794964012285,0.00758272554509235,False,False
P01_1600,P01,Control,Fibroblast,4.312,0.52307429065249,0.008004897518393249,False,False
P01_1602,P01,Control,Fibroblast,1.4312,0.210246122566327,0.008627384413597063,False,False
P01_1603,P01,Control,Fibroblast,5.3187,0.524459418529727,0.009211384179617255,False,False
P01_1604,P01,Control,Fibroblast,9.8557,1.08442818477497,0.020493619494702298,False,True
P01_1606,P01,Control,Fibroblast,3.4276,0.549242633253339,0.007344916446547136,False,False
P01_1607,P01,Control,Fibroblast,2.3058,0.426286307761154,0.007296112446615667,False,False
P01_163,P01,Control,Fibroblast,1.9863,0.274095867247609,0.007560854533663093,False,False
P01_1634,P01,Control,Fibroblast,2.6355,0.391513111618747,0.007183140935419466,False,False
P01_1636,P01,Control,Fibroblast,3.5981,0.545494614315032,0.00743869004644789,False,False
P01_1637,P01,Control,Fibroblast,1.291,0.207557758114907,0.009096883217084054,False,False
P01_164,P01,Control,Fibroblast,3.8754,0.465610188629514,0.007627062170299844,False,False
P01_1646,P01,Control,Fibroblast,3.142,0.434641723025357,0.007229902639770922,False,False
P01_1649,P01,Control,Fibroblast,1.731,0.255015245370426,0.007928748386828915,False,False
P01_1670,P01,Control,Fibroblast,3.0604,0.547383293177427,0.0072076975200177215,False,False
P01_1673,P01,Control,Fibroblast,1.8623,0.246598339090067,0.007718692204267461,False,False
P01_1683,P01,Control,Fibroblast,1.3636,0.256912865100761,0.008839843164069158,False,False
P01_1699,P01,Control,Fibroblast,0.9153,0.198963271282464,0.011111033962889127,False,False
P01_1703,P01,Control,Fibroblast,1.2998,0.239848015141218,0.009064001238677708,False,False
P01_1707,P01,Control,Fibroblast,2.1577,0.422136005098852,0.007396370817059624,False,False
P01_1716,P01,Control,Fibroblast,1.3176,0.29654344303677,0.008998987367013739,False,False
P01_1721,P01,Control,Fibroblast,3.474,0.49470114763351,0.007368677536660606,False,False
P01_1722,P01,Control,Fibroblast,1.21,0.17137920227681,0.009424219118600452,False,False
P01_1725,P01,Control,Fibroblast,3.3736,0.602463517780755,0.007318978412975987,False,False
P01_1745,P01,Control,Fibroblast,3.7472,0.46840496366064,0.007534685856695607,False,False
P01_1772,P01,Control,Fibroblast,2.0225,0.342546665744736,0.007521276452232817,False,False
P01_1773,P01,Control,Fibroblast,2.3518,0.385822954631487,0.007271833899245561,False,False
P01_179,P01,Control,Fibroblast,3.1454,0.474664443688564,0.007230936383856812,False,False
P01_1791,P01,Control,Fibroblast,1.4568,0.331780913158378,0.008553042743757762,False,False
P01_1807,P01,Control,Fibroblast,2.0631,0.377596182587409,0.007480090642863884,False,False
P01_1810,P01,Control,Fibroblast,4.4775,0.664280448826477,0.008172138933028827,False,False
P01_1814,P01,Control,Fibroblast,3.8142,0.711462264896349,0.0075818584528319416,False,False
P01_1824,P01,Control,Fibroblast,5.9667,0.761169123737697,0.010220291401592979,False,False
P01_1834,P01,Control,Fibroblast,3.1254,0.472763159209469,0.0072249785329317065,False,False
P01_1840,P01,Control,Fibroblast,1.5169,0.298105922523266,0.008390582053635964,False,False
P01_1841,P01,Control,Fibroblast,0.7872,0.166320304169934,0.012198926682108166,False,False
P01_1845,P01,Control,Fibroblast,2.1622,0.430278354744147,0.007392791894983282,False,False
P01_1852,P01,Control,Fibroblast,0.8312,0.234327963292842,0.011793045685880856,False,False
P01_1866,P01,Control,Fibroblast,0.7763,0.147724787787795,0.012305334006128005,False,False
P01_1868,P01,Control,Fibroblast,13.6987,1.56680718590928,0.04037903905835267,False,True
P01_1870,P01,Control,Fibroblast,1.5289,0.311928104653601,0.008360060842945443,False,False
P01_1875,P01,Control,Fibroblast,5.114,0.669834242110143,0.00893010952318803,False,False
P01_1878,P01,Control,Fibroblast,2.8462,0.415813529571068,0.00717483620042147,False,False
P01_1881,P01,Control,Fibroblast,2.9045,0.523501080875279,0.007179930505339771,False,False
P01_1882,P01,Control,Fibroblast,1.5362,0.347945110822048,0.008341792168101369,False,False
P01_1898,P01,Control,Fibroblast,6.4222,0.682848631383553,0.01103833794707866,False,False
P01_1907,P01,Control,Fibroblast,9.3212,1.27062670230998,0.01859154645895983,False,True
P01_1925,P01,Control,Fibroblast,2.9306,0.570347866167096,0.007183173004879089,False,False
P01_1926,P01,Control,Fibroblast,9.5169,1.27118251326585,0.019267278637976643,False,True
P01_1927,P01,Control,Fibroblast,2.404,0.422634006429725,0.007247887628142314,False,False
P01_1934,P01,Control,Fibroblast,3.7094,0.491810588793021,0.0075091607996069076,False,False
P01_1948,P01,Control,Fibroblast,5.8387,0.831774804489817,0.01000669360284185,False,False
P01_1949,P01,Control,Fibroblast,2.8021,0.481053638955027,0.0071730186199888525,False,False
P01_1950,P01,Control,Fibroblast,1.1256,0.246207823881252,0.00981852361083231,False,False
P01_1968,P01,Control,Fibroblast,8.1361,1.14473327247008,0.014976678992633724,False,True
P01_1974,P01,Control,Fibroblast,2.8996,0.382216070741304,0.0071793872217345775,False,False
P01_1993,P01,Control,Fibroblast,1.4579,0.270553702829882,0.008549919545286475,False,False
P01_1999,P01,Control,Fibroblast,2.8792,0.439869487310334,0.007177350605424895,False,False
P01_2016,P01,Control,Fibroblast,3.5382,0.510413125348103,0.007403741915887911,False,False
P01_2018,P01,Control,Fibroblast,2.1898,0.523330708898209,0.007371603656029316,False,False
P01_2044,P01,Control,Fibroblast,4.7597,0.627254721012839,0.008486113272265316,False,False
P01_2053,P01,Control,Fibroblast,5.9429,0.829168385873615,0.010180039257328823,False,False
P01_2107,P01,Control,Fibroblast,0.6716,0.171855855180916,0.013464482828475234,False,False
P01_2115,P01,Control,Fibroblast,2.096,0.391304376626226,0.007449088864876551,False,False
P01_2120,P01,Control,Fibroblast,1.9976,0.39074209091684,0.007548202966284139,False,False
P01_2121,P01,Control,Fibroblast,3.6744,0.607505991050696,0.0074862389152934175,False,False
P01_2127,P01,Control,Fibroblast,6.8533,1.10369639643438,0.011897691859812933,False,True
P01_2139,P01,Control,Fibroblast,1.95,0.348714085406284,0.0076033784056289576,False,False
P01_2140,P01,Control,Fibroblast,0.9335,0.178966717909173,0.010977768807925715,False,False
P01_2142,P01,Control,Fibroblast,1.3626,0.298480743412314,0.008843172059185597,False,False
P01_215,P01,Control,Fibroblast,1.7487,0.229703749736006,0.007897558010802106,False,False
P01_2154,P01,Control,Fibroblast,4.3285,0.871949027799531,0.008020997637688475,False,False
P01_2183,P01,Control,Fibroblast,4.1116,0.815728848663913,0.00781974202646335,False,False
P01_2187,P01,Control,Fibroblast,1.3773,0.255396534212786,0.008794801278748914,False,False
P01_2224,P01,Control,Fibroblast,4.4396,0.759652090333912,0.008132719444190308,False,False
P01_2229,P01,Control,Fibroblast,1.9704,0.534912952632418,0.007579123214559639,False,False
P01_2252,P01,Control,Fibroblast,2.0558,0.522804407092795,0.0074872534694366034,False,False
P01_2271,P01,Control,Fibroblast,1.6089,0.309878493183569,0.008171570092760242,False,False
P01_228,P01,Control,Fibroblast,1.875,0.302769853151119,0.007700835940975477,False,False
P01_2286,P01,Control,Fibroblast,0.9968,0.255753726404229,0.01054897683278292,False,False
P01_2289,P01,Control,Fibroblast,0.9724,0.236147695704985,0.010708159650565693,False,False
P01_2294,P01,Control,Fibroblast,6.0082,0.816288735084897,0.010291066427520442,False,False
P01_2312,P01,Control,Fibroblast,2.1441,0.317252102748766,0.007407402754751592,False,False
P01_2317,P01,Control,Fibroblast,0.8723,0.171699806759074,0.011445447926898987,False,False
P01_2319,P01,Control,Fibroblast,3.4409,0.479093483577194,0.007351589540557135,False,False
P01_2320,P01,Control,Fibroblast,2.4659,0.496264473514324,0.007224194410325089,False,False
P01_2330,P01,Control,Fibroblast,5.1164,0.646566909669184,0.008933302901596888,False,False
P01_2332,P01,Control,Fibroblast,5.8228,1.06566036869722,0.009980654763019403,False,True
P01_2337,P01,Control,Fibroblast,4.7926,0.702959325951799,0.008525030658602826,False,False
P01_2338,P01,Control,Fibroblast,3.3955,0.485726803317825,0.007329272486861918,False,False
P01_234,P01,Control,Fibroblast,3.4625,0.499228616103928,0.0073626633332356025,False,False
P01_2341,P01,Control,Fibroblast,8.5768,1.29925116693935,0.016228774971742715,False,True
P01_2344,P01,Control,Fibroblast,3.5997,0.619600813963448,0.00743965256382884,False,False
P01_2346,P01,Control,Fibroblast,2.0159,0.404076332345974,0.007528287673356268,False,False
P01_2354,P01,Control,Fibroblast,3.7415,0.582010170981607,0.007530786110144762,False,False
P01_2364,P01,Control,Fibroblast,3.917,0.581583303592576,0.007658919898900723,False,False
