fib_state	gene	pct_detected	mean_logexpr	n_cells
"LP fibroblast"	"CXCL5"	0.888265544647031	0.0188975660380672	2139
"LP fibroblast"	"CXCL6"	7.90088826554465	0.195420775367932	2139
"LP fibroblast"	"CXCL8"	3.50631136044881	0.0930330142115968	2139
"LP fibroblast"	"CSF3"	0.794763908368396	0.019618471769785	2139
"LP fibroblast"	"IL6"	2.1505376344086	0.0560598850727208	2139
"LP fibroblast"	"OSMR"	17.0172978027115	0.391403533637046	2139
"LP fibroblast"	"ICAM1"	11.9682094436653	0.324680923637489	2139
"LP fibroblast"	"VCAM1"	28.0504908835905	0.747525943062373	2139
"Pericyte"	"FAP"	0	0	1
"Pericyte"	"ITGA5"	0	0	1
"Pericyte"	"ITGB1"	0	0	1
"Pericyte"	"FN1"	0	0	1
"Pericyte"	"PDGFRA"	0	0	1
"Pericyte"	"PDPN"	0	0	1
"Pericyte"	"CXCL1"	0	0	1
"Pericyte"	"CXCL2"	0	0	1
"Pericyte"	"CXCL5"	0	0	1
"Pericyte"	"CXCL6"	0	0	1
"Pericyte"	"CXCL8"	0	0	1
"Pericyte"	"CSF3"	0	0	1
"Pericyte"	"IL6"	0	0	1
"Pericyte"	"OSMR"	0	0	1
"Pericyte"	"ICAM1"	0	0	1
"Pericyte"	"VCAM1"	0	0	1
"Resting crypt-top fibroblast"	"FAP"	0.463678516228748	0.00683431561680688	647
"Resting crypt-top fibroblast"	"ITGA5"	8.50077279752705	0.228849502862282	647
"Resting crypt-top fibroblast"	"ITGB1"	44.0494590417311	1.38414466168726	647
"Resting crypt-top fibroblast"	"FN1"	11.5919629057187	0.340617846311645	647
"Resting crypt-top fibroblast"	"PDGFRA"	63.8330757341577	2.16189104423884	647
"Resting crypt-top fibroblast"	"PDPN"	20.8655332302937	0.584139877441745	647
"Resting crypt-top fibroblast"	"CXCL1"	2.93663060278207	0.080194852889891	647
"Resting crypt-top fibroblast"	"CXCL2"	0.772797527047914	0.0209236772503453	647
"Resting crypt-top fibroblast"	"CXCL5"	0	0	647
"Resting crypt-top fibroblast"	"CXCL6"	0.309119010819165	0.00681435595319566	647
"Resting crypt-top fibroblast"	"CXCL8"	2.31839258114374	0.0739841520027471	647
"Resting crypt-top fibroblast"	"CSF3"	0	0	647
"Resting crypt-top fibroblast"	"IL6"	0	0	647
"Resting crypt-top fibroblast"	"OSMR"	6.64605873261206	0.174438415894734	647
"Resting crypt-top fibroblast"	"ICAM1"	4.94590417310665	0.137454365076682	647
"Resting crypt-top fibroblast"	"VCAM1"	2.16383307573416	0.0599788234199248	647
"SMC-1"	"FAP"	1.0752688172043	0.0344588553360712	186
"SMC-1"	"ITGA5"	6.45161290322581	0.211653096846705	186
"SMC-1"	"ITGB1"	39.247311827957	1.30192279297883	186
"SMC-1"	"FN1"	29.0322580645161	0.967183429937696	186
"SMC-1"	"PDGFRA"	9.67741935483871	0.295085130225034	186
"SMC-1"	"PDPN"	6.45161290322581	0.189079344089116	186
"SMC-1"	"CXCL1"	3.76344086021505	0.126265525610866	186
"SMC-1"	"CXCL2"	0	0	186
"SMC-1"	"CXCL5"	1.0752688172043	0.0372724923842537	186
"SMC-1"	"CXCL6"	0.537634408602151	0.0127327939507618	186
"SMC-1"	"CXCL8"	1.0752688172043	0.045600850279468	186
"SMC-1"	"CSF3"	0	0	186
"SMC-1"	"IL6"	0	0	186
"SMC-1"	"OSMR"	4.83870967741936	0.14847501177554	186
"SMC-1"	"ICAM1"	2.1505376344086	0.0668046165320625	186
"SMC-1"	"VCAM1"	9.13978494623656	0.257463411381699	186
"SMC-2"	"FAP"	1.61725067385445	0.0254132509840398	371
"SMC-2"	"ITGA5"	18.8679245283019	0.447347108231782	371
"SMC-2"	"ITGB1"	65.4986522911051	2.07463405248711	371
"SMC-2"	"FN1"	55.256064690027	1.76275834226313	371
"SMC-2"	"PDGFRA"	12.3989218328841	0.286053244281944	371
"SMC-2"	"PDPN"	21.5633423180593	0.507993367736079	371
"SMC-2"	"CXCL1"	4.5822102425876	0.0992877518680933	371
"SMC-2"	"CXCL2"	0.539083557951483	0.0126776508900614	371
"SMC-2"	"CXCL5"	0	0	371
"SMC-2"	"CXCL6"	0.808625336927224	0.015630549931379	371
"SMC-2"	"CXCL8"	2.42587601078167	0.0640078764617552	371
"SMC-2"	"CSF3"	0	0	371
"SMC-2"	"IL6"	0	0	371
"SMC-2"	"OSMR"	10.7816711590297	0.219768706565176	371
"SMC-2"	"ICAM1"	2.69541778975741	0.0576301633257464	371
"SMC-2"	"VCAM1"	9.1644204851752	0.192621515809602	371
