p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.24427535877826e-12,0.782065272590596,0.066,0.51,4.64139594331467e-08,1,RPL28
1.99157041963673e-12,0.587216498746465,0.022,0.382,7.42895597932895e-08,1,KRT10
2.46622433277977e-12,0.273248547331705,0.088,0.549,9.19951000613508e-08,1,HNRNPA1
7.41362555344099e-12,0.32031191303396,0.037,0.412,2.76543060394456e-07,1,ETS1
1.14803372830267e-11,0.255831155008856,0.051,0.441,4.28239541331462e-07,1,NDUFA4
1.46516238256596e-11,1.17779783262461,0.029,0.382,5.46534871944753e-07,1,PLEKHA7
3.49151644697458e-11,0.829591496715324,0.029,0.373,1.30240546505046e-06,1,TUBB4B
3.84641916537582e-11,0.467648253957352,0.029,0.373,1.43479127706849e-06,1,CITED2
7.01562194667701e-11,0.428968230699351,0.103,0.549,2.61696729854946e-06,1,RPLP2
1.15051844912862e-10,0.488545204696841,0.088,0.51,4.29166391893958e-06,1,RPL23A
1.92909046510655e-10,0.241779529456607,0.059,0.431,7.19589325294045e-06,1,EIF3E
3.1619924149285e-10,0.274058228357429,0.037,0.363,1.17948641061663e-05,1,DCAF10
3.20319409352444e-10,0.389245320149027,0.007,0.284,1.19485546076649e-05,1,ZNF770
3.31203876604054e-10,0.374675878873495,0.081,0.471,1.23545670050844e-05,1,RPS19
3.55812434634388e-10,0.812766391442452,0.074,0.461,1.32725154367319e-05,1,RPL22
4.04081548823069e-10,0.367028213174484,0.015,0.304,1.50730499341981e-05,1,NDUFS5
4.23825475250969e-10,0.284071125340638,0.066,0.431,1.58095378778117e-05,1,UGCG
4.69794123373557e-10,1.64185529664034,0.022,0.324,1.75242603900804e-05,1,EIF3M
5.142179181615e-10,0.387442752170535,0.029,0.343,1.91813567832603e-05,1,MRPL51
5.39666231446315e-10,2.01611562197602,0.015,0.294,2.01306297654104e-05,1,SSRP1
6.07991277913466e-10,0.762445013048209,0.074,0.451,2.26792906487281e-05,1,UQCRB
6.39257807074868e-10,0.270508464617817,0.044,0.373,2.38455947195067e-05,1,EPS15
