"Subcluster","Condition","Freq"
"1","CF",3
"2","CF",39
"3","CF",1
"4","CF",4
"1","UA5",39
"2","UA5",0
"3","UA5",10
"4","UA5",18
"1","UD",41
"2","UD",0
"3","UD",11
"4","UD",5
"1","UF",27
"2","UF",0
"3","UF",7
"4","UF",0
"1","UN",26
"2","UN",0
"3","UN",5
"4","UN",2
