DonorID,ConditionCode,state,N,total_cells,proportion,sample_id,clr,cells,all_neutrophils,fraction_all
Donor2,NNAMPT,OSM neutrophil,162,215,0.753488372093023,Donor2||NNAMPT,2.08799491768506,215,537,0.301675977653631
Donor2,NNAMPT,CXCR4 neutrophil,44,215,0.204651162790698,Donor2||NNAMPT,0.792806105087458,215,537,0.0819366852886406
Donor2,NNAMPT,MX1/ISG neutrophil,3,215,0.013953488372093,Donor2||NNAMPT,-1.74992011558937,215,537,0.00558659217877095
Donor2,UA5,PADI4 neutrophil,58,944,0.0614406779661017,Donor2||UA5,-0.978929966827368,944,5195,0.0111645813282002
Donor2,UA5,OSM neutrophil,406,944,0.430084745762712,Donor2||UA5,0.959627207922686,944,5195,0.0781520692974014
Donor2,UA5,CXCR4 neutrophil,422,944,0.447033898305085,Donor2||UA5,0.998232725732049,944,5195,0.0812319538017325
Donor2,UA5,MX1/ISG neutrophil,58,944,0.0614406779661017,Donor2||UA5,-0.978929966827368,944,5195,0.0111645813282002
Donor2,UD,PADI4 neutrophil,52,946,0.0549682875264271,Donor2||UD,-1.0036490460718,946,5139,0.0101187001362133
Donor2,UD,OSM neutrophil,395,946,0.417547568710359,Donor2||UD,1.01568857153834,946,5139,0.0768632029577739
Donor2,UD,CXCR4 neutrophil,455,946,0.480972515856237,Donor2||UD,1.15693350103064,946,5139,0.0885386261918661
Donor2,UD,MX1/ISG neutrophil,44,946,0.0465116279069768,Donor2||UD,-1.16897302649718,946,5139,0.00856197703833431
Donor2,UF,PADI4 neutrophil,23,720,0.0319444444444444,Donor2||UF,-1.42578843484303,720,3019,0.00761841669426963
Donor2,UF,OSM neutrophil,314,720,0.436111111111111,Donor2||UF,1.16819522014736,720,3019,0.104007949652203
Donor2,UF,CXCR4 neutrophil,348,720,0.483333333333333,Donor2||UF,1.27084937420744,720,3019,0.115269956939384
Donor2,UF,MX1/ISG neutrophil,35,720,0.0486111111111111,Donor2||UF,-1.01325615951177,720,3019,0.0115932427956277
Donor2,UN,PADI4 neutrophil,15,461,0.0325379609544469,Donor2||UN,-1.46819543162516,461,1863,0.00805152979066022
Donor2,UN,OSM neutrophil,198,461,0.429501084598699,Donor2||UN,1.08175364457688,461,1863,0.106280193236715
Donor2,UN,CXCR4 neutrophil,218,461,0.472885032537961,Donor2||UN,1.17775055898528,461,1863,0.117015566290929
Donor2,UN,MX1/ISG neutrophil,30,461,0.0650759219088937,Donor2||UN,-0.791308771936998,461,1863,0.0161030595813205
Donor3,CF,PADI4 neutrophil,60,3355,0.0178837555886736,Donor3||CF,-1.96834143094841,3355,4923,0.012187690432663
Donor3,CF,OSM neutrophil,1596,3355,0.475707898658718,Donor3||CF,1.30458421616963,3355,4923,0.324192565508836
Donor3,CF,CXCR4 neutrophil,1448,3355,0.431594634873323,Donor3||CF,1.2072990212242,3355,4923,0.294129595774934
Donor3,CF,MX1/ISG neutrophil,251,3355,0.0748137108792847,Donor3||CF,-0.543541806445414,3355,4923,0.0509851716433069
Donor3,N,PADI4 neutrophil,10,102,0.0980392156862745,Donor3||N,-0.432915558535983,102,201,0.0497512437810945
Donor3,N,OSM neutrophil,57,102,0.558823529411765,Donor3||N,1.26749413210384,102,201,0.283582089552239
Donor3,N,CXCR4 neutrophil,32,102,0.313725490196078,Donor3||N,0.696949273636232,102,201,0.159203980099502
Donor3,N,MX1/ISG neutrophil,3,102,0.0294117647058824,Donor3||N,-1.53152784720409,102,201,0.0149253731343284
Donor3,NA5,PADI4 neutrophil,57,3913,0.0145668285203169,Donor3||NA5,-2.09813342018045,3913,6663,0.00855470508779829
Donor3,NA5,OSM neutrophil,1521,3913,0.388704318936877,Donor3||NA5,1.17753360135327,3913,6663,0.228275551553354
Donor3,NA5,CXCR4 neutrophil,2069,3913,0.528750319447994,Donor3||NA5,1.48514394320503,3913,6663,0.310520786432538
Donor3,NA5,MX1/ISG neutrophil,266,3913,0.0679785330948122,Donor3||NA5,-0.564544124377855,3913,6663,0.039921957076392
Donor3,NNAMPT,PADI4 neutrophil,3,42,0.0714285714285714,Donor3||NNAMPT,-0.82956483251504,42,59,0.0508474576271187
Donor3,NNAMPT,OSM neutrophil,20,42,0.476190476190476,Donor3||NNAMPT,0.938097085133954,42,59,0.338983050847458
Donor3,NNAMPT,CXCR4 neutrophil,16,42,0.380952380952381,Donor3||NNAMPT,0.721032579896126,42,59,0.271186440677966
Donor3,NNAMPT,MX1/ISG neutrophil,3,42,0.0714285714285714,Donor3||NNAMPT,-0.82956483251504,42,59,0.0508474576271187
Donor3,UA5,PADI4 neutrophil,66,2053,0.0321480759863614,Donor3||UA5,-1.52707585353051,2053,4000,0.0165
Donor3,UA5,OSM neutrophil,1134,2053,0.552362396492937,Donor3||UA5,1.30966950302758,2053,4000,0.2835
Donor3,UA5,CXCR4 neutrophil,683,2053,0.332683877252801,Donor3||UA5,0.802948854971684,2053,4000,0.17075
Donor3,UA5,MX1/ISG neutrophil,170,2053,0.0828056502679006,Donor3||UA5,-0.585542504468749,2053,4000,0.0425
Donor3,UD,PADI4 neutrophil,52,1516,0.0343007915567282,Donor3||UD,-1.53207538258341,1516,3339,0.0155735250074873
Donor3,UD,OSM neutrophil,754,1516,0.497361477572559,Donor3||UD,1.13316672602692,1516,3339,0.225816112608565
Donor3,UD,CXCR4 neutrophil,551,1516,0.363456464379947,Donor3||UD,0.819753286512573,1516,3339,0.165019466906259
Donor3,UD,MX1/ISG neutrophil,159,1516,0.104881266490765,Donor3||UD,-0.420844629956085,1516,3339,0.0476190476190476
Donor3,UF,PADI4 neutrophil,46,2349,0.0195828011919966,Donor3||UF,-1.87774249613067,2349,3890,0.0118251928020566
