gene,logFC,logCPM,F,PValue,FDR,population,contrast,n_donors,tested_genes
A2ML1,2.2677830267595,2.24709099611011,3.48031491226535,0.0630152799633364,0.228370960712139,Resolved,alpha_interaction,4,16812
A2ML1-AS1,1.5664906537492,4.64754920480169,6.29545009541983,0.0126040319364862,0.0749309828137826,Resolved,alpha_interaction,4,16812
A3GALT2,1.7824102149759,3.17579177372002,3.78173840317023,0.0526892780031216,0.205239143139129,Resolved,alpha_interaction,4,16812
AAAS,1.46413360193194,1.12171360804114,0.560443687766934,0.454635703671173,0.668005546163474,Resolved,alpha_interaction,4,16812
AACS,0.270708209800888,3.08927295505428,0.107041439459334,0.743752744900606,0.860266332801444,Resolved,alpha_interaction,4,16812
AACSP1,2.35562426465733,1.72597808817412,2.46604588686252,0.117327260988092,0.334015918149068,Resolved,alpha_interaction,4,16812
AADACL2-AS1,-1.82664004432192,8.58930526544657,42.1301407214234,3.31069917980967e-10,2.76912809009752e-08,Resolved,alpha_interaction,4,16812
AAGAB,-1.11572238545682,3.6478690026506,1.58789132508596,0.208547678587264,0.455972491851808,Resolved,alpha_interaction,4,16812
AAK1,-0.108516617376179,5.62345123011552,0.0619903890752025,0.803539008935193,0.897270228523301,Resolved,alpha_interaction,4,16812
AAMDC,0.571523132070351,3.00516953782323,0.373216766784869,0.541689566672405,0.730629410813738,Resolved,alpha_interaction,4,16812
AAMP,0.0789223642885682,3.7441949416585,0.0115864210795434,0.914348752878539,0.959079541150205,Resolved,alpha_interaction,4,16812
AANAT,1.57926658910567,1.03963134709078,0.622905256495087,0.430556599420287,0.650682924458294,Resolved,alpha_interaction,4,16812
AARD,1.07235848936421,0.949667307233307,0.305919601878724,0.58058257611168,0.756647617797641,Resolved,alpha_interaction,4,16812
AARS1,-0.559388917431779,3.10330028188191,0.249152124117991,0.618016327459006,0.781712284108656,Resolved,alpha_interaction,4,16812
AASDH,-0.331435988694769,1.47036166582956,0.0390795164063802,0.843417521618305,0.919804460529618,Resolved,alpha_interaction,4,16812
AASDHPPT,-5.77882820245279,1.78258794699823,2.05405867359019,0.152792626343565,0.387326543137517,Resolved,alpha_interaction,4,16812
AASS,1.13964128496049,1.20855463124992,0.365937647054415,0.545660476388932,0.733656744165924,Resolved,alpha_interaction,4,16812
AATF,-0.273854993673586,5.63630274343038,0.382006248326452,0.536976337668349,0.726958938665012,Resolved,alpha_interaction,4,16812
AATK,-1.44789679560675,6.87834638340016,13.707943125329,0.000251878238817452,0.00342326350121181,Resolved,alpha_interaction,4,16812
ABAT,0.0110216066442123,4.95315519053488,0.000478387007774845,0.982563764708163,0.992004684859094,Resolved,alpha_interaction,4,16812
ABCA1,-1.43257186049582,6.72996583290777,14.031439100775,0.000213628683714052,0.0029805190295441,Resolved,alpha_interaction,4,16812
ABCA10,1.58296739225984,1.78125262505906,1.7969762936684,0.18103762100234,0.424018456992386,Resolved,alpha_interaction,4,16812
ABCA12,0.902709360388794,1.98865707635084,0.249877209503367,0.617506983161908,0.781550552705113,Resolved,alpha_interaction,4,16812
ABCA13,-1.33127405160389,4.92735812973227,4.2845727738587,0.0392665624313628,0.168706733349366,Resolved,alpha_interaction,4,16812
ABCA2,0.87003347042307,2.76273839811081,0.826441332589325,0.363984951109848,0.598381043057653,Resolved,alpha_interaction,4,16812
ABCA3,1.29917545807944,2.00191252248793,1.27862531326918,0.259000617182214,0.50835050691873,Resolved,alpha_interaction,4,16812
ABCA4,0.847546725784312,1.52239238601132,0.216361898103339,0.642143765076731,0.797261722064102,Resolved,alpha_interaction,4,16812
ABCA5,1.12984441180983,2.97785466687535,2.10699338182823,0.147611097813561,0.380543271197243,Resolved,alpha_interaction,4,16812
ABCA7,0.847835594527343,4.83143145513575,2.60968210488699,0.10720905061294,0.316592950317445,Resolved,alpha_interaction,4,16812
ABCA8,1.44268303396306,1.41775889253443,0.573612282081849,0.449388957407423,0.664888423121852,Resolved,alpha_interaction,4,16812
ABCA9,-5.54968208529832,1.60157917485598,1.66733636677099,0.19756375052673,0.443154339406989,Resolved,alpha_interaction,4,16812
ABCA9-AS1,1.62861659771776,0.871645271146063,0.65798239558969,0.417877837811507,0.640729985035889,Resolved,alpha_interaction,4,16812
ABCB1,1.25828658388942,3.0335482539471,1.98743731961559,0.159581604255238,0.396497835239544,Resolved,alpha_interaction,4,16812
ABCB10,-5.12869435020373,1.79462222197714,1.31059138782527,0.253156967631009,0.502666226504372,Resolved,alpha_interaction,4,16812
ABCB11,1.1001343508514,1.32232657824037,0.347324262596095,0.556054238982953,0.740700726232581,Resolved,alpha_interaction,4,16812
ABCB5,3.11588774216594,1.97372850756964,7.35886912258968,0.00703343509027197,0.0484629796316665,Resolved,alpha_interaction,4,16812
ABCB7,1.1965335735956,2.70314624704382,1.18768543403405,0.276617796007688,0.524886951070119,Resolved,alpha_interaction,4,16812
ABCB9,-1.2387146235533,3.82253728962634,1.44209702823889,0.230693154239223,0.480639298024899,Resolved,alpha_interaction,4,16812
ABCC1,-1.49469516385465,6.34103539723874,10.6810023000516,0.0012011915698091,0.012092474653671,Resolved,alpha_interaction,4,16812
ABCC10,-5.53549594980175,1.69991494666801,1.66031008626749,0.198505847182985,0.444137787048222,Resolved,alpha_interaction,4,16812
ABCC11,-0.0397798838668193,1.12325035776028,0.000634422342666603,0.979921118945138,0.990821934564687,Resolved,alpha_interaction,4,16812
ABCC2,0.867603740540539,2.21478936410363,0.777191276010233,0.378662554147415,0.609895943662813,Resolved,alpha_interaction,4,16812
ABCC3,-0.0625072321789225,2.99058085336233,0.00167197643283262,0.967409410525267,0.985720097211668,Resolved,alpha_interaction,4,16812
ABCC4,1.0881438393748,3.24780116968345,1.55458957655493,0.213373503447304,0.461440100328797,Resolved,alpha_interaction,4,16812
ABCC5,-0.251759899298033,5.44712883924468,0.324018814082744,0.569606729395891,0.749252228857747,Resolved,alpha_interaction,4,16812
ABCC6,1.22932668267504,2.5268087199211,1.86451495862438,0.173061866553638,0.413412815814462,Resolved,alpha_interaction,4,16812
ABCC9,1.34853051734465,2.26945285740565,0.994242042144536,0.319460743256872,0.56100654168803,Resolved,alpha_interaction,4,16812
ABCD1,-4.39549782347465,1.37216947064522,0.774679298847006,0.379448806742339,0.610421457154367,Resolved,alpha_interaction,4,16812
ABCD2,0.864267692978762,1.24483475809132,0.218480581230107,0.640519663629855,0.796171575830759,Resolved,alpha_interaction,4,16812
ABCD3,-1.61604207028245,2.60159240489864,1.37704082071232,0.241486110549226,0.491033441044217,Resolved,alpha_interaction,4,16812
ABCD4,0.90782728241122,1.63621090313396,0.453215933241734,0.501295499690643,0.701569846478026,Resolved,alpha_interaction,4,16812
ABCE1,-4.63445711609869,1.23601227422338,0.878676818452897,0.349282720175481,0.586334607248146,Resolved,alpha_interaction,4,16812
ABCF1,-1.01346551984879,7.37806433875364,10.9357591845084,0.00105214720459041,0.0108386634825821,Resolved,alpha_interaction,4,16812
ABCF3,2.91954414683507,2.19609691502525,8.05344083995072,0.00483006529486695,0.0366439791233318,Resolved,alpha_interaction,4,16812
ABCG1,-1.29525106182523,5.78742662464057,6.81454922014611,0.00947067882146864,0.0604254468108276,Resolved,alpha_interaction,4,16812
ABCG2,0.130618092101928,1.91472073785193,0.00590438030395649,0.938799056836296,0.972433328031756,Resolved,alpha_interaction,4,16812
ABCG5,3.21824778226316,1.35157573580001,5.47985681057882,0.019853410996959,0.104109652426973,Resolved,alpha_interaction,4,16812
ABHD1,2.75837182736903,1.0836920266975,1.65300677576144,0.199487185207579,0.445263627307897,Resolved,alpha_interaction,4,16812
ABHD11,-0.271153573981083,1.52075240563097,0.0249488057580333,0.874594543713736,0.938572926651048,Resolved,alpha_interaction,4,16812
ABHD12,0.795124923462354,2.83637114777169,0.695672236466814,0.404860399732449,0.631068292302522,Resolved,alpha_interaction,4,16812
ABHD12B,5.52629520102421,0.75486756287194,11.1815854658403,0.000925225273161842,0.00977679905241791,Resolved,alpha_interaction,4,16812
ABHD13,0.293113401166161,4.13024162408215,0.257135932040481,0.612447224770891,0.777972251065222,Resolved,alpha_interaction,4,16812
ABHD14A-ACY1,-1.97654322740604,0.534021141748665,0.116486296180271,0.733105588302784,0.853707221067147,Resolved,alpha_interaction,4,16812
ABHD14B,-4.26161030197003,0.927758682544482,0.651416276362452,0.420217029907577,0.64262759477853,Resolved,alpha_interaction,4,16812
ABHD15-AS1,0.229467664091935,2.67976739893278,0.0500019287766957,0.82320259571355,0.90763916835888,Resolved,alpha_interaction,4,16812
ABHD17A,0.79437340723714,3.3607357176583,1.04115269203364,0.308328347802639,0.552544150007669,Resolved,alpha_interaction,4,16812
ABHD17B,-1.52576050915472,4.07981258539542,3.19241202454729,0.0749314410999153,0.253317391468284,Resolved,alpha_interaction,4,16812
ABHD17C,-3.80895208265646,1.07187728250074,0.49157738524692,0.48374807841432,0.690470959905847,Resolved,alpha_interaction,4,16812
ABHD18,0.269668315934543,4.10401169620261,0.151462303521538,0.6974015434015,0.831118365113331,Resolved,alpha_interaction,4,16812
ABHD2,-0.879975003547494,6.91869510762856,7.56290696760812,0.00630202485755064,0.0448399689828605,Resolved,alpha_interaction,4,16812
ABHD3,0.509603878492857,5.35359385170973,1.37294327659724,0.242189339202165,0.49157155265807,Resolved,alpha_interaction,4,16812
ABHD4,-0.708203497059445,4.45344213220417,1.47432952443317,0.225567159570797,0.475098357141598,Resolved,alpha_interaction,4,16812
ABHD5,-0.668801760879424,7.69174400953315,5.85860390946858,0.0160656188507598,0.0893763018262654,Resolved,alpha_interaction,4,16812
ABHD6,-0.176203588094092,1.90823544944135,0.0117739982582993,0.913661156893285,0.958950641134344,Resolved,alpha_interaction,4,16812
ABHD8,-1.1545636250665,3.23553584496027,1.185551612236,0.277051665362783,0.525354455005539,Resolved,alpha_interaction,4,16812
ABI1,-0.657639753801882,7.01108708393604,4.14455149812672,0.0426040356679268,0.178262580300942,Resolved,alpha_interaction,4,16812
ABI2,1.72319161851425,3.32462992430787,6.04605847584222,0.0144683279435485,0.0828063891601696,Resolved,alpha_interaction,4,16812
ABI3,-0.285421986191467,1.90278682475158,0.031556886109268,0.859116587452885,0.929634008458429,Resolved,alpha_interaction,4,16812
ABI3BP,0.972797039427208,2.35938074843554,0.550323691535388,0.458728993570616,0.671673213717923,Resolved,alpha_interaction,4,16812
ABITRAM,-1.17387555773827,2.54512198195051,0.662850870636623,0.416163359099361,0.63922874926074,Resolved,alpha_interaction,4,16812
ABL1,0.107134994585286,3.57218424478358,0.0151604311775657,0.902083409359777,0.952866692520519,Resolved,alpha_interaction,4,16812
ABL2,-0.814234524550226,4.43625392912297,1.27507352301153,0.259667106314414,0.508861567940077,Resolved,alpha_interaction,4,16812
ABLIM1,0.819181267326864,3.56619046073356,1.23931161513135,0.266440359403784,0.514686807689925,Resolved,alpha_interaction,4,16812
ABLIM2,2.48379627156621,1.72004334473429,4.70484040619702,0.030809700343029,0.142849608981523,Resolved,alpha_interaction,4,16812
ABR,-0.227912535868923,5.8623880269722,0.284745239641224,0.593982901653135,0.766153179575917,Resolved,alpha_interaction,4,16812
ABRACL,-0.32815288031437,4.70933598583835,0.402065820646957,0.526481583556314,0.719025863748883,Resolved,alpha_interaction,4,16812
ABRAXAS1,-1.25810520544459,2.5919296442549,0.77840005421829,0.378298347761171,0.609774863141018,Resolved,alpha_interaction,4,16812
ABRAXAS2,-6.15740092567594,2.23354310810255,2.62908547604037,0.105922501715471,0.314470056590384,Resolved,alpha_interaction,4,16812
ABT1,-7.70739910383793,3.17250732020078,7.50899217697168,0.00649196670309213,0.0458273755188508,Resolved,alpha_interaction,4,16812
ABTB1,-1.02512712116155,6.4451492738299,8.57181561899312,0.00366230738206565,0.0294737729570549,Resolved,alpha_interaction,4,16812
ABTB2,0.270855925406035,4.4105062369696,0.181402866346818,0.670458791163369,0.814845167139345,Resolved,alpha_interaction,4,16812
ABTB3,0.347639415428671,3.62071555131878,0.147451296851184,0.701239146002991,0.833809500148687,Resolved,alpha_interaction,4,16812
ACAA1,-0.744693438363204,4.29809200903956,1.21071162223809,0.272023176430196,0.520279140175705,Resolved,alpha_interaction,4,16812
ACACA,1.8628074726241,3.42941240106475,6.14380083000189,0.0137053039479916,0.0794803621847655,Resolved,alpha_interaction,4,16812
ACACB,0.295110066009853,2.86568038813649,0.0575900860809857,0.810500095360505,0.900609839316737,Resolved,alpha_interaction,4,16812
ACAD10,-1.68094193710922,2.72519771606238,1.53762319536404,0.215887480071023,0.463478523171247,Resolved,alpha_interaction,4,16812
ACAD8,-0.31238811763186,2.5215050999051,0.14413126989103,0.704460349532163,0.836515566911621,Resolved,alpha_interaction,4,16812
ACAD9,-8.15218893249302,3.59714158082405,10.0024228648003,0.00171667322067159,0.0161866013381552,Resolved,alpha_interaction,4,16812
ACAD9-DT,-7.05951556623948,2.72599330783763,4.97268902906926,0.0264564916218199,0.127674874860339,Resolved,alpha_interaction,4,16812
ACADM,1.61732316186735,2.18959981490784,2.9620531490631,0.0862022187645488,0.277577418477226,Resolved,alpha_interaction,4,16812
ACADS,2.18172874718147,1.49025973015461,1.12320844956506,0.290032597324261,0.536464992359901,Resolved,alpha_interaction,4,16812
ACADSB,1.00143996614809,1.73746955462436,0.547822860692177,0.459754329976887,0.672264576980188,Resolved,alpha_interaction,4,16812
ACADVL,0.144313520601379,4.79453408262807,0.0759685098010627,0.783017133087252,0.885448170901052,Resolved,alpha_interaction,4,16812
ACAP1,-0.230074898312931,5.26862338544417,0.222563638750469,0.637418434447316,0.794066879501749,Resolved,alpha_interaction,4,16812
ACAP2,-0.753839831244962,9.0892543292124,10.9163049801936,0.00106286553038052,0.010928987949087,Resolved,alpha_interaction,4,16812
ACAP3,-4.49781180952309,1.61326135640373,0.84904572121396,0.357526503653296,0.59328995308194,Resolved,alpha_interaction,4,16812
ACAT1,0.199316283120518,2.44806844354193,0.0368358371559357,0.847921324069875,0.922749641164734,Resolved,alpha_interaction,4,16812
ACAT2,-3.65932923906292,6.46894068083005,47.1644334154938,3.43187998848811e-11,3.87226619909142e-09,Resolved,alpha_interaction,4,16812
ACBD3,-0.609555848777717,5.16851915664536,1.54688902975494,0.21451619843704,0.462699676578632,Resolved,alpha_interaction,4,16812
ACBD5,-1.02586500488166,3.91696210787617,1.7100756569591,0.191918211515239,0.436210454236226,Resolved,alpha_interaction,4,16812
ACBD6,-0.226131236409457,3.4492034105324,0.0825440273295825,0.774066104422641,0.880427531801193,Resolved,alpha_interaction,4,16812
ACD,0.627800141408779,1.5572408776092,0.125906684912859,0.722950848827187,0.847222199252939,Resolved,alpha_interaction,4,16812
ACE2,-4.10775809534598,1.46180143835491,0.641725093447103,0.423691666966091,0.645501069781053,Resolved,alpha_interaction,4,16812
ACER1,2.95945797958512,1.081071697853,4.61653900789483,0.0324195421161057,0.148242983349964,Resolved,alpha_interaction,4,16812
ACER2,-5.53691186887482,1.82021107629245,1.71696971811197,0.191038218468989,0.435430386239242,Resolved,alpha_interaction,4,16812
ACER3,-1.88395473644618,5.64585811788788,12.4296390836151,0.000484743152086504,0.00585452720752752,Resolved,alpha_interaction,4,16812
ACIN1,0.0814100184869734,6.59874490329151,0.0618060672740263,0.803825618490329,0.897415472753546,Resolved,alpha_interaction,4,16812
ACKR3,-3.82806985747898,1.67264436628433,0.535849546233772,0.464702852373554,0.675653753706148,Resolved,alpha_interaction,4,16812
ACKR4,-5.48663597566619,1.81298143188313,1.65999387131676,0.198556959758175,0.444137787048222,Resolved,alpha_interaction,4,16812
ACLY,-0.552921834607604,4.09579352344746,0.722479834434265,0.395971373213925,0.624432110165323,Resolved,alpha_interaction,4,16812
ACMSD,-2.17010882560137,1.12179537859564,0.157381838171592,0.691848743052623,0.827762798966872,Resolved,alpha_interaction,4,16812
ACO1,-5.44332482786125,1.44134137126283,1.59744274453039,0.207198696374971,0.455287245739773,Resolved,alpha_interaction,4,16812
ACO2,0.68353512534606,4.56071065182773,1.41037383967765,0.235885152676035,0.485959514668406,Resolved,alpha_interaction,4,16812
ACOT11,-4.55336686006649,1.64722419967199,0.867064251013309,0.35248248880968,0.589476207756976,Resolved,alpha_interaction,4,16812
ACOT12,4.60587169322124,1.45435126119575,15.2783927286749,0.000113422993551504,0.00177053608875385,Resolved,alpha_interaction,4,16812
ACOT13,-1.08061700035768,4.68962276157453,3.19340259377436,0.074888695137457,0.25322380182038,Resolved,alpha_interaction,4,16812
ACOT7,3.03065760176147,1.96835034658733,7.08309281239707,0.00817497294566686,0.0540880146251677,Resolved,alpha_interaction,4,16812
ACOT8,1.55529404064966,1.30717492491665,1.52771397364995,0.217361237635921,0.465690980901632,Resolved,alpha_interaction,4,16812
ACOT9,-1.19680226559886,5.98693581901028,7.58419662728296,0.0062284919991872,0.0444642919279555,Resolved,alpha_interaction,4,16812
ACOX1,-0.36193236312399,6.24321325484354,1.02737811745208,0.311552046356638,0.554877544872016,Resolved,alpha_interaction,4,16812
ACOX3,-2.33598398281605,4.43296699092806,6.59421914160863,0.0106877642906048,0.0664261342897036,Resolved,alpha_interaction,4,16812
ACOXL,-1.08686709284596,4.13087632312912,1.96692302902127,0.161747792214225,0.398656731944677,Resolved,alpha_interaction,4,16812
ACP1,-5.87075851825332,1.40249425101619,2.05425274648169,0.152775361272569,0.387326543137517,Resolved,alpha_interaction,4,16812
ACP3,2.13352978049071,2.25935755824102,7.00290171268998,0.00854080374252845,0.055778285404669,Resolved,alpha_interaction,4,16812
ACP5,-6.72617598303093,1.28356525611386,3.25865248787962,0.0720072675854409,0.24794289962034,Resolved,alpha_interaction,4,16812
ACP6,-1.16146388206764,4.72911595356411,3.50091281290261,0.0622519225774145,0.226459049721232,Resolved,alpha_interaction,4,16812
ACRBP,0.430454526421707,2.48393031554715,0.160361728695107,0.689090487782494,0.826390535124837,Resolved,alpha_interaction,4,16812
ACSBG1,-0.380745324619258,1.2756611152173,0.053327498584338,0.817519253309124,0.904670920340693,Resolved,alpha_interaction,4,16812
ACSBG2,0.56993929337845,2.43713444271722,0.292493520123604,0.589002757127242,0.762890165856948,Resolved,alpha_interaction,4,16812
ACSF2,0.510597898125794,2.24557075462388,0.230599905883493,0.63140625221848,0.790762955326064,Resolved,alpha_interaction,4,16812
ACSF3,-0.363382689699268,4.34104994397871,0.411498619664454,0.521673294553223,0.715746700843239,Resolved,alpha_interaction,4,16812
ACSL1,-0.601969670621659,8.04056840459077,3.94080177604933,0.0479940966526688,0.192848172305131,Resolved,alpha_interaction,4,16812
ACSL3,-0.0637159488661796,4.7451942009561,0.0128921245731586,0.90967142494584,0.956853907038069,Resolved,alpha_interaction,4,16812
ACSL4,-0.772908335828775,6.29878971208848,3.98795626751947,0.0466848279950934,0.189380050460645,Resolved,alpha_interaction,4,16812
ACSL5,-1.74671261183214,6.94664796673821,18.973279310033,1.7941841752068e-05,0.000370562952746642,Resolved,alpha_interaction,4,16812
ACSM2A,-3.96664099982214,1.60992774389187,0.585653027562949,0.444679236799502,0.661939731633897,Resolved,alpha_interaction,4,16812
ACSM3,-0.437938808611519,4.4221905658297,0.462084507197049,0.49714572590935,0.699298355420682,Resolved,alpha_interaction,4,16812
ACSM6,2.11012263080613,0.98801740284986,1.01420718671307,0.314661706780403,0.557246128592716,Resolved,alpha_interaction,4,16812
ACSS2,0.752641977369982,3.53918692335711,1.07447069575497,0.300724560649971,0.546570952826737,Resolved,alpha_interaction,4,16812
ACSS3,-0.0331111615646768,2.83685958410624,0.00142632436349806,0.969897290356229,0.98693211522705,Resolved,alpha_interaction,4,16812
ACTA2,0.00905694660212306,2.04545299760945,2.08594912690396e-05,0.996358769883786,0.998735013074541,Resolved,alpha_interaction,4,16812
ACTB,-1.51013188951417,11.7725872326244,50.2830172764799,8.7812395267426e-12,1.28374086020519e-09,Resolved,alpha_interaction,4,16812
ACTG1,-1.4063010139913,9.33507937343978,34.9044035649476,8.96847096177971e-09,4.9761694326548e-07,Resolved,alpha_interaction,4,16812
ACTL6A,-5.22035461668566,1.21822297501101,1.32761150374002,0.250103415180881,0.499587401390088,Resolved,alpha_interaction,4,16812
ACTN1,-0.661557949552098,8.09190707145572,6.8257218363178,0.00941561911533788,0.0600969584537056,Resolved,alpha_interaction,4,16812
ACTN1-DT,-4.86797277997318,1.99557724589178,1.11859755384506,0.291032839292642,0.537440344583909,Resolved,alpha_interaction,4,16812
ACTN2,0.171068702853574,1.56255007285916,0.0104823472320145,0.918516988700747,0.961321253408427,Resolved,alpha_interaction,4,16812
ACTN4,-0.076014987911397,6.87559753867242,0.0547610631342491,0.815128394117635,0.903060201773027,Resolved,alpha_interaction,4,16812
ACTR10,-0.0818526351118104,4.3653612983186,0.0252059431774004,0.873956283167405,0.938339266201491,Resolved,alpha_interaction,4,16812
ACTR1A,-0.510698648785231,5.07378292995099,1.03513599755138,0.30973252249811,0.553455553810611,Resolved,alpha_interaction,4,16812
ACTR1B,-1.77904077164032,3.03224433635681,1.7638711631677,0.185097814906671,0.428937035279153,Resolved,alpha_interaction,4,16812
ACTR2,-1.66070977874782,9.06457356747206,46.3740090142569,4.94563317425905e-11,5.29592260672886e-09,Resolved,alpha_interaction,4,16812
ACTR3,-0.804006710136701,9.46392257655597,12.5097851844104,0.00046557377273857,0.00566779599368634,Resolved,alpha_interaction,4,16812
ACTR3-AS1,-1.39364187905531,4.80010824633352,3.51313574623707,0.0618010738039027,0.225428434105275,Resolved,alpha_interaction,4,16812
ACTR3B,0.598327053554844,2.75911955924221,0.404254079935732,0.525354172827147,0.718595261050362,Resolved,alpha_interaction,4,16812
ACTR3C,1.6276265100109,2.19267620389106,1.34950525329769,0.246226854975897,0.495756393515543,Resolved,alpha_interaction,4,16812
ACTR6,0.812707958644145,2.12828112053961,0.366840205092933,0.545160454943739,0.733395020285999,Resolved,alpha_interaction,4,16812
ACTR8,-6.36063926937656,2.64071173654568,3.11845594137114,0.0783814736401106,0.260682360996546,Resolved,alpha_interaction,4,16812
ACVR1,0.912958665632824,2.67891693603303,1.10875370453932,0.293146420642598,0.539677962493632,Resolved,alpha_interaction,4,16812
ACVR1B,-1.29256691226938,4.90352581935351,4.61692947383165,0.0324133801329911,0.148242983349964,Resolved,alpha_interaction,4,16812
ACVR1C,-4.82348867390592,2.04839500215653,1.0872580136112,0.297879431059071,0.544245553917028,Resolved,alpha_interaction,4,16812
ACVR2A,0.648361426089077,2.90071515187085,0.258558031083692,0.611462911594701,0.777485589905469,Resolved,alpha_interaction,4,16812
ACVR2B,0.958716157583597,1.15041507442102,0.262015971269716,0.609093442870701,0.77599322933006,Resolved,alpha_interaction,4,16812
ACYP2,1.02337915017981,5.90259185873513,7.45638160664502,0.0066765861302449,0.0466722519840654,Resolved,alpha_interaction,4,16812
ADA,0.333533093852203,2.53185841776549,0.0973669994748574,0.755215640107415,0.868049069959533,Resolved,alpha_interaction,4,16812
ADA2,1.92173104852942,3.68635793280208,5.94015078187236,0.0153468244346049,0.0864647494619896,Resolved,alpha_interaction,4,16812
ADAD1,-4.85161887701991,1.15758761445669,1.03037985173116,0.310852281790767,0.554060615054404,Resolved,alpha_interaction,4,16812
ADAL,0.717964458303243,1.82067494700154,0.290519508562568,0.590261926190534,0.763756138160183,Resolved,alpha_interaction,4,16812
ADAM10,-0.800994771200082,7.27189740795455,7.13574748137899,0.00794838301040813,0.0530691879154017,Resolved,alpha_interaction,4,16812
ADAM12,2.42962051291167,3.41669537775232,8.57251202774696,0.00365835350484692,0.0294560532200606,Resolved,alpha_interaction,4,16812
ADAM17,-0.629147060128993,8.4495984429148,5.94967565997979,0.0152709283159876,0.086143181682959,Resolved,alpha_interaction,4,16812
ADAM18,0.794438371137044,1.358184169094,0.327471836871674,0.5675536043841,0.748310814595364,Resolved,alpha_interaction,4,16812
ADAM19,-1.21259179926519,4.1131124338903,2.19437229326605,0.143787139530483,0.374318580022681,Resolved,alpha_interaction,4,16812
ADAM22,1.16956228295649,3.33246970225043,1.50281279245376,0.221140872963022,0.470060526135982,Resolved,alpha_interaction,4,16812
ADAM23,0.925282771870166,2.28238794933213,0.710466793303474,0.399919984967009,0.627036014308496,Resolved,alpha_interaction,4,16812
ADAM28,-1.6321417841201,3.4112641360454,2.64962287014696,0.104563352539285,0.311427330192983,Resolved,alpha_interaction,4,16812
ADAM32,1.14214864070503,2.85645541825482,1.09176988825182,0.296863810865895,0.542958484364385,Resolved,alpha_interaction,4,16812
ADAM7-AS1,1.74838460067883,4.97996817059686,9.26387351065773,0.0025329779000374,0.0218381663873994,Resolved,alpha_interaction,4,16812
ADAM8,-1.05647434966695,8.24604495296686,16.0876114266752,7.55690612096295e-05,0.00124677826992767,Resolved,alpha_interaction,4,16812
ADAM9,0.180746646425208,5.37906674443174,0.160177339465471,0.689263924803797,0.826390535124837,Resolved,alpha_interaction,4,16812
ADAMDEC1,2.54134181868366,0.76825927034858,2.19509081242394,0.139434501048271,0.367598060470996,Resolved,alpha_interaction,4,16812
ADAMTS10,0.27285015440209,1.63269225077856,0.0248071726884855,0.874948186434114,0.938652856252334,Resolved,alpha_interaction,4,16812
ADAMTS12,1.30085141276153,1.76320865544379,0.887372542602732,0.346901446099992,0.584555188115972,Resolved,alpha_interaction,4,16812
ADAMTS16,2.24163794769891,1.34305190349382,2.19641362945222,0.139323430586651,0.36736284740006,Resolved,alpha_interaction,4,16812
ADAMTS17,0.60253745450637,3.09261586277297,0.340216325853662,0.560114893427023,0.743208467422587,Resolved,alpha_interaction,4,16812
ADAMTS18,-5.12934955647183,1.7112067397246,1.32916697926307,0.249829926915285,0.499422203483921,Resolved,alpha_interaction,4,16812
ADAMTS19,1.6015601876245,1.92170123725321,1.88038163001376,0.171250513256284,0.41135356891908,Resolved,alpha_interaction,4,16812
ADAMTS2,-0.719458549693059,2.6728635338642,0.228962673140616,0.632622921742702,0.791579083085614,Resolved,alpha_interaction,4,16812
ADAMTS20,0.492846243962334,1.78593252020401,0.0785408671162861,0.779467156114286,0.883581810302297,Resolved,alpha_interaction,4,16812
ADAMTS3,2.58438058207726,2.09184795885227,6.58059807848319,0.0107643089300049,0.066835968153982,Resolved,alpha_interaction,4,16812
ADAMTS4,1.66581436143879,1.78380887679031,0.735929475087292,0.391610893835663,0.621047340006465,Resolved,alpha_interaction,4,16812
ADAMTS5,-0.271821939715467,1.51217170853592,0.0271862633271617,0.869140864687214,0.935627845973583,Resolved,alpha_interaction,4,16812
ADAMTS6,0.404341017401997,2.60156969051891,0.152298036999556,0.696608642009513,0.830499080690236,Resolved,alpha_interaction,4,16812
ADAMTS7,4.6551828399879,0.881234493984475,6.25447197257389,0.0128850531843991,0.0761592230232569,Resolved,alpha_interaction,4,16812
ADAMTS8,2.93642149855315,3.01424464096563,9.97049072975381,0.00174206331438766,0.0163435091749361,Resolved,alpha_interaction,4,16812
ADAMTS9,3.15635682544681,2.25588393773503,9.18513915982956,0.00263745935836251,0.0225871526686658,Resolved,alpha_interaction,4,16812
ADAMTS9-AS2,2.03028153481119,4.41626576899373,11.0025564143991,0.0010157535037155,0.0105217793619624,Resolved,alpha_interaction,4,16812
ADAMTSL1,0.865014579086008,4.74406170962071,1.98715493642241,0.159617972216347,0.396497835239544,Resolved,alpha_interaction,4,16812
ADAMTSL3,-0.896303015342913,2.48697904773162,0.352259767139383,0.553258376536044,0.738722792140646,Resolved,alpha_interaction,4,16812
ADAMTSL4-AS2,-0.189780588035284,4.1391049892438,0.061794896619372,0.803841280287631,0.897415472753546,Resolved,alpha_interaction,4,16812
ADAP1,-6.50317413290745,2.45444034991034,3.41299045867617,0.0656217903373235,0.234182453651259,Resolved,alpha_interaction,4,16812
ADAP2,-4.98537842730135,1.53786692836862,1.18630988322529,0.276913919333703,0.525248294318235,Resolved,alpha_interaction,4,16812
