gene,logFC,logCPM,F,PValue,FDR,population,contrast,n_donors,tested_genes
IFI35,1.00025177734015,1.12670436161069,0.275978298555306,0.599712929600193,0.769823148235355,Resolved,alpha_interaction,4,16812
IFI44L,-4.6494505775793,1.43969852590023,0.929706015432941,0.335678695845465,0.575097343784159,Resolved,alpha_interaction,4,16812
IFI6,-6.98396015227157,1.81259377716442,4.28395275916262,0.0392919246856272,0.168729460489084,Resolved,alpha_interaction,4,16812
IFIH1,-0.649748802174203,6.92603304746109,4.20432704069411,0.0411471197887552,0.174379979301374,Resolved,alpha_interaction,4,16812
IFIT2,-0.714831334990895,5.02942944828051,2.13421197635706,0.146033684654252,0.377778045164977,Resolved,alpha_interaction,4,16812
IFIT3,-0.113568135931233,4.80765704730064,0.0461312265017108,0.830075784599944,0.912226048548454,Resolved,alpha_interaction,4,16812
IFITM1,0.631840605101321,1.79742229138406,0.231816406051047,0.630508676914449,0.790066930864336,Resolved,alpha_interaction,4,16812
IFITM10,-3.77912610650629,5.42989238000521,24.301587697417,1.33070483087392e-06,3.85056964142037e-05,Resolved,alpha_interaction,4,16812
IFITM2,-1.06240086172093,11.8295663841153,25.5727013084736,7.23960259020708e-07,2.27309209161364e-05,Resolved,alpha_interaction,4,16812
IFITM3,-0.110206104830098,7.70629970777799,0.173172799135384,0.677590300385441,0.818563412771878,Resolved,alpha_interaction,4,16812
IFNAR1,-1.18067046687828,7.43514038089564,14.9165526734553,0.000136375370274582,0.00205996650948452,Resolved,alpha_interaction,4,16812
IFNAR2,-2.07925330026669,4.87389483365356,8.86198700152548,0.00313501274603593,0.0259124062371466,Resolved,alpha_interaction,4,16812
IFNG-AS1,1.62533847035769,2.98308433624829,3.16018517895926,0.0764024314088752,0.256300661936079,Resolved,alpha_interaction,4,16812
IFNGR1,-1.63566495298665,8.58688561523197,38.2231504042493,1.95085625407918e-09,1.29207325455216e-07,Resolved,alpha_interaction,4,16812
IFNGR2,-1.00823241460188,8.69296980830085,15.5323546842572,9.9924972760497e-05,0.00158335404528697,Resolved,alpha_interaction,4,16812
IFRD1,-0.623223748149176,7.15240020130559,4.31883449364761,0.0385011059981032,0.16665308806388,Resolved,alpha_interaction,4,16812
IFT122,-0.698194888693226,2.34310437136325,0.371163468583189,0.542802396731863,0.731334660510986,Resolved,alpha_interaction,4,16812
IFT140,-0.0472383713293856,1.78676130826992,0.00083766626075243,0.976928601409928,0.98982243397238,Resolved,alpha_interaction,4,16812
IFT172,-1.51772245813913,3.7345962579099,2.20247813199953,0.138778719697001,0.366616567496225,Resolved,alpha_interaction,4,16812
IFT20,-0.939935793974781,3.35565664247964,1.06792539642348,0.302196575374186,0.547647819897685,Resolved,alpha_interaction,4,16812
