state,original_effect,original_q,n,effect,se,low,high,p,p_signflip,same_sign,contrast,min_cells,q,q_signflip
CXCR4 neutrophil,-0.908202401393953,0.0325833510821509,6,-0.908202401393953,0.402464026175629,-1.94276911657808,0.126364313790177,0.0736644106954418,0.09375,5,alpha_interaction,0,0.131319853655551,0.15625
MX1/ISG neutrophil,-0.83434218215413,0.0284617001369347,6,-0.83434218215413,0.46285873522463,-2.02415843938816,0.355474075079901,0.131319853655551,0.15625,5,alpha_interaction,0,0.131319853655551,0.15625
OSM neutrophil,0.44596141884567,0.138021745762207,6,0.44596141884567,0.235638560051073,-0.159766783397116,1.05168962108846,0.116974146857662,0.125,4,alpha_interaction,0,0.131319853655551,0.15625
PADI4 neutrophil,1.29658316470241,0.0239134927657044,6,1.29658316470241,0.374038795710538,0.335085830625616,2.2580804987792,0.0179177735720188,0.03125,6,alpha_interaction,0,0.0716710942880751,0.125
