program,population,version,DonorID,delta,contrast,min_cells
Degranulation,Resolved; >=100 genes,full_gene,Donor5,-0.228178911586079,alpha_interaction,0
Degranulation,Resolved; >=100 genes,full_gene,Donor6,0.081798358151339,alpha_interaction,0
Degranulation,Resolved; >=100 genes,identity_markers_removed,Donor1,-0.0393810316724442,alpha_interaction,0
Degranulation,Resolved; >=100 genes,identity_markers_removed,Donor2,-0.0658749725593002,alpha_interaction,0
Degranulation,Resolved; >=100 genes,identity_markers_removed,Donor3,0.208852451041784,alpha_interaction,0
Degranulation,Resolved; >=100 genes,identity_markers_removed,Donor4,0.0796806708543277,alpha_interaction,0
Degranulation,Resolved; >=100 genes,identity_markers_removed,Donor5,-0.228178911586079,alpha_interaction,0
Degranulation,Resolved; >=100 genes,identity_markers_removed,Donor6,0.081798358151339,alpha_interaction,0
Oxidative_burst,All annotated,full_gene,Donor1,-0.0443934372941887,alpha_interaction,0
Oxidative_burst,All annotated,full_gene,Donor2,-0.0620123326451819,alpha_interaction,0
Oxidative_burst,All annotated,full_gene,Donor3,-0.206672021403066,alpha_interaction,0
Oxidative_burst,All annotated,full_gene,Donor4,-0.258315322731163,alpha_interaction,0
Oxidative_burst,All annotated,full_gene,Donor5,0.135559390103195,alpha_interaction,0
Oxidative_burst,All annotated,full_gene,Donor6,-0.39384497537906,alpha_interaction,0
Oxidative_burst,All annotated,identity_markers_removed,Donor1,-0.0443934372941887,alpha_interaction,0
Oxidative_burst,All annotated,identity_markers_removed,Donor2,-0.0620123326451819,alpha_interaction,0
Oxidative_burst,All annotated,identity_markers_removed,Donor3,-0.206672021403066,alpha_interaction,0
Oxidative_burst,All annotated,identity_markers_removed,Donor4,-0.258315322731163,alpha_interaction,0
Oxidative_burst,All annotated,identity_markers_removed,Donor5,0.135559390103195,alpha_interaction,0
Oxidative_burst,All annotated,identity_markers_removed,Donor6,-0.39384497537906,alpha_interaction,0
Oxidative_burst,Resolved,full_gene,Donor1,-0.4252471450448,alpha_interaction,0
Oxidative_burst,Resolved,full_gene,Donor2,-0.349241021775003,alpha_interaction,0
Oxidative_burst,Resolved,full_gene,Donor3,-0.171142516068351,alpha_interaction,0
Oxidative_burst,Resolved,full_gene,Donor4,-0.220331642433913,alpha_interaction,0
Oxidative_burst,Resolved,full_gene,Donor5,-0.466453559515862,alpha_interaction,0
Oxidative_burst,Resolved,full_gene,Donor6,-1.42377167979053,alpha_interaction,0
Oxidative_burst,Resolved,identity_markers_removed,Donor1,-0.4252471450448,alpha_interaction,0
Oxidative_burst,Resolved,identity_markers_removed,Donor2,-0.349241021775003,alpha_interaction,0
Oxidative_burst,Resolved,identity_markers_removed,Donor3,-0.171142516068351,alpha_interaction,0
Oxidative_burst,Resolved,identity_markers_removed,Donor4,-0.220331642433913,alpha_interaction,0
Oxidative_burst,Resolved,identity_markers_removed,Donor5,-0.466453559515862,alpha_interaction,0
Oxidative_burst,Resolved,identity_markers_removed,Donor6,-1.42377167979053,alpha_interaction,0
Oxidative_burst,Resolved; >=100 genes,full_gene,Donor1,-0.38584356768938,alpha_interaction,0
Oxidative_burst,Resolved; >=100 genes,full_gene,Donor2,-0.351934057430596,alpha_interaction,0
Oxidative_burst,Resolved; >=100 genes,full_gene,Donor3,-0.163061809527527,alpha_interaction,0
Oxidative_burst,Resolved; >=100 genes,full_gene,Donor4,-0.141786379368185,alpha_interaction,0
Oxidative_burst,Resolved; >=100 genes,full_gene,Donor5,-0.549225948452639,alpha_interaction,0
Oxidative_burst,Resolved; >=100 genes,full_gene,Donor6,-1.41398714679604,alpha_interaction,0
Oxidative_burst,Resolved; >=100 genes,identity_markers_removed,Donor1,-0.38584356768938,alpha_interaction,0
Oxidative_burst,Resolved; >=100 genes,identity_markers_removed,Donor2,-0.351934057430596,alpha_interaction,0
Oxidative_burst,Resolved; >=100 genes,identity_markers_removed,Donor3,-0.163061809527527,alpha_interaction,0
Oxidative_burst,Resolved; >=100 genes,identity_markers_removed,Donor4,-0.141786379368185,alpha_interaction,0
