barcode,DonorID,ConditionCode,neutrophil_cluster_annotation,neutrophil_state_annotation,lineage_eligible
A_13881,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_28390,Donor1,N,CCL3/CCL4 inflammatory neutrophil,PADI4 neutrophil,TRUE
A_32877,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_46587,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_69322,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_99404,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_108709,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_120905,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_125741,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_125913,Donor6,N,LTF/BPI immature neutrophil,PADI4 neutrophil,TRUE
A_150240,Donor5,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_152928,Donor6,N,LTF/BPI immature neutrophil,PADI4 neutrophil,TRUE
A_159116,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_160903,Donor3,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_180243,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_182998,Donor5,NNAMPT,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_188245,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_206614,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_211278,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_226174,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_245149,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_275667,Donor1,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_395785,Donor6,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_398132,Donor2,NNAMPT,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_417739,Donor6,N,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
A_428205,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_434415,Donor1,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_454984,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_465797,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_488458,Donor2,NNAMPT,Low-signal neutrophil,CXCR4 neutrophil,TRUE
A_520334,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_521467,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_528274,Donor6,N,LTF/BPI immature neutrophil,Low-signal/unresolved neutrophil,TRUE
A_540692,Donor1,NNAMPT,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_551203,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_564317,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_653769,Donor4,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_660562,Donor5,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_668548,Donor2,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_679733,Donor5,NNAMPT,LTF/BPI immature neutrophil,Low-signal/unresolved neutrophil,TRUE
A_679794,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_692476,Donor5,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_698076,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_719108,Donor1,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_727826,Donor5,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_750803,Donor2,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_751179,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_799354,Donor6,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_868781,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_869795,Donor6,N,Low-signal neutrophil,CXCR4 neutrophil,TRUE
A_872505,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_878530,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_887554,Donor5,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_887749,Donor2,NNAMPT,LTF/BPI immature neutrophil,CXCR4 neutrophil,TRUE
A_893788,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_903976,Donor6,N,LTF/BPI immature neutrophil,PADI4 neutrophil,TRUE
A_915472,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_924986,Donor4,N,RORA+ atypical neutrophil,CXCR4 neutrophil,TRUE
A_933366,Donor5,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_933878,Donor3,N,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
A_943737,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_951645,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_958205,Donor4,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_966970,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_978364,Donor5,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_983723,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_1003579,Donor1,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1007489,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_1024125,Donor6,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_1024454,Donor4,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1058105,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_1077407,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1078851,Donor2,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1082091,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1082524,Donor1,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1094347,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1107265,Donor3,N,DHFR+ proliferative/stress neutrophil,CXCR4 neutrophil,TRUE
A_1185816,Donor1,NNAMPT,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1187654,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1218532,Donor3,N,Low-signal neutrophil,CXCR4 neutrophil,TRUE
A_1228139,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1234486,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1237872,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1265495,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1265652,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1265683,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1312625,Donor2,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_1320078,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1321324,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1344639,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1357067,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1361357,Donor3,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1371586,Donor4,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_1376993,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1379030,Donor1,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_1397975,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_1401101,Donor6,N,LTF/BPI immature neutrophil,PADI4 neutrophil,TRUE
A_1401462,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1422618,Donor1,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1422784,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1423083,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1436464,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1463150,Donor6,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_1507617,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1531931,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1556426,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1599482,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1599648,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1609570,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_1650860,Donor6,N,LTF/BPI immature neutrophil,PADI4 neutrophil,TRUE
A_1659908,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1675524,Donor6,N,IL1R2+ inflammatory neutrophil,PADI4 neutrophil,TRUE
A_1723347,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1776490,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1777439,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1779231,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1783318,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1783963,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1810796,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_1825437,Donor4,NNAMPT,RORA+ atypical neutrophil,CXCR4 neutrophil,TRUE
A_1833078,Donor6,N,CCL3/CCL4 inflammatory neutrophil,OSM neutrophil,TRUE
A_1842224,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1842545,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_1843110,Donor1,NNAMPT,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_1858541,Donor3,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1892532,Donor5,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1924362,Donor4,NNAMPT,RORA+ atypical neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1933513,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2002994,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2004230,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_2018244,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2026424,Donor4,NNAMPT,IL1R2+ inflammatory neutrophil,CXCR4 neutrophil,TRUE
A_2028087,Donor4,N,DHFR+ proliferative/stress neutrophil,CXCR4 neutrophil,TRUE
A_2032161,Donor2,NNAMPT,RORA+ atypical neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2037764,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_2037808,Donor4,N,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2062239,Donor3,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2070746,Donor4,N,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2076748,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_2077278,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2077695,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_2085138,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2089429,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2089495,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_2102533,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2103248,Donor2,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2116004,Donor4,NNAMPT,LTF/BPI immature neutrophil,PADI4 neutrophil,TRUE
A_2124267,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2179993,Donor1,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2201112,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_2203874,Donor6,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_2215297,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2216198,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2236634,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2238232,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2247399,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2251620,Donor3,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2254087,Donor2,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2256612,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2265866,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2266865,Donor4,N,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
A_2271457,Donor3,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_2279845,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2284980,Donor4,NNAMPT,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2285005,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_2294437,Donor1,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_2325794,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_2340201,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2342300,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_2362036,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2365838,Donor4,N,Low-signal neutrophil,CXCR4 neutrophil,TRUE
A_2370780,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2371139,Donor4,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_2409332,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_2418274,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2420351,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2447482,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_2455975,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2457828,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_2478158,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2479726,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2509078,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2513674,Donor2,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_2518222,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_2574684,Donor2,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_2576170,Donor5,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2586811,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2618246,Donor3,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_2675194,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_2687960,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2702349,Donor3,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_2721840,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_2759833,Donor2,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_2773035,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_2791579,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2793980,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2857426,Donor4,NNAMPT,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_2874956,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2917939,Donor6,N,LTF/BPI immature neutrophil,PADI4 neutrophil,TRUE
A_2926917,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2927602,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2960288,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2965052,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2986040,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_2987220,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3008260,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3012562,Donor4,NNAMPT,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_3016011,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3024698,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3031805,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_3035926,Donor1,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_3046018,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3054091,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_3060678,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_3068435,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3071010,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3079144,Donor3,NNAMPT,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_3093770,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3094102,Donor3,N,Low-signal neutrophil,CXCR4 neutrophil,TRUE
A_3094107,Donor6,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_3109400,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_3245706,Donor4,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_3246930,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3250337,Donor6,N,LTF/BPI immature neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3250842,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3283451,Donor6,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_3290039,Donor4,NNAMPT,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3292594,Donor3,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_3304467,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3310083,Donor1,NNAMPT,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3323082,Donor5,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3340360,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3355851,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_3356184,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3356494,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3361486,Donor2,NNAMPT,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_3367669,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3382701,Donor2,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3402259,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_3406168,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_3450515,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3478191,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_3480969,Donor6,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_3516900,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3516939,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3528985,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3538733,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3559163,Donor3,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3561013,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_3570093,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3603360,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_3624130,Donor6,N,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3625030,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3628217,Donor4,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_3630262,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3634229,Donor2,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_3648392,Donor5,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3649397,Donor4,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_3650502,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3653364,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3662982,Donor1,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_3674412,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3685720,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3685796,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3701667,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3722013,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3732910,Donor5,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3734661,Donor1,NNAMPT,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3738165,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3763262,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_3770903,Donor2,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_3771904,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_3774392,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_3774590,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_3787437,Donor4,N,IL1R2+ inflammatory neutrophil,CXCR4 neutrophil,TRUE
A_3788848,Donor5,N,CCL3/CCL4 inflammatory neutrophil,OSM neutrophil,TRUE
A_3789522,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_3808121,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3828359,Donor4,N,PADI4/translation-high neutrophil,OSM neutrophil,TRUE
A_3830377,Donor3,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3854149,Donor4,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_3960969,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3971365,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3986787,Donor6,N,RORA+ atypical neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3994959,Donor2,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_3999152,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_4005987,Donor3,N,RORA+ atypical neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4024507,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_4025300,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4026461,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_4032112,Donor6,N,LTF/BPI immature neutrophil,PADI4 neutrophil,TRUE
A_4038305,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_4045330,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4051444,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
