barcode,DonorID,ConditionCode,neutrophil_cluster_annotation,neutrophil_state_annotation,lineage_eligible
E_168015,Donor5,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_168280,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_169773,Donor5,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_169869,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_169993,Donor3,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_171125,Donor3,CF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_173517,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_174927,Donor1,CF,CCL3/CCL4 inflammatory neutrophil,CXCR4 neutrophil,TRUE
E_175569,Donor3,NA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_175800,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_175829,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_177785,Donor3,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_178171,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_182876,Donor4,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_185133,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_187952,Donor1,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_188772,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_189221,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_190614,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_192762,Donor3,CF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_194602,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_195872,Donor5,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_200974,Donor2,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_201688,Donor4,CF,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
E_204258,Donor3,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_204932,Donor4,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_205177,Donor3,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_206526,Donor5,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_207127,Donor4,NA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_207684,Donor6,CF,Low-signal neutrophil,CXCR4 neutrophil,TRUE
E_209805,Donor1,CF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_211065,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_213800,Donor2,NA5,Low-signal neutrophil,CXCR4 neutrophil,TRUE
E_214660,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_214839,Donor5,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_217532,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_218630,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_219924,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_220382,Donor4,CF,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
E_220530,Donor3,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_220607,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_221556,Donor5,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_222203,Donor6,CF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_223422,Donor6,CF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_223641,Donor3,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_223658,Donor4,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_223846,Donor6,CF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_223956,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_224197,Donor3,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_224327,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_224407,Donor5,NA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_225220,Donor2,NA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_225525,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_225919,Donor3,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_225945,Donor3,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_227723,Donor3,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_228576,Donor3,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_228859,Donor6,CF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_229414,Donor5,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_230025,Donor6,CF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_231037,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_231528,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
