program,version,min_state_cells,component,n,effect,se,low,high,p,p_signflip,same_sign,q
Degranulation,full_gene,1,composition,5,0.0322544978341694,0.00968256727044896,0.00537138133038305,0.0591376143379558,0.0290733085938901,0.0625,5,0.13567544010482
Oxidative_burst,full_gene,1,composition,5,0.0019220676486838,0.00089449780069839,-0.000561456391675438,0.00440559168904303,0.09811721884586,0.125,4,0.274728212768408
Phagocytosis,full_gene,1,composition,5,-0.000589559706748954,0.00400592977463766,-0.0117118038213078,0.0105326844078099,0.890116443308673,0.9375,3,0.982397850597585
Chemotaxis,full_gene,1,composition,5,-0.00273388847913663,0.0057847664930343,-0.0187949750934339,0.0133271981351606,0.661129779841422,0.6875,3,0.841437901616355
OSM_inflammation,full_gene,1,composition,5,-0.0148944655123736,0.00832325148155536,-0.0380035163476683,0.00821458532292101,0.148036655686493,0.125,4,0.296073311372986
Type_I_interferon,full_gene,1,composition,5,0.00748192547717677,0.00601043009262993,-0.00920570373363911,0.0241695546879927,0.28114699627552,0.3125,4,0.437339771984142
Immature_granulopoiesis,full_gene,1,composition,5,0.0389063688819415,0.0112242681036227,0.00774280464621049,0.0700699331176724,0.025670606565326,0.0625,5,0.13567544010482
Survival_antiapoptosis,full_gene,1,composition,5,-0.00225177615122268,0.00241186314657632,-0.00894818177894145,0.00444462947649609,0.403350824012032,0.5,3,0.564691153616845
Hypoxia_glycolysis,full_gene,1,composition,5,0.00280959783461831,0.0012305672683186,-0.000607004634121488,0.0062262003033581,0.0844904017635575,0.125,4,0.274728212768408
ER_stress,full_gene,1,composition,5,-4.19226993229328e-05,0.00174027644267942,-0.00487370471029123,0.00478985931164536,0.981934925390053,1,4,0.982397850597585
Proliferation_stress,full_gene,1,composition,5,0.0104071692091823,0.00642412255063616,-0.00742905440172225,0.0282433928200868,0.18054393804788,0.0625,5,0.31595189158379
Integrin_adhesion,full_gene,1,composition,5,0.00128769213057858,0.000684934071091913,-0.000613989718487757,0.00318937397964492,0.133277603222576,0.1875,4,0.296073311372986
CXCR4_aging_retention,full_gene,1,composition,5,-0.00021436527332112,0.00913272011857421,-0.0255708613436779,0.0251421307970357,0.982397850597585,1,3,0.982397850597585
NETosis,full_gene,10,composition,5,0.0135759604279654,0.00557798849155051,-0.00191101841624963,0.0290629392721804,0.0716827883613086,0.125,4,0.370667065786787
Degranulation,full_gene,10,composition,5,0.0242173602218292,0.0113080684514401,-0.00717887107941316,0.0556135915230716,0.0989098854155777,0.125,4,0.370667065786787
Oxidative_burst,full_gene,10,composition,5,0.00154391031775632,0.000966920416788882,-0.00114069114055298,0.00422851177606562,0.185562715892788,0.1875,4,0.370667065786787
Phagocytosis,full_gene,10,composition,5,0.000692104270464257,0.00367791925764414,-0.00951943664973451,0.010903645190663,0.859897938897407,0.9375,2,0.926043934197207
Chemotaxis,full_gene,10,composition,5,-0.000312573109531183,0.00517516432836126,-0.014681132777604,0.0140559865585417,0.954735382102937,0.9375,3,0.954735382102937
OSM_inflammation,full_gene,10,composition,5,-0.0131976139574048,0.00888943494951528,-0.0378786421109607,0.0114834141961511,0.211809751878164,0.25,3,0.370667065786787
Type_I_interferon,full_gene,10,composition,5,0.00522176728475912,0.00608603806683069,-0.0116757833159404,0.0221193178854586,0.439266501576384,0.5,3,0.559066456551761
Immature_granulopoiesis,full_gene,10,composition,5,0.0291909129503058,0.0131726977373447,-0.00738235920479486,0.0657641851054065,0.091014634436576,0.125,4,0.370667065786787
Survival_antiapoptosis,full_gene,10,composition,5,-0.00271340286288426,0.00222864591102524,-0.00890111589376936,0.00347431016800085,0.290320941946322,0.375,3,0.451610354138723
Hypoxia_glycolysis,full_gene,10,composition,5,0.00195706427677521,0.00127137659250052,-0.00157284304033592,0.00548697159388634,0.198560040112308,0.1875,4,0.370667065786787
ER_stress,full_gene,10,composition,5,-0.00131140641466429,0.000720205612557946,-0.00331101776238678,0.000688204933058194,0.142731476193833,0.125,4,0.370667065786787
Proliferation_stress,full_gene,10,composition,5,0.00989578595545534,0.00659666298404008,-0.00841948669722222,0.0282110586081329,0.207970515399327,0.0625,5,0.370667065786787
Integrin_adhesion,full_gene,10,composition,5,0.000728966467984415,0.00064874153325191,-0.00107222878655136,0.00253016172252019,0.324031696742487,0.375,3,0.453644375439482
CXCR4_aging_retention,full_gene,10,composition,5,0.00167314749508266,0.00875698484959296,-0.022640140226861,0.0259864352170263,0.857781236036375,0.875,2,0.926043934197207
NETosis,identity_markers_removed,1,composition,5,0.0129148991913481,0.00403108011581131,0.00172282653514363,0.0241069718475526,0.0327809138888126,0.0625,5,0.152977598147792
Degranulation,identity_markers_removed,1,composition,5,0.0322544978341694,0.00968256727044896,0.00537138133038305,0.0591376143379558,0.0290733085938901,0.0625,5,0.152977598147792
Oxidative_burst,identity_markers_removed,1,composition,5,0.0019220676486838,0.00089449780069839,-0.000561456391675438,0.00440559168904303,0.09811721884586,0.125,4,0.274728212768408
Phagocytosis,identity_markers_removed,1,composition,5,-0.000589559706748954,0.00400592977463766,-0.0117118038213078,0.0105326844078099,0.890116443308673,0.9375,3,0.994683143685733
