DonorID,ConditionCode,program,value,cells,population,version
Donor6,CF,Degranulation,-0.0157958713903831,1249,Resolved,full_gene
Donor1,CF,Degranulation,0.0199148862351664,1253,Resolved,full_gene
Donor4,NA5,Degranulation,0.0456629576981379,1580,Resolved,full_gene
Donor1,NA5,Degranulation,0.00425400165991989,71,Resolved,full_gene
Donor5,CF,Degranulation,0.143497706311117,11,Resolved,full_gene
Donor2,CF,Degranulation,-0.0280948930858412,22,Resolved,full_gene
Donor6,NA5,Degranulation,0.172333167803168,1,Resolved,full_gene
Donor1,N,Oxidative_burst,-0.23992695762406,55,Resolved,full_gene
Donor6,N,Oxidative_burst,-0.228110211957906,801,Resolved,full_gene
Donor5,NNAMPT,Oxidative_burst,-0.328869699832915,41,Resolved,full_gene
Donor2,NNAMPT,Oxidative_burst,-0.258572564664522,215,Resolved,full_gene
Donor1,NNAMPT,Oxidative_burst,-0.271282672326207,63,Resolved,full_gene
Donor4,NNAMPT,Oxidative_burst,-0.190306736694456,233,Resolved,full_gene
Donor4,N,Oxidative_burst,-0.134352188555404,234,Resolved,full_gene
Donor5,N,Oxidative_burst,-0.299234544025657,61,Resolved,full_gene
Donor3,N,Oxidative_burst,-0.0231954962477493,102,Resolved,full_gene
Donor3,NNAMPT,Oxidative_burst,-0.118111931338109,42,Resolved,full_gene
Donor2,N,Oxidative_burst,-0.248551835720406,47,Resolved,full_gene
Donor6,NNAMPT,Oxidative_burst,-0.402120865433219,13,Resolved,full_gene
Donor4,UF,Oxidative_burst,0.0996739654674358,3393,Resolved,full_gene
Donor4,UN,Oxidative_burst,0.153766466342169,1239,Resolved,full_gene
Donor3,UN,Oxidative_burst,0.0870396332425107,2554,Resolved,full_gene
Donor2,UF,Oxidative_burst,0.0273021749781023,720,Resolved,full_gene
Donor3,UF,Oxidative_burst,0.100287925558551,2349,Resolved,full_gene
Donor2,UN,Oxidative_burst,0.0398217234445373,461,Resolved,full_gene
Donor6,UF,Oxidative_burst,-0.00842313008861754,369,Resolved,full_gene
Donor1,UF,Oxidative_burst,0.0604835401651606,140,Resolved,full_gene
Donor5,UF,Oxidative_burst,0.217796988618566,28,Resolved,full_gene
Donor1,UN,Oxidative_burst,0.0891190062288113,87,Resolved,full_gene
Donor6,UN,Oxidative_burst,0.0482958196678773,54,Resolved,full_gene
Donor5,UN,Oxidative_burst,0.298108493182513,26,Resolved,full_gene
Donor4,UD,Oxidative_burst,0.167408065623799,1847,Resolved,full_gene
Donor4,UA5,Oxidative_burst,0.202779928200622,1576,Resolved,full_gene
Donor5,UD,Oxidative_burst,-0.103502738934419,1184,Resolved,full_gene
Donor2,UD,Oxidative_burst,-0.115002375116991,946,Resolved,full_gene
Donor3,UA5,Oxidative_burst,0.151696225694344,2053,Resolved,full_gene
Donor1,UA5,Oxidative_burst,-0.0690861341441608,1402,Resolved,full_gene
Donor2,UA5,Oxidative_burst,-0.0772557274482453,944,Resolved,full_gene
Donor6,UD,Oxidative_burst,-0.128026198946236,481,Resolved,full_gene
Donor3,UD,Oxidative_burst,0.0661936675064709,1516,Resolved,full_gene
Donor6,UA5,Oxidative_burst,-0.165596606785834,510,Resolved,full_gene
Donor1,UD,Oxidative_burst,0.0284786408341508,200,Resolved,full_gene
Donor5,UA5,Oxidative_burst,0.0464039363807557,4,Resolved,full_gene
Donor4,CF,Oxidative_burst,0.210937012260814,2848,Resolved,full_gene
Donor3,NA5,Oxidative_burst,0.199355319956394,3913,Resolved,full_gene
Donor2,NA5,Oxidative_burst,-0.00386871637175023,1148,Resolved,full_gene
Donor5,NA5,Oxidative_burst,-0.00417403674760522,2536,Resolved,full_gene
Donor3,CF,Oxidative_burst,0.230400307837973,3355,Resolved,full_gene
Donor6,CF,Oxidative_burst,-0.039897872936166,1249,Resolved,full_gene
Donor1,CF,Oxidative_burst,0.0129979718691378,1253,Resolved,full_gene
Donor4,NA5,Oxidative_burst,0.189085416611695,1580,Resolved,full_gene
Donor1,NA5,Oxidative_burst,0.0557505131114183,71,Resolved,full_gene
Donor5,CF,Oxidative_burst,0.281425694143446,11,Resolved,full_gene
Donor2,CF,Oxidative_burst,-0.0196133437432211,22,Resolved,full_gene
