state,DonorID,delta,contrast,min_cells
MX1/ISG neutrophil,Donor1,-0.269034808520795,UC_vs_control_fibroblasts,0
MX1/ISG neutrophil,Donor2,-0.700351295063448,UC_vs_control_fibroblasts,0
MX1/ISG neutrophil,Donor3,-0.040800075458065,UC_vs_control_fibroblasts,0
MX1/ISG neutrophil,Donor4,-0.119501848532795,UC_vs_control_fibroblasts,0
MX1/ISG neutrophil,Donor5,-0.1902593790257,UC_vs_control_fibroblasts,0
MX1/ISG neutrophil,Donor6,-0.054494265217673,UC_vs_control_fibroblasts,0
OSM neutrophil,Donor1,0.28627127592626,UC_vs_control_fibroblasts,0
OSM neutrophil,Donor2,0.14609901786334,UC_vs_control_fibroblasts,0
OSM neutrophil,Donor3,0.15026174873391,UC_vs_control_fibroblasts,0
OSM neutrophil,Donor4,0.42482999770664,UC_vs_control_fibroblasts,0
OSM neutrophil,Donor5,0.456367785899352,UC_vs_control_fibroblasts,0
OSM neutrophil,Donor6,-0.10816470098878,UC_vs_control_fibroblasts,0
PADI4 neutrophil,Donor1,0.14281194217689,UC_vs_control_fibroblasts,0
PADI4 neutrophil,Donor2,0.49655434203939,UC_vs_control_fibroblasts,0
PADI4 neutrophil,Donor3,0.0905989348177401,UC_vs_control_fibroblasts,0
PADI4 neutrophil,Donor4,0.13159459949004,UC_vs_control_fibroblasts,0
PADI4 neutrophil,Donor5,-1.28887166769381,UC_vs_control_fibroblasts,0
PADI4 neutrophil,Donor6,0.64585303935214,UC_vs_control_fibroblasts,0
CXCR4 neutrophil,Donor1,0.59877927090562,UC_vs_alone,0
CXCR4 neutrophil,Donor2,0.23830132928203,UC_vs_alone,0
CXCR4 neutrophil,Donor3,0.310289139494388,UC_vs_alone,0
CXCR4 neutrophil,Donor4,0.320972286371403,UC_vs_alone,0
CXCR4 neutrophil,Donor5,1.28842105206535,UC_vs_alone,0
CXCR4 neutrophil,Donor6,0.621305899875631,UC_vs_alone,0
MX1/ISG neutrophil,Donor1,1.16599965822626,UC_vs_alone,0
MX1/ISG neutrophil,Donor2,0.78740913961904,UC_vs_alone,0
MX1/ISG neutrophil,Donor3,0.947185965300611,UC_vs_alone,0
MX1/ISG neutrophil,Donor4,0.679780122596851,UC_vs_alone,0
MX1/ISG neutrophil,Donor5,-0.28561493331783,UC_vs_alone,0
MX1/ISG neutrophil,Donor6,1.0113517241784,UC_vs_alone,0
OSM neutrophil,Donor1,-0.78419774284067,UC_vs_alone,0
OSM neutrophil,Donor2,-1.40058733318885,UC_vs_alone,0
OSM neutrophil,Donor3,0.1873518327997,UC_vs_alone,0
OSM neutrophil,Donor4,-0.11686920051594,UC_vs_alone,0
OSM neutrophil,Donor5,-0.71719118542968,UC_vs_alone,0
OSM neutrophil,Donor6,-0.68412273127469,UC_vs_alone,0
PADI4 neutrophil,Donor1,-0.9805811862912,UC_vs_alone,0
PADI4 neutrophil,Donor2,0.37487686428778,UC_vs_alone,0
PADI4 neutrophil,Donor3,-1.44482693759469,UC_vs_alone,0
PADI4 neutrophil,Donor4,-0.883883208452303,UC_vs_alone,0
PADI4 neutrophil,Donor5,-0.28561493331783,UC_vs_alone,0
PADI4 neutrophil,Donor6,-0.948534892779338,UC_vs_alone,0
CXCR4 neutrophil,Donor1,0.75882768048796,control_fibroblasts_vs_alone,0
CXCR4 neutrophil,Donor2,0.18060339412132,control_fibroblasts_vs_alone,0
CXCR4 neutrophil,Donor3,0.510349747587968,control_fibroblasts_vs_alone,0
CXCR4 neutrophil,Donor4,0.757895035035277,control_fibroblasts_vs_alone,0
CXCR4 neutrophil,Donor5,0.265657791245196,control_fibroblasts_vs_alone,0
CXCR4 neutrophil,Donor6,1.10449997302131,control_fibroblasts_vs_alone,0
MX1/ISG neutrophil,Donor1,1.43503446674706,control_fibroblasts_vs_alone,0
MX1/ISG neutrophil,Donor2,1.48776043468249,control_fibroblasts_vs_alone,0
