experiment,sample,group,marker,label,channel,quantile,threshold,positive_events,neutrophil_events,percent,median_fi,iqr_fi,cxcr4_parent_events,joint_with_cxcr4_events,percent_within_cxcr4,status
co,P3-11,N+IF+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,2028,2028,100,7077.23481592714,4830.9766057192,2028,2028,100,Provisional above-unstained threshold; no matched FMO
co,P3-11,N+IF+FK,OSM,OSM,R670-A,0.99,29.9038450367739,1999,2028,98.5700197238659,638.826532732902,370.748574299888,2028,1999,98.5700197238659,Provisional above-unstained threshold; no matched FMO
co,P3-12,N+IF+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1392,1392,100,8192.83329848344,5703.7802739135,1392,1392,100,Provisional above-unstained threshold; no matched FMO
co,P3-12,N+IF+FK,OSM,OSM,R670-A,0.99,29.9038450367739,1328,1392,95.4022988505747,451.113920570283,340.656083152322,1392,1328,95.4022988505747,Provisional above-unstained threshold; no matched FMO
co,P3-2,N+IF,CXCR4,CXCR4,V610-A,0.99,229.876206885687,739,739,100,12230.5310562744,7350.83219313572,739,739,100,Provisional above-unstained threshold; no matched FMO
co,P3-2,N+IF,OSM,OSM,R670-A,0.99,29.9038450367739,638,739,86.3328822733424,368.842871022831,349.840279088322,739,638,86.3328822733424,Provisional above-unstained threshold; no matched FMO
co,P3-3,N+IF,CXCR4,CXCR4,V610-A,0.99,229.876206885687,4418,4418,100,10670.2015650958,6751.56458186165,4418,4418,100,Provisional above-unstained threshold; no matched FMO
co,P3-3,N+IF,OSM,OSM,R670-A,0.99,29.9038450367739,4308,4418,97.5101856043459,483.649429590589,342.341688092476,4418,4308,97.5101856043459,Provisional above-unstained threshold; no matched FMO
co,P3-4,N+IF,CXCR4,CXCR4,V610-A,0.99,229.876206885687,5561,5561,100,8260.47303750204,5696.6363636686,5561,5561,100,Provisional above-unstained threshold; no matched FMO
co,P3-4,N+IF,OSM,OSM,R670-A,0.99,29.9038450367739,5487,5561,98.6693040819996,557.595981804179,421.177081126236,5561,5487,98.6693040819996,Provisional above-unstained threshold; no matched FMO
co,P3-5,N+IF,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1478,1478,100,11174.6244007355,8919.98600163271,1478,1478,100,Provisional above-unstained threshold; no matched FMO
co,P3-5,N+IF,OSM,OSM,R670-A,0.99,29.9038450367739,1426,1478,96.4817320703654,371.915839338494,287.751269817078,1478,1426,96.4817320703654,Provisional above-unstained threshold; no matched FMO
co,P3-6,N+IF,CXCR4,CXCR4,V610-A,0.99,229.876206885687,569,569,100,16863.2628333055,20621.9708607221,569,569,100,Provisional above-unstained threshold; no matched FMO
co,P3-6,N+IF,OSM,OSM,R670-A,0.99,29.9038450367739,422,569,74.1652021089631,144.129448796883,239.701066552997,569,422,74.1652021089631,Provisional above-unstained threshold; no matched FMO
co,P3-7,N+IF+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1645,1645,100,8360.93886718279,5764.08749249622,1645,1645,100,Provisional above-unstained threshold; no matched FMO
co,P3-7,N+IF+FK,OSM,OSM,R670-A,0.99,29.9038450367739,960,1645,58.3586626139818,58.1165181707526,193.937930961913,1645,960,58.3586626139818,Provisional above-unstained threshold; no matched FMO
co,P3-8,N+IF+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,2060,2060,100,10445.0970244481,6523.03291198915,2060,2060,100,Provisional above-unstained threshold; no matched FMO
co,P3-8,N+IF+FK,OSM,OSM,R670-A,0.99,29.9038450367739,1544,2060,74.9514563106796,237.886859509739,388.467890251221,2060,1544,74.9514563106796,Provisional above-unstained threshold; no matched FMO
co,P3-9,N+IF+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,6819,6819,100,7478.15665630028,5215.25980415843,6819,6819,100,Provisional above-unstained threshold; no matched FMO
co,P3-9,N+IF+FK,OSM,OSM,R670-A,0.99,29.9038450367739,6722,6819,98.5775040328494,600.961712099984,425.725497008685,6819,6722,98.5775040328494,Provisional above-unstained threshold; no matched FMO
co,P4-1,N+IF+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1769,1769,100,5082.13718416361,4061.38149588604,1769,1769,100,Provisional above-unstained threshold; no matched FMO
co,P4-1,N+IF+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,1005,1769,56.8117580553985,67.0933537283511,290.225224202548,1769,1005,56.8117580553985,Provisional above-unstained threshold; no matched FMO
co,P4-10,N+IF+ATN+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,11458,11469,99.9040892841573,5043.81756481126,3484.74969137226,11458,11458,100,Provisional above-unstained threshold; no matched FMO
co,P4-10,N+IF+ATN+FK,OSM,OSM,R670-A,0.99,29.9038450367739,3694,11469,32.208562211178,-69.9043640497963,287.44560590977,11458,3694,32.2394833304242,Provisional above-unstained threshold; no matched FMO
