DonorID,ConditionCode,clean_cell_class,clean_state,cells,resolved,median_UMI,median_genes
Donor6,UN,Neutrophil,MX1/ISG-like,4,4,2966.5,1141.5
Donor1,UF,Neutrophil,MX1/ISG-like,5,5,2774,906
Donor3,UN,Fibroblast_candidate,Unresolved fibroblast-like,1,0,2560,228
Donor3,UF,Fibroblast_candidate,ECM-remodeling fibroblast,1,0,27709,5525
Donor1,UF,Neutrophil,PADI4,5,4,370,205
Donor4,UN,Fibroblast_candidate,Unresolved fibroblast-like,1,0,355,213
Donor4,UN,Fibroblast_candidate,Fibroblast candidate: low stromal signal,4,0,2790,1005
Donor2,UF,Fibroblast_candidate,Unresolved fibroblast-like,1,0,156,127
Donor1,UF,Fibroblast_candidate,Perivascular-like fibroblast,1,0,30521,5500
Donor4,UF,Fibroblast_candidate,Activated FAP+ fibroblast,1,0,15553,3221
Donor6,UN,Neutrophil,PADI4,3,3,2738,906
Donor2,UF,Fibroblast_candidate,Fibroblast candidate: low stromal signal,1,0,5066,1762
Donor1,UN,Fibroblast_candidate,Fibroblast candidate: mixed immune-stromal,1,0,49196,7863
Donor2,UN,Fibroblast_candidate,Antigen-presenting fibroblast-like,1,0,4586,1425
Donor2,UF,Fibroblast_candidate,Myofibroblast-like,1,0,37064,6442
Donor3,UF,Fibroblast_candidate,Fibroblast candidate: mixed immune-stromal,1,0,8324,2596
Donor3,UN,Fibroblast_candidate,Inflammatory fibroblast,1,0,18128,4023
Donor3,UF,Fibroblast_candidate,Inflammatory fibroblast,1,0,1860,814
Donor2,UF,Fibroblast_candidate,Fibroblast candidate: mixed immune-stromal,1,0,31801,5867
Donor2,UF,Fibroblast_candidate,Activated FAP+ fibroblast,1,0,3274,1058
Donor5,UD,Neutrophil,Low-signal/unresolved,5881,0,200,135
Donor1,UA5,Neutrophil,Low-signal/unresolved,6205,0,185,126
Donor6,UD,Neutrophil,Low-signal/unresolved,2523,0,203,137
Donor4,UD,Neutrophil,CXCR4,739,724,3200,1154
Donor3,UA5,Neutrophil,Low-signal/unresolved,1994,0,321,181
Donor3,UD,Neutrophil,Low-signal/unresolved,1900,0,284,179.5
Donor4,UA5,Neutrophil,MX1/ISG-like,150,146,3431.5,1199
Donor5,UD,Neutrophil,CXCR4,594,574,369,222
Donor2,UD,Neutrophil,Low-signal/unresolved,4396,0,181,124
Donor2,UD,Neutrophil,OSM,412,395,387,231
Donor2,UA5,Neutrophil,Low-signal/unresolved,4438,0,186,126
Donor4,UA5,Neutrophil,OSM,955,917,2978,1061
Donor1,UA5,Neutrophil,OSM,668,636,854.5,428
Donor6,UA5,Neutrophil,Low-signal/unresolved,2888,0,221,152
Donor3,UA5,Neutrophil,OSM,1176,1134,2845,1027
Donor1,UA5,Neutrophil,CXCR4,640,617,398,232.5
Donor4,UD,Neutrophil,Low-signal/unresolved,1868,0,253,162
Donor4,UA5,Neutrophil,CXCR4,478,460,2990,1079
Donor2,UA5,Neutrophil,CXCR4,430,422,398,242.5
Donor4,UA5,Neutrophil,Low-signal/unresolved,1742,0,280,178
Donor6,UD,Neutrophil,MX1/ISG-like,22,20,3547,1281
Donor3,UA5,Neutrophil,CXCR4,704,683,2949.5,1080
Donor3,UD,Neutrophil,MX1/ISG-like,161,159,3256,1199
Donor6,UD,Neutrophil,OSM,202,182,399.5,247.5
Donor4,UD,Neutrophil,OSM,979,933,2979,1068
Donor3,UA5,Neutrophil,MX1/ISG-like,174,170,3437,1179
Donor5,UD,Neutrophil,OSM,529,492,447,267
Donor2,UA5,Neutrophil,MX1/ISG-like,58,58,3281,1189
Donor6,UA5,Neutrophil,CXCR4,279,268,377,237
Donor6,UD,Neutrophil,CXCR4,250,240,383.5,229
Donor2,UA5,Neutrophil,OSM,425,406,426,250
Donor2,UD,Neutrophil,CXCR4,467,455,372,216
Donor3,UD,Neutrophil,CXCR4,560,551,2769.5,1063
Donor1,UD,Neutrophil,Low-signal/unresolved,739,0,206,138
Donor3,UD,Neutrophil,OSM,783,754,2635,1010
Donor1,UD,Neutrophil,PADI4,17,16,682,406
Donor5,UD,Neutrophil,PADI4,72,70,580,304.5
Donor1,UD,Neutrophil,CXCR4,88,87,1916,763.5
Donor1,UA5,Neutrophil,MX1/ISG-like,69,68,3143,1183
Donor2,UD,Neutrophil,PADI4,58,52,331.5,212.5
Donor1,UA5,Neutrophil,PADI4,84,81,458.5,276
Donor3,UD,Neutrophil,PADI4,54,52,1944.5,898.5
Donor6,UD,Neutrophil,PADI4,42,39,522.5,295.5
Donor5,UA5,Neutrophil,Low-signal/unresolved,15,0,300,195
Donor4,UD,Fibroblast_candidate,Fibroblast candidate: low stromal signal,15,0,3276,1087
Donor2,UA5,Neutrophil,PADI4,61,58,482,267
Donor5,UD,Neutrophil,MX1/ISG-like,48,48,3097,1085.5
Donor1,UD,Neutrophil,OSM,88,84,2028,867
Donor6,UA5,Neutrophil,OSM,194,179,477.5,291.5
Donor4,UD,Neutrophil,PADI4,59,56,2383,1021
Donor4,UD,Neutrophil,MX1/ISG-like,137,134,3285,1190
Donor4,UA5,Neutrophil,PADI4,56,53,2522.5,984.5
Donor3,UA5,Neutrophil,PADI4,67,66,2404,999
Donor6,UA5,Neutrophil,PADI4,40,36,674.5,400
Donor5,UD,Fibroblast_candidate,Fibroblast candidate: low stromal signal,11,0,887,628
Donor1,UD,Neutrophil,MX1/ISG-like,13,13,3723,1400
Donor3,UA5,Fibroblast_candidate,Inflammatory fibroblast,2,0,1158,594.5
Donor2,UD,Fibroblast_candidate,Fibroblast candidate: mixed immune-stromal,1,0,70998,8287
Donor3,UA5,Fibroblast_candidate,Fibroblast candidate: mixed immune-stromal,4,0,5051,1823
Donor6,UA5,Neutrophil,MX1/ISG-like,28,27,3408,1223
Donor4,UA5,Fibroblast_candidate,Fibroblast candidate: low stromal signal,12,0,5080,1714.5
Donor6,UA5,Fibroblast_candidate,Inflammatory fibroblast,1,0,1174,652
Donor2,UD,Neutrophil,MX1/ISG-like,46,44,3521.5,1255.5
