DonorID,program,version,composition,activity,total,retained_0,retained_1,n_states,n0,n1,min_state_cells
Donor1,NETosis,full_gene,0.0230500849754367,-0.0398367668336384,-0.0167866818582017,1,1,4,140,1402,1
Donor1,Degranulation,full_gene,0.0398381126268831,0.0221184839446181,0.0619565965715012,1,1,4,140,1402,1
Donor1,Oxidative_burst,full_gene,0.00196540511335845,-0.131535079422679,-0.129569674309321,1,1,4,140,1402,1
Donor1,Phagocytosis,full_gene,-0.00708587374549861,-0.178850209565546,-0.185936083311044,1,1,4,140,1402,1
Donor1,Chemotaxis,full_gene,-0.0130951704748158,-0.154140677157217,-0.167235847632033,1,1,4,140,1402,1
Donor1,OSM_inflammation,full_gene,-0.00680155570332913,-0.0471318161538044,-0.0539333718571336,1,1,4,140,1402,1
Donor1,Type_I_interferon,full_gene,0.011192927314394,0.00298730610933309,0.0141802334237271,1,1,4,140,1402,1
Donor1,Immature_granulopoiesis,full_gene,0.0485516831259273,0.0600929644968338,0.108644647622761,1,1,4,140,1402,1
Donor1,Survival_antiapoptosis,full_gene,0.00235506498314612,-0.118001070403229,-0.115646005420082,1,1,4,140,1402,1
Donor1,Hypoxia_glycolysis,full_gene,0.0042751373981939,-0.00921122405617377,-0.00493608665797988,1,1,4,140,1402,1
Donor1,ER_stress,full_gene,0.0064511970253261,-0.16847795822227,-0.162026761196943,1,1,4,140,1402,1
Donor1,Proliferation_stress,full_gene,0.00264352371335152,0.0367123958641328,0.0393559195774844,1,1,4,140,1402,1
Donor1,Integrin_adhesion,full_gene,0.00257792630075882,-0.1092710712226,-0.106693144921841,1,1,4,140,1402,1
Donor1,CXCR4_aging_retention,full_gene,-0.0111117724127643,-0.219954171929703,-0.231065944342468,1,1,4,140,1402,1
Donor1,NETosis,full_gene,-9.53364591940878e-05,-0.0571106471163632,-0.0572059835755573,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,Degranulation,full_gene,-0.000347575434818061,-0.00916787616867715,-0.00951545160349521,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,Oxidative_burst,full_gene,7.46184587210552e-05,-0.138043383580701,-0.13796876512198,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,Phagocytosis,full_gene,-0.000677553859432549,-0.187823771150157,-0.18850132500959,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,Chemotaxis,full_gene,-0.000988593626788543,-0.172816947483242,-0.17380554111003,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,OSM_inflammation,full_gene,0.00168270207151524,-0.047547616873194,-0.0458649148016787,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,Type_I_interferon,full_gene,-0.000107863647694251,-0.0205939951108867,-0.020701858758581,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,Immature_granulopoiesis,full_gene,-2.55965322509984e-05,0.0215575923024253,0.0215319957701743,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,Survival_antiapoptosis,full_gene,4.69314248382372e-05,-0.10740291929433,-0.107355987869492,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,Hypoxia_glycolysis,full_gene,1.24696089784234e-05,-0.0148765956980945,-0.0148641260891161,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,ER_stress,full_gene,0.000103778448619301,-0.168248818082439,-0.16814503963382,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,Proliferation_stress,full_gene,8.66074447168432e-05,0.0217665771467575,0.0218531845914744,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,Integrin_adhesion,full_gene,-0.000215702012212019,-0.100035063608687,-0.100250765620899,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,CXCR4_aging_retention,full_gene,-0.0016742085707454,-0.236500436390681,-0.238174644961426,0.935714285714286,0.893723252496434,2,140,1402,10
Donor6,NETosis,full_gene,0.0247233231185362,-0.0563390205740437,-0.0316156974555075,1,1,4,369,510,1
Donor6,Degranulation,full_gene,0.0549714807014564,0.00574073092363282,0.0607122116250892,1,1,4,369,510,1
Donor6,Oxidative_burst,full_gene,0.00315231435828123,-0.160325791055497,-0.157173476697216,1,1,4,369,510,1
Donor6,Phagocytosis,full_gene,0.0125739201512112,-0.190324227234283,-0.177750307083072,1,1,4,369,510,1
Donor6,Chemotaxis,full_gene,0.0164943036826793,-0.247165246951275,-0.230670943268595,1,1,4,369,510,1
Donor6,OSM_inflammation,full_gene,-0.0463182274927671,-0.142704821780458,-0.189023049273225,1,1,4,369,510,1
Donor6,Type_I_interferon,full_gene,-0.0149688842413254,-0.0349629716280328,-0.0499318558693581,1,1,4,369,510,1
Donor6,Immature_granulopoiesis,full_gene,0.0544996289871454,0.0807732115237299,0.135272840510875,1,1,4,369,510,1
Donor6,Survival_antiapoptosis,full_gene,-0.0110619474493182,-0.0768817191018311,-0.0879436665511494,1,1,4,369,510,1
Donor6,Hypoxia_glycolysis,full_gene,0.00202597073774718,-0.0641268787200701,-0.0621009079823229,1,1,4,369,510,1
Donor6,ER_stress,full_gene,-0.00401658408215816,-0.150214856680507,-0.154231440762665,1,1,4,369,510,1
Donor6,Proliferation_stress,full_gene,0.0356678407356819,-0.10839491810302,-0.0727270773673384,1,1,4,369,510,1
Donor6,Integrin_adhesion,full_gene,0.00253533018002481,-0.121584597280565,-0.11904926710054,1,1,4,369,510,1
Donor6,CXCR4_aging_retention,full_gene,0.03246289510313,-0.292263884884044,-0.259800989780914,1,1,4,369,510,1
Donor6,NETosis,full_gene,0.0247233231185362,-0.0563390205740437,-0.0316156974555075,1,1,4,369,510,10
Donor6,Degranulation,full_gene,0.0549714807014564,0.00574073092363282,0.0607122116250892,1,1,4,369,510,10
Donor6,Oxidative_burst,full_gene,0.00315231435828123,-0.160325791055497,-0.157173476697216,1,1,4,369,510,10
Donor6,Phagocytosis,full_gene,0.0125739201512112,-0.190324227234283,-0.177750307083072,1,1,4,369,510,10
Donor6,Chemotaxis,full_gene,0.0164943036826793,-0.247165246951275,-0.230670943268595,1,1,4,369,510,10
Donor6,OSM_inflammation,full_gene,-0.0463182274927671,-0.142704821780458,-0.189023049273225,1,1,4,369,510,10
