Fine_annotation_3,HS,Condition,cells
12-unassigned,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,126
02-unassigned,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,188
05-MNP_NOS,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,47
06-Cytotoxic_NK,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,202
15-Fibroblast_PDGFRBhi,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,117
16-unassigned,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,84
01C_24_activated_fibroblast,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,26
17-Fibroblast_PLAC9_FZD8hi,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,65
1B-Fibroblast,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,32
14-unassigned,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,92
01-IEC_crypt_base,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,47
08_27_IEC_colonocyte,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,74
11_22-IgG_plasma_cell,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,52
05B-MNP-M2_macrophage,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,13
05F-MNP_monocyte_neutrophil,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,13
18-unassigned,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,61
10_19-B_cells,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,87
01A-Muscularis mucosae and myofibroblast,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,14
05G-MNP_activated,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,4
05A-MNP-M1_Macrophage,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,1
05E-MNP-pDC,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,1
25-Treg,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,2
05C-MNP-mDC,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,1
06-Cytotoxic_NK,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,34
01-IEC_crypt_base,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,247
9-CCL3_L3_CCL4_L2hi,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,24
10_19-B_cells,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,155
07-T_cells,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,25
05B-MNP-M2_macrophage,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,13
01C_24_activated_fibroblast,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,46
03_26-IgA_plasma_cell,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,48
1B-Fibroblast,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,104
11_22-IgG_plasma_cell,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,20
05-MNP_NOS,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,106
02-unassigned,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,50
08_27_IEC_colonocyte,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,22
20_21_23_Endothelial,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,12
17-Fibroblast_PLAC9_FZD8hi,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,14
15-Fibroblast_PDGFRBhi,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,16
01A-Muscularis mucosae and myofibroblast,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,173
14-unassigned,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,19
04-IEC_CT_coloncyte,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,63
13-IEC_crypt_base_MHCIIhi,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,3
05C-MNP-mDC,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,8
12-unassigned,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,23
05F-MNP_monocyte_neutrophil,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,16
05E-MNP-pDC,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,5
16-unassigned,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,8
18-unassigned,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,10
05A-MNP-M1_Macrophage,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,3
25-Treg,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,1
05G-MNP_activated,FOV19_HS44_VDZ_LC_PRE_2_Mayo0_Responder,PRE_VDZ_Responder,1
13-IEC_crypt_base_MHCIIhi,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,672
12-unassigned,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,61
01-IEC_crypt_base,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,154
01A-Muscularis mucosae and myofibroblast,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,36
04-IEC_CT_coloncyte,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,204
01C_24_activated_fibroblast,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,87
03_26-IgA_plasma_cell,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,206
15-Fibroblast_PDGFRBhi,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,57
05C-MNP-mDC,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,15
1B-Fibroblast,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,143
08_27_IEC_colonocyte,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,31
06-Cytotoxic_NK,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,89
02-unassigned,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,105
18-unassigned,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,19
07-T_cells,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,70
16-unassigned,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,58
9-CCL3_L3_CCL4_L2hi,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,71
14-unassigned,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,51
11_22-IgG_plasma_cell,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,55
05G-MNP_activated,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,25
10_19-B_cells,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,77
05-MNP_NOS,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,83
17-Fibroblast_PLAC9_FZD8hi,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,32
20_21_23_Endothelial,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,29
05B-MNP-M2_macrophage,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,17
05F-MNP_monocyte_neutrophil,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,25
25-Treg,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,2
05E-MNP-pDC,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,6
05A-MNP-M1_Macrophage,FOV02_HS34_VDZ_C_PRE_1_Mayo2_Responder,PRE_VDZ_Responder,15
12-unassigned,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,230
02-unassigned,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,243
18-unassigned,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,67
01-IEC_crypt_base,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,449
14-unassigned,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,113
05-MNP_NOS,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,85
10_19-B_cells,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,209
06-Cytotoxic_NK,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,261
11_22-IgG_plasma_cell,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,155
16-unassigned,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,143
03_26-IgA_plasma_cell,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,198
9-CCL3_L3_CCL4_L2hi,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,171
20_21_23_Endothelial,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,93
15-Fibroblast_PDGFRBhi,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,129
05E-MNP-pDC,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,7
01C_24_activated_fibroblast,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,41
17-Fibroblast_PLAC9_FZD8hi,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,117
01A-Muscularis mucosae and myofibroblast,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,21
1B-Fibroblast,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,39
04-IEC_CT_coloncyte,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,97
05A-MNP-M1_Macrophage,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,6
07-T_cells,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,219
08_27_IEC_colonocyte,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,210
05G-MNP_activated,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,4
05C-MNP-mDC,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,7
05B-MNP-M2_macrophage,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,6
25-Treg,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,5
05F-MNP_monocyte_neutrophil,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,10
13-IEC_crypt_base_MHCIIhi,FOV20_HS44_VDZ_R_PRE_2_Mayo1_Responder,PRE_VDZ_Responder,16
06-Cytotoxic_NK,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,13
04-IEC_CT_coloncyte,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,50
11_22-IgG_plasma_cell,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,18
02-unassigned,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,35
13-IEC_crypt_base_MHCIIhi,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,176
14-unassigned,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,20
07-T_cells,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,24
9-CCL3_L3_CCL4_L2hi,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,16
05-MNP_NOS,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,41
10_19-B_cells,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,6
03_26-IgA_plasma_cell,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,51
01-IEC_crypt_base,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,81
05B-MNP-M2_macrophage,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,5
08_27_IEC_colonocyte,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,3
20_21_23_Endothelial,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,11
15-Fibroblast_PDGFRBhi,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,7
05A-MNP-M1_Macrophage,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,4
1B-Fibroblast,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,25
05C-MNP-mDC,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,3
01C_24_activated_fibroblast,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,14
18-unassigned,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,10
17-Fibroblast_PLAC9_FZD8hi,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,5
16-unassigned,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,11
05F-MNP_monocyte_neutrophil,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,7
12-unassigned,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,7
25-Treg,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,2
01A-Muscularis mucosae and myofibroblast,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,1
05E-MNP-pDC,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,2
05G-MNP_activated,FOV21_HS48_VDZ_C_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,8
06-Cytotoxic_NK,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,132
04-IEC_CT_coloncyte,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,115
08_27_IEC_colonocyte,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,17
11_22-IgG_plasma_cell,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,99
01-IEC_crypt_base,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,53
15-Fibroblast_PDGFRBhi,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,71
12-unassigned,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,75
07-T_cells,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,131
18-unassigned,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,32
02-unassigned,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,207
9-CCL3_L3_CCL4_L2hi,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,108
16-unassigned,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,61
10_19-B_cells,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,41
03_26-IgA_plasma_cell,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,21
20_21_23_Endothelial,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,49
17-Fibroblast_PLAC9_FZD8hi,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,44
14-unassigned,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,72
05-MNP_NOS,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,23
01A-Muscularis mucosae and myofibroblast,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,10
13-IEC_crypt_base_MHCIIhi,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,37
05A-MNP-M1_Macrophage,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,3
05B-MNP-M2_macrophage,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,6
1B-Fibroblast,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,14
01C_24_activated_fibroblast,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,15
05F-MNP_monocyte_neutrophil,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,6
05G-MNP_activated,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,2
05E-MNP-pDC,FOV22_HS47_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,1
9-CCL3_L3_CCL4_L2hi,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,65
05B-MNP-M2_macrophage,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,66
10_19-B_cells,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,349
07-T_cells,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,79
1B-Fibroblast,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,380
12-unassigned,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,69
20_21_23_Endothelial,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,56
11_22-IgG_plasma_cell,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,110
06-Cytotoxic_NK,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,95
05C-MNP-mDC,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,27
01A-Muscularis mucosae and myofibroblast,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,84
03_26-IgA_plasma_cell,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,135
05F-MNP_monocyte_neutrophil,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,79
01C_24_activated_fibroblast,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,295
01-IEC_crypt_base,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,33
05-MNP_NOS,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,203
14-unassigned,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,69
05E-MNP-pDC,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,14
02-unassigned,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,160
08_27_IEC_colonocyte,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,43
05G-MNP_activated,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,139
16-unassigned,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,64
18-unassigned,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,55
05A-MNP-M1_Macrophage,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,42
17-Fibroblast_PLAC9_FZD8hi,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,40
15-Fibroblast_PDGFRBhi,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,57
04-IEC_CT_coloncyte,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,5
25-Treg,FOV24_HS46_VDZ_LC_PRE_1_Mayo3_Non-responder,PRE_VDZ_Non-responder,2
07-T_cells,FOV25_HS41_HC_2,HC,60
18-unassigned,FOV25_HS41_HC_2,HC,17
17-Fibroblast_PLAC9_FZD8hi,FOV25_HS41_HC_2,HC,19
15-Fibroblast_PDGFRBhi,FOV25_HS41_HC_2,HC,28
9-CCL3_L3_CCL4_L2hi,FOV25_HS41_HC_2,HC,52
16-unassigned,FOV25_HS41_HC_2,HC,37
12-unassigned,FOV25_HS41_HC_2,HC,41
08_27_IEC_colonocyte,FOV25_HS41_HC_2,HC,11
20_21_23_Endothelial,FOV25_HS41_HC_2,HC,25
04-IEC_CT_coloncyte,FOV25_HS41_HC_2,HC,36
02-unassigned,FOV25_HS41_HC_2,HC,72
06-Cytotoxic_NK,FOV25_HS41_HC_2,HC,57
03_26-IgA_plasma_cell,FOV25_HS41_HC_2,HC,84
01-IEC_crypt_base,FOV25_HS41_HC_2,HC,25
14-unassigned,FOV25_HS41_HC_2,HC,27
05F-MNP_monocyte_neutrophil,FOV25_HS41_HC_2,HC,11
11_22-IgG_plasma_cell,FOV25_HS41_HC_2,HC,32
05-MNP_NOS,FOV25_HS41_HC_2,HC,33
01C_24_activated_fibroblast,FOV25_HS41_HC_2,HC,5
1B-Fibroblast,FOV25_HS41_HC_2,HC,14
10_19-B_cells,FOV25_HS41_HC_2,HC,12
05B-MNP-M2_macrophage,FOV25_HS41_HC_2,HC,1
05A-MNP-M1_Macrophage,FOV25_HS41_HC_2,HC,4
05G-MNP_activated,FOV25_HS41_HC_2,HC,2
25-Treg,FOV25_HS41_HC_2,HC,1
01A-Muscularis mucosae and myofibroblast,FOV25_HS41_HC_2,HC,2
13-IEC_crypt_base_MHCIIhi,FOV26_HS45_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,39
04-IEC_CT_coloncyte,FOV26_HS45_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,226
17-Fibroblast_PLAC9_FZD8hi,FOV26_HS45_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,79
05-MNP_NOS,FOV26_HS45_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,124
10_19-B_cells,FOV26_HS45_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,184
1B-Fibroblast,FOV26_HS45_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,50
11_22-IgG_plasma_cell,FOV26_HS45_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,150
03_26-IgA_plasma_cell,FOV26_HS45_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,92
16-unassigned,FOV26_HS45_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,89
20_21_23_Endothelial,FOV26_HS45_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,61
02-unassigned,FOV26_HS45_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,180
05C-MNP-mDC,FOV26_HS45_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,10
18-unassigned,FOV26_HS45_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,36
06-Cytotoxic_NK,FOV26_HS45_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,133
01C_24_activated_fibroblast,FOV26_HS45_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,37
07-T_cells,FOV26_HS45_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,174
9-CCL3_L3_CCL4_L2hi,FOV26_HS45_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,134
14-unassigned,FOV26_HS45_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,90
05F-MNP_monocyte_neutrophil,FOV26_HS45_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,14
