marker,label,channel,metric,reference,treated,n_reference,n_treated,mean_reference,mean_treated,difference,ci95_low,ci95_high,relative_change_percent,p_exact,allocations,p_holm_12,p_holm_within_marker_3,p_welch,p_holm,p_holm_5_figure3,reference_sd,standardized_difference,standardized_ci95_low,standardized_ci95_high
OSM,OSM,R670-A,median_fi,N+IF,N+IF+ATN,6,6,416.8611788384755,-78.64176657415148,-495.50294541262696,-669.5619767641323,-321.44391406112163,,0.0021645021645021,924,0.0259740259740259,0.0064935064935064,,,0.0108225108225105,134.49476468935242,-3.6841801727904326,-4.978349739565288,-2.390010606015577
CXCR4,CXCR4,V610-A,median_fi,N+IF,N+IF+ATN,6,6,11257.474432593872,4997.218961552403,-6260.255471041469,-9576.348645222668,-2944.162296860269,-55.60976850114882,0.0021645021645021,924,0.0259740259740259,0.0064935064935064,,,0.0108225108225105,2248.5353408049914,-2.7841481329798685,-4.258927343251927,-1.3093689227078096
MX1,B710 (MX1 label; provisional),B710-A,median_fi,N+IF,N+IF+ATN,6,6,6628.073969562698,10677.633944570563,4049.5599750078673,2272.755162633984,5826.364787381751,61.09708481836762,0.0021645021645021,924,0.0259740259740259,0.0064935064935064,,,0.0108225108225105,1334.7742521836012,3.0338912878961057,1.7027262542080872,4.365056321584125
PADI4,B515 (PADI4 label; provisional),B515-A,median_fi,N+IF,N+IF+ATN,6,6,3269.8245736947406,17377.35542485798,14107.530851163236,10618.943390620552,17596.118311705923,431.4461076797898,0.0021645021645021,924,0.0259740259740259,0.0064935064935064,,,0.0108225108225105,2901.618894838835,4.861951676788627,3.659661649401536,6.0642417041757195
MPO,,YG610-A,median_fi,N+IF,N+IF+ATN,6,6,3162.235253063038,562.224298815706,-2600.010954247332,-4166.223953843262,-1033.797954651402,-82.2206681722646,0.0064935064935064,924,,,0.0055497595292881,0.0194805194805194,0.0108225108225105,1101.6406413633438,-2.360126212327886,-3.78183574335758,-0.9384166812981931
