sample,patient,group,interaction,score
SAM24416192,P028,Uninflamed.UC,CSF3 -> CSF3R,11.605820870935885
SAM24416193,P028,Inflamed.UC,CSF3 -> CSF3R,22.912553409611554
SAM24406426,P007,Uninflamed.UC,NAMPT -> ITGA5+ITGB1,18.90629888649626
SAM24406427,P007,Inflamed.UC,NAMPT -> ITGA5+ITGB1,23.32288311838506
SAM24406429,P008,Uninflamed.UC,NAMPT -> ITGA5+ITGB1,19.98001957187406
SAM24406430,P008,Inflamed.UC,NAMPT -> ITGA5+ITGB1,23.63378827458274
SAM24410862,P013,Uninflamed.UC,NAMPT -> ITGA5+ITGB1,18.828300961400057
SAM24410863,P013,Inflamed.UC,NAMPT -> ITGA5+ITGB1,19.664762138734666
SAM24410865,P014,Uninflamed.UC,NAMPT -> ITGA5+ITGB1,22.76035411257172
SAM24410866,P014,Inflamed.UC,NAMPT -> ITGA5+ITGB1,20.573029475567065
SAM24410871,P016,Uninflamed.UC,NAMPT -> ITGA5+ITGB1,18.078142884850166
SAM24410872,P016,Inflamed.UC,NAMPT -> ITGA5+ITGB1,21.077464951611894
SAM24411909,P017,Uninflamed.UC,NAMPT -> ITGA5+ITGB1,18.131371305410507
SAM24411910,P017,Inflamed.UC,NAMPT -> ITGA5+ITGB1,22.588737668319283
SAM24412534,P019,Uninflamed.UC,NAMPT -> ITGA5+ITGB1,21.519271872166513
SAM24412535,P019,Inflamed.UC,NAMPT -> ITGA5+ITGB1,20.125535729951853
SAM24412540,P021,Uninflamed.UC,NAMPT -> ITGA5+ITGB1,12.160189781561478
SAM24412541,P021,Inflamed.UC,NAMPT -> ITGA5+ITGB1,20.662771716421993
SAM24416192,P028,Uninflamed.UC,NAMPT -> ITGA5+ITGB1,12.194676687660268
SAM24416193,P028,Inflamed.UC,NAMPT -> ITGA5+ITGB1,22.492338025712392
